科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,"9,444,281.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,203,012.65","10,414,411.10","23,729,617.11","4,853,583.92","11,035,197.41","14,534,273.03","22,722,532.39","5,724,026.78","9,121,004.87","21,144,380.02","35,455,794.93","19,898,086.30","42,128,969.41","74,178,472.54","106,265,766.79","46,608,597.43","104,926,202.31","138,461,170.31","203,708,730.49","60,399,831.27","124,581,497.18","198,264,098.42","288,620,661.53","84,915,537.18","148,144,128.92","223,019,760.44","279,507,993.68","80,860,995.24","163,793,557.99","226,015,546.98","339,100,836.88","78,228,593.74","135,710,300.55","199,707,459.93","270,169,260.76","72,905,878.80","129,570,800.17","186,344,579.76","238,232,764.93","63,658,703.45","134,134,813.42","198,592,232.70"
三、利润总额,"32,638,198.08","52,661,341.84","120,371,533.14","56,409,207.52","139,834,235.15","212,747,768.51","237,306,569.38","48,512,774.67","94,864,637.28","147,388,840.87","200,677,181.73","30,656,623.33","106,572,720.79","170,191,376.69","255,162,135.49","81,693,391.14","172,569,967.49","255,446,043.74","290,135,698.08","69,726,631.39","165,280,766.52","261,555,338.28","339,343,623.26","99,134,347.00","172,657,166.71","235,822,400.07","277,478,818.94","60,450,155.56","166,852,915.35","283,035,800.31","311,257,775.04","73,186,048.83","136,211,950.43","198,121,956.94","198,493,249.40","47,995,256.10","140,161,148.12","240,923,333.76","253,079,236.07","85,371,857.35","236,426,308.55","358,942,785.39"
资产减值损失,,"-58,790.38","3,544,775.91",,"3,165,091.78","1,819,216.05","34,903,346.54","-1,992,766.24","-15,002,017.84",,"5,841,998.71","-30,000.00","-3,156,291.50","-3,156,291.50","10,835,660.21",,"-6,230,497.07","134,731,099.17","109,380,763.04","-29,439,350.92","-51,528,437.16","-87,255,137.06","33,834,374.51",,"137,705,636.88","20,229,877.70","46,654,185.85",,"-3,153,280.74","22,757,120.87","67,608,539.39","37,690.18","-10,288,141.50","-39,818,721.54","69,309,342.80","-36,695,459.28","-29,542,164.70","-14,153,607.79","45,139,397.61",,"-5,428,348.11","-7,120,986.32"
减:所得税,"11,278,881.97","7,435,294.85","25,419,613.92","13,684,451.50","25,940,534.21","43,746,301.84","49,509,592.06","12,816,807.85","17,551,296.67","31,900,467.51","50,564,427.46","7,700,500.60","26,534,150.96","42,728,707.85","64,721,768.19","22,065,409.24","48,464,500.60","69,844,221.07","50,873,822.87","10,733,581.61","22,404,877.46","39,065,036.51","52,094,608.65","16,208,255.23","35,516,275.75","46,660,412.40","54,610,263.09","13,673,087.86","33,635,472.41","51,573,149.20","73,178,802.22","14,448,243.92","24,081,520.56","36,856,220.94","35,519,036.15","12,866,502.30","29,287,632.49","45,409,248.62","48,892,231.56","14,350,518.77","37,855,649.92","57,649,832.22"
加:公允价值变动净收益,,"174,599.47",,,,,,,,,"-3,819,160.00","-4,985,750.00","-4,985,750.00","-619,670.00","-20,695,193.20","-114,000.00","-4,908,720.00","7,539,740.00","2,487,100.00","-2,458,130.00","6,976,240.00","-9,199,790.00","1,245,951.05","17,063,908.96","159,031,778.96","147,550,368.96","148,694,773.95","13,831,510.00","33,075,870.00","56,202,880.00","52,584,920.00","77,851,840.00","77,932,420.00","76,043,932.34","-6,714,720.17","43,748,580.00","23,403,953.62","-47,862,870.00","32,831,287.42","-94,454,013.00","-105,162,406.00","-100,135,896.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"68,000.00",,"174,599.47",,,,"-8,640.00",,,,"5,679,105.45",,"4,680,998.95","4,624,808.95","-25,486,194.13","-14,796,564.05","-28,268,461.58","-54,055,114.28","-49,045,364.32","691,681.00","-131,377.38","837,959.10","13,777,724.11","252,496.58","-47,431,876.44","-77,983,749.39","13,522,273.99","-1,812,631.17","-5,144,381.06","-22,927,535.72","75,463,427.48","-5,471,673.45","-15,026,536.82","-46,738,178.20","91,786,436.51","-22,460,709.83","-24,414,544.63","56,664,502.03","-61,120,915.89","91,336,465.61","90,468,942.92","80,380,061.97"
四、净利润,"21,359,316.11","45,226,046.99","94,951,919.22","42,724,756.02","113,893,700.94","169,001,466.67","187,796,977.32","35,695,966.82","77,313,340.61","115,488,373.36","150,112,754.27","22,956,122.73","80,038,569.83","127,462,668.84","190,440,367.30","59,627,981.90","124,105,466.89","185,601,822.67","239,261,875.21","58,993,049.78","142,875,889.06","222,490,301.77","287,249,014.61","82,926,091.77","137,140,890.96","189,161,987.67","222,868,555.85","46,777,067.70","133,217,442.94","231,462,651.11","238,078,972.82","58,737,804.91","112,130,429.87","161,265,736.00","162,974,213.25","35,128,753.80","110,873,515.63","195,514,085.14","204,187,004.51","71,021,338.58","198,570,658.63","301,292,953.17"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-32,061.11",,,,"-5,878.67",,,,,,,,,,,
归属于母公司所有者的净利润,"21,359,316.11","49,516,288.30","96,978,414.36","42,724,756.02","113,893,700.94","164,700,180.42","187,796,977.32","35,695,966.82","77,313,340.61","115,488,373.36","150,112,754.27","22,956,122.73","80,038,569.83","127,462,668.84","190,440,367.30","59,627,981.90","124,105,466.89","184,846,298.91","244,857,038.40","59,767,572.86","141,848,090.52","221,402,306.66","290,314,087.84","84,065,279.34","137,324,286.91","189,368,829.33","233,811,166.13","47,994,654.19","135,439,183.49","234,820,020.07","250,403,149.85","61,657,719.25","116,628,750.98","167,477,977.66","180,719,973.32","35,317,516.04","111,184,787.78","194,799,766.20","203,315,113.75","70,450,250.00","197,448,838.18","302,465,833.77"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"-669,317.47",,,,,,,,,,,,,,,,"755,523.76","-5,595,163.19","-774,523.08","1,027,798.54","1,087,995.11","-3,065,073.23","-1,139,187.57","-183,395.95","-206,841.66","-10,942,610.28","-1,217,586.49","-2,221,740.55","-3,357,368.96","-12,324,177.03","-2,919,914.34","-4,498,321.11","-6,212,241.66","-17,745,760.07","-188,762.24","-311,272.15","714,318.94","871,890.76","571,088.58","1,121,820.45","-1,172,880.60"
