科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"164,667,822.66","316,369,094.47","576,196,299.80","370,547,487.91","752,056,209.74","691,871.04","392,214,417.03","680,707,416.56","1,193,145,887.89","69,204,782.01","421,708,878.02","688,777,980.59","975,650,646.27","8,852,414.04","347,860,296.29","628,206,254.51","1,116,015,058.57","187,863,011.94","430,150,860.96","542,897,156.73","1,133,777,605.94","138,864,815.94","388,691,336.42","639,640,882.35","894,964,591.87","36,990,698.02","793,221,081.30","1,167,429,399.53","1,332,403,042.23","46,477,734.12"
二、营业利润,"18,002,338.52","71,568,702.28","108,260,493.15","51,337,329.89","132,035,066.23","-13,513,636.33","61,359,518.30","98,473,107.06","194,887,455.66","3,674,898.79","88,797,098.49","122,315,764.11","175,295,884.47","-26,233,857.70","54,684,561.94","85,161,076.08","188,806,960.45","3,166,288.47","85,832,914.62","72,504,920.59","173,519,053.80","5,309,125.46","55,736,094.67","77,933,951.75","155,516,032.88","-39,938,596.27","102,235,191.01","129,175,346.35","109,664,669.92","-18,780,300.89"
减:营业成本,"132,498,757.08","217,236,455.09","399,805,568.61","251,543,502.02","514,724,723.04","462,492.46","285,877,393.78","512,753,515.38","856,519,365.71","52,393,411.99","295,935,364.14","457,009,073.91","654,511,332.73","3,912,721.27","223,020,872.65","413,827,508.94","741,814,682.88","117,712,910.32","244,807,374.10","317,197,914.42","693,176,265.36","86,650,963.68","262,276,270.62","456,751,774.71","632,651,157.79","26,073,974.74","594,105,993.73","870,236,946.05","1,008,621,489.62","41,412,312.66"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"993,511.98","1,651,436.50","908,172.29","1,346,081.88","3,027,267.13","74,035.36","3,190,349.17","5,083,868.21","9,862,140.77","125,834.12","3,654,335.87","4,479,017.88","7,485,360.77","739,205.73","3,256,727.84","5,827,697.69","11,287,159.68","2,357,584.35","9,582,360.31","9,789,671.19","13,968,348.70","727,057.63","2,966,618.30","4,757,621.03","12,644,791.49","1,596,048.92","8,814,064.29","11,159,797.33","14,357,174.92","3,555,528.58"
营业外收入,,"57,908.48","886,822.32","5,986.69","2,005,986.69","11,500,000.00","11,530,450.14","13,130,450.14","13,589,948.71","18,385.00","10,024,482.90","11,966,899.95","13,976,209.95","19,757,271.39","39,270,032.76","39,420,032.76","60,293,068.01","4,850,603.20","26,356,103.20","26,524,150.52","28,353,972.07","7,371,092.75","45,544,997.21","45,742,403.11","45,669,226.89","1,222,776.55","8,499,191.26","8,803,214.54","8,154,084.25","335,494.40"
销售费用,"3,318,789.22","5,835,854.11","9,954,725.60","17,060,419.29","23,645,022.84","5,552,070.79","13,961,658.42","20,805,337.59","26,692,443.38","10,525,450.22","14,294,144.66","38,511,622.52","24,823,617.25","8,563,023.43","16,895,482.71","23,091,667.62","34,737,737.79","13,349,063.70","14,491,326.16","21,819,054.00","25,632,164.63","5,375,381.27","11,108,174.56","18,092,170.74","18,827,768.85","2,799,345.79","5,538,309.72","10,831,269.85","13,892,212.60","2,197,568.01"
减:营业外支出,"500,207.00","2,040,000.00","1,435,910.85","142,674.27","545,374.27","1,100,100.00","1,100,100.00","1,100,300.00","1,100,878.88","2,008,006.55","2,028,006.55","2,032,806.55","2,260,640.02","21,638.59","21,839.35","222,639.35","223,338.15","21,136.11","28,015.76","242,242.06","287,004.20","29,081.46","43,093.09","55,270.74","16,380,035.26",297.27,"50,717.57","62,528.51","63,091.19","1,800.66"
管理费用,"8,843,378.39","17,288,796.67","51,638,402.82","41,549,372.76","53,044,272.71","13,514,181.17","22,991,775.20","37,293,515.99","81,626,460.26","15,785,477.66","29,881,938.83","51,327,821.02","83,006,377.22","27,635,011.89","46,336,707.79","69,336,812.14","91,393,199.40","27,611,619.96","52,418,626.89","92,567,667.47","117,109,102.04","26,811,502.43","64,063,255.42","97,603,817.25","127,911,457.94","36,123,436.76","71,290,805.13","106,832,626.15","152,570,317.76","40,055,213.37"
其中:非流动资产处置净损失,,,"58,445.88","115,004.27","115,004.27",,,,,,,,"7,605.96",,,,,,,,"43,417.80",,,,"14,266.52",,,,,
