科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"117,287,995.01","209,502,011.77","127,847,093.48","305,281,827.34","142,105,274.75","229,386,992.11","436,781,331.98","67,289,347.39","199,676,111.76","327,155,339.47","639,807,035.72","112,860,554.37","331,428,684.26","521,557,841.50","1,016,782,580.04","216,412,007.90","586,245,962.01","932,154,777.71","1,481,246,892.74","270,221,017.77","739,117,822.05","1,151,091,810.43","1,854,722,863.50","344,555,866.97","888,018,744.56"
二、营业利润,"25,903,383.36","47,652,539.49","22,338,337.51","66,968,094.82","15,623,687.44","28,060,107.64","84,879,916.77","6,950,206.98","17,731,593.42","39,179,378.09","128,844,810.88","8,475,046.21","23,022,559.02","53,096,199.82","248,406,413.34","13,266,142.46","46,977,342.98","82,633,566.41","324,577,163.38","23,705,079.60","115,930,650.02","182,148,283.85","429,117,557.56","67,442,507.90","144,658,969.59"
减:营业成本,"46,203,054.03","93,243,358.64","43,643,601.28","133,157,859.97","61,223,440.50","96,128,594.18","190,032,344.28","24,404,038.18","87,025,489.79","144,083,140.59","295,362,408.15","54,681,352.21","167,794,052.64","258,660,944.33","444,403,365.05","90,990,693.67","257,457,309.26","407,677,570.27","610,062,531.38","104,493,141.70","332,213,761.37","495,015,583.50","788,834,648.81","137,607,238.96","405,666,882.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,294,625.25","2,598,568.81","2,631,323.26","4,042,007.47","2,751,668.46","4,247,301.76","6,487,705.12","756,296.20","2,965,133.96","4,517,271.10","7,595,782.26","1,212,399.09","4,349,804.42","7,470,191.35","13,295,176.67","2,008,821.51","6,195,079.69","9,913,957.54","18,331,694.97","3,207,210.69","6,961,506.27","12,095,336.94","20,912,480.26","4,402,473.34","10,262,302.52"
营业外收入,"12,726,992.42","15,231,107.89","12,154,927.63","24,057,095.80","5,058,539.12","13,111,485.92","30,094,685.53",,"19,812,832.02","24,463,201.91","29,665,918.41","19,013,403.36","22,970,756.58","25,421,957.06","54,364,772.45","22,251,442.97","34,975,120.88","45,315,954.83","76,189,646.96","27,401,680.81","3,282,525.52","7,918,828.83","7,920,394.09","2,990,280.03","7,159,896.58"
销售费用,"12,553,853.93","17,569,829.91","21,287,061.62","37,996,899.13","22,914,292.60","37,781,892.44","60,718,255.66","12,438,314.17","35,284,169.55","50,916,578.98","73,022,786.42","15,112,098.44","42,734,245.78","63,690,279.39","96,782,055.70","33,685,616.68","73,635,278.97","115,251,603.44","171,283,930.09","34,295,280.32","71,210,620.92","113,475,250.03","178,122,509.68","36,577,323.11","82,613,239.61"
减:营业外支出,"25,926.49",50.00,,,,,,,"7,052.89","8,050.96","321,599.35",,"50,065.31","50,144.39","74,919.48",,"1,316,328.67","1,346,281.70","1,587,831.22","52,975.81","250,202.92","2,145,254.26","2,056,794.32","50,000.00","50,681.72"
管理费用,"29,567,092.21","44,290,846.62","35,644,944.11","58,019,831.80","32,118,956.06","50,961,452.55","77,836,355.61","20,442,163.69","47,970,171.63","75,517,708.18","117,251,255.15","27,304,170.47","69,744,517.57","109,169,445.28","183,270,154.36","64,963,728.89","157,456,157.61","250,854,126.53","341,398,726.35","77,245,178.80","167,901,456.60","260,014,232.42","367,172,608.95","87,261,875.94","179,898,139.77"
其中:非流动资产处置净损失,"16,337.31",,,,,,,,"7,052.89","8,050.96","321,599.35",,"50,065.31","50,144.39","56,487.14",,"1,316,328.67","1,336,118.12","1,339,923.56","5,181.30","190,228.44","194,015.85",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"361,199.27","4,380,371.73","2,037,321.53","3,978,183.92","6,286,854.13","10,390,518.49","15,209,801.40","2,744,668.49","5,866,254.20","8,910,899.35","15,002,956.18","4,976,544.45","12,225,370.37","17,521,783.44","26,439,664.37","9,283,101.94","19,925,979.24","30,397,534.77","41,080,758.73","9,453,290.45","35,838,271.88","59,577,197.50","74,333,999.65","15,507,669.25","33,481,755.30"
三、利润总额,"38,604,449.29","62,883,597.38","34,493,265.14","91,025,190.62","20,682,226.56","41,171,593.56","114,974,602.30","6,950,206.98","37,537,372.55","63,634,529.04","158,189,129.94","27,488,449.57","45,943,250.29","78,468,012.49","302,696,266.31","35,517,585.43","80,636,135.19","126,603,239.54","399,178,979.12","51,053,784.60","118,962,972.62","187,921,858.42","434,981,157.33","70,382,787.93","151,768,184.45"
资产减值损失,"404,786.96","-233,503.43","264,504.17","1,118,950.23","1,186,375.56","1,817,125.05","1,616,953.14","-446,340.32","2,833,299.21","3,870,076.82","3,284,220.34","1,198,703.00","7,597,324.53","7,969,149.60","8,789,101.74","555,613.26","22,087,609.72","32,601,341.58","60,787,195.46","5,987,924.43","34,206,315.10","66,598,708.10","84,995,596.60","10,891,487.71","57,207,297.47"
减:所得税,"2,786,438.96","8,569,586.10","4,759,172.29","12,814,472.98","1,765,269.28","4,479,376.65","13,103,719.22","1,441,717.35","2,963,728.74","6,386,205.43","20,764,713.06","1,503,729.38","5,388,826.20","8,877,054.40","32,602,110.72","4,123,398.36","10,766,991.47","11,593,065.63","45,965,654.85","1,804,608.33","17,763,512.19","27,569,643.24","55,435,188.28","8,960,426.17","26,574,634.23"
