科目,2010年度,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流出小计,"101,209,557.36","121,898,629.08","78,524,077.96","170,182,877.20","95,378,280.20","232,764,940.20","69,802,416.97","132,480,822.93","233,572,531.76","314,548,426.28","133,153,291.59","272,832,768.10","424,496,602.58","589,002,796.70","228,014,869.57","710,221,406.09","1,108,401,631.20","1,819,524,262.14","649,994,259.39","1,629,350,867.45","2,525,630,481.06","3,626,420,157.09","1,129,042,021.17","2,583,976,213.29","3,907,505,470.86","5,660,828,029.80","1,628,514,005.41"
偿还债务支付的现金,,,,,,,"35,440,547.19","56,912,418.46","75,490,854.86","75,490,854.86",,"15,996,232.54","50,063,851.73","83,262,149.19","49,193,505.37","291,237,057.61","306,237,057.61","323,850,210.87","35,000,000.00","411,000,000.00","501,199,197.01","549,196,945.01","34,998,472.49","449,996,944.98","937,424,128.91","1,124,549,524.06","42,125,395.15"
经营活动产生的现金流量净额,"34,797,533.29","52,934,704.04","26,084,431.66","75,231,614.19","42,676,456.44","101,444,223.30","15,993,004.70","36,476,625.31","60,520,392.03","149,158,802.05","-42,874,316.39","-54,728,973.06","11,401,479.69","99,912,261.17","63,074,845.97","110,799,694.55","163,739,004.49","479,516,081.72","-51,619,317.41","26,088,229.99","251,455,687.95","405,697,450.59","-57,712,521.63","-72,311,855.01","91,690,139.89","586,931,267.12","-195,513,670.58"
分配股利、利润或偿还利息支付的现金,,,"7,602,800.00","7,602,800.00","10,797,319.22","11,942,373.76","569,239.60","17,609,222.61","17,796,222.23","17,914,210.68","906,560.10","34,582,060.32","52,564,294.47","58,882,730.39","2,695,083.91","17,687,431.26","60,673,117.39","84,219,606.89","15,790,605.04","111,054,409.23","129,187,778.85","149,396,463.56","19,707,541.12","70,793,319.32","91,538,513.65","111,638,204.31","19,215,072.47"
收回投资收到的现金,"2,418,330.59",,,,,,,,,,,,,"149,451,400.00",,,"470,030,000.00","2,247,190,000.00","1,510,910,000.00","3,317,008,000.00","4,744,846,000.00","5,866,846,000.00","870,000,000.00","1,740,000,000.00","2,110,000,000.00","2,655,000,000.00","300,000,000.00"
支付其他与筹资活动有关的现金,,,"12,000.00","12,000.00",,,"7,695,400.00","7,670,579.51","7,670,579.51","8,550,579.51",,,"4,116,000.00","10,542,095.00",,"6,294,305.09","15,302,923.09","22,296,409.17","4,979,309.00","9,958,618.00","13,887,927.00","15,545,585.00","29,260,150.58","30,917,808.58","33,197,451.63","43,300,198.91","1,657,658.00"
取得投资收益收到的现金,,,,,,,,,,,,"623,679.70","623,679.70","623,679.70",,,"873,284.46","10,731,851.86","8,488,618.52","30,724,396.92","41,244,258.44","53,403,400.15","10,572,178.08","20,849,482.19","25,469,852.04","29,364,605.00","2,621,438.32"
筹资活动现金流出小计,,,"7,614,800.00","7,614,800.00","10,797,319.22","11,942,373.76","43,705,186.79","82,192,220.58","100,957,656.60","101,955,645.05","906,560.10","50,578,292.86","106,744,146.20","152,686,974.58","51,888,589.28","315,218,793.96","382,213,098.09","430,366,226.93","55,769,914.04","532,013,027.23","644,274,902.86","714,138,993.57","83,966,164.19","551,708,072.88","1,062,160,094.19","1,279,487,927.28","62,998,125.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,580.00",300.00,"5,910.00","150,410.00",400.00,400.00,,,500.00,"6,500.00",,,,,"485,215.00","485,215.00","485,215.00","485,215.00","96,291.00","96,291.00","96,291.00","96,718.35",,"128,800.00","192,800.00","190,935.92",
筹资活动产生的现金流量净额,"43,934,500.00",,"43,185,200.00","-7,614,800.00","19,202,680.78","45,460,044.70","294,264,919.61","255,964,215.33","237,198,779.31","280,933,924.38","27,513,956.84","-22,099,268.95","52,933,420.65","108,552,002.62","3,542,024.68","2,773,534,871.39","2,711,915,022.21","2,746,747,655.27","4,812,252.95","-39,262,992.14","33,156,258.23","13,792,167.55","-63,966,164.19","10,163,804.45","70,300,737.90","433,922,882.73","-62,998,125.62"
