科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"131,238,645.92","146,463,829.30","201,654,639.91","100,714,112.46","178,831,930.00","251,175,698.93","44,016,859.15","110,126,021.32","174,147,701.61","238,264,883.64","55,026,683.09","141,770,204.66","199,830,445.50","244,555,575.39","28,574,036.29","129,323,987.16","182,304,595.71","203,129,569.32","60,460,112.71","125,061,035.92","163,249,614.80","194,797,890.81","62,400,918.08","230,377,648.19","346,372,720.97","511,858,786.31","54,062,261.47","229,901,555.26","291,757,246.85","732,334,723.15","56,174,111.95","249,568,988.69","281,166,984.77","626,808,277.03"
二、营业利润,"23,306,524.20","26,592,996.35","35,188,609.05","18,980,475.46","35,170,283.03","46,022,952.69","7,017,608.46","19,952,430.37","32,067,426.66","41,965,426.73","7,721,206.94","23,373,465.00","28,905,189.67","24,275,612.93","123,275.16","23,772,464.02","24,360,127.69","-26,681,919.30","3,904,517.56","3,607,461.25","3,821,945.09","-13,158,896.71","1,776,315.81","18,309,439.02","34,146,417.56","45,470,104.04","1,001,848.72","32,271,982.91","29,722,104.07","51,743,759.81","-3,907,549.65","49,026,812.78","45,963,942.96","106,078,441.06"
减:营业成本,"86,227,988.72","91,086,448.61","128,775,912.06","62,850,656.33","111,491,001.42","161,512,017.47","28,444,510.16","71,422,540.91","114,510,815.77","148,630,363.03","38,047,924.33","94,415,658.50","134,570,161.42","161,515,872.63","20,189,257.71","78,582,736.08","111,797,234.42","149,173,392.23","43,505,498.29","91,132,917.15","118,545,229.39","145,312,797.32","40,668,313.33","157,644,070.80","236,498,594.86","343,706,916.26","32,132,253.64","149,625,192.13","194,596,434.86","518,207,297.86","38,071,370.97","172,555,336.62","192,467,423.39","425,356,789.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"639,136.02","849,796.70","908,343.88","612,294.02","1,004,210.67","1,451,881.64","510,139.24","817,275.34","1,011,170.94","1,486,366.40","154,807.61","604,189.88","1,069,337.36","1,656,772.91","58,064.67","342,571.49","682,623.59","1,039,518.35","10,398.70","49,702.65","80,803.84","138,857.59","286,601.73","1,242,256.18","1,929,064.21","6,136,106.20","609,904.20","1,822,570.63","2,619,638.00","12,528,108.58","1,464,935.07","3,262,840.01","3,613,232.11","6,285,740.62"
营业外收入,"592,232.51","2,700,000.00","1,254,838.00","100,000.00","100,000.00","786,019.00",,"3,000,000.00","3,200,000.00","3,310,000.00","230,000.00","265,000.00","319,000.00","463,741.00","200,000.00","290,637.00","1,037,500.00","1,112,786.01",,"12,500.00","188,576.00","29,556,703.85","3,619,000.38","7,453,054.21","16,932,052.67","38,718,469.25","11,672,888.46","25,263,750.99","30,317,899.41","38,994,974.26","7,567,315.80","14,625,250.40","21,447,904.58","292,733.60"
销售费用,"5,257,308.02","9,530,645.30","11,771,229.90","6,392,942.84","10,080,825.36","13,198,771.70","2,730,977.51","5,531,481.12","8,412,950.00","13,882,319.09","2,844,177.54","7,418,267.02","11,916,069.59","18,831,781.02","2,475,418.70","7,558,549.01","14,639,894.92","23,333,998.18","4,614,215.75","9,328,016.47","14,488,787.71","18,518,831.83","6,747,683.76","19,300,314.72","25,795,135.49","29,112,239.25","3,962,500.95","11,738,227.07","18,121,730.33","24,936,496.81","4,679,804.51","9,285,650.72","14,306,518.59","19,465,137.94"
减:营业外支出,"71,316.80","81,483.74","386,176.40","48,800.00","48,800.00","250,856.94",,"100,200.00","100,200.00","250,500.00",400.00,"30,600.00","30,600.00","60,372.04","31,729.13","132,629.13","183,379.13","811,343.08","50,000.00","203,394.50","294,158.10","8,674,036.80","56,513.00","16,976.29","266,710.56","254,375.87","263,719.82","683,140.66","1,189,515.66","558,250.19","70,375.00","240,848.00","410,467.10","1,564,810.23"
管理费用,"13,964,267.36","15,112,464.88","19,868,598.66","9,035,793.50","16,972,550.61","23,097,477.96","4,494,227.44","10,620,756.87","17,029,080.68","25,147,849.40","5,563,104.58","12,234,710.78","17,890,125.96","30,006,387.88","4,546,591.95","14,140,592.89","26,164,308.56","37,958,329.47","6,949,062.03","17,561,491.06","25,815,723.70","39,316,810.02","12,900,376.73","25,552,763.27","38,967,356.28","62,839,722.31","11,577,220.80","22,912,793.31","34,119,461.79","65,031,725.05","13,785,901.37","27,953,766.98","37,346,102.35","51,839,452.87"
其中:非流动资产处置净损失,,,"125,448.17",,,"42,056.94",,,,,,,,,"31,729.13","31,729.13","31,729.13","31,729.13",,,,"93,963.12",,,,,,"15,524.83",,"10,719.82",,,,
