科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"404,403,391.27","484,305,049.20","267,751,994.07","409,204,098.70","551,602,812.17","141,908,836.06","308,917,732.19","474,649,741.92","640,714,827.50","166,192,969.42","359,751,559.47","555,964,838.89","750,643,827.59","194,163,366.49","416,353,343.17","649,810,392.72","886,433,223.74","241,330,928.87","527,859,184.98","811,774,611.11","1,090,027,702.94","267,912,563.51","628,176,852.46","956,112,943.37","1,308,516,503.97","325,995,304.70","753,017,300.70","1,141,919,651.89","1,577,736,593.64","416,722,374.18","815,749,880.52","1,237,612,629.80","1,692,485,823.24","436,997,530.94","960,532,164.50","1,400,482,170.46"
二、营业利润,"56,648,553.54","80,320,985.10","53,863,625.86","80,654,640.08","108,663,248.66","26,086,588.43","71,409,105.76","109,914,249.13","144,229,693.07","34,259,240.60","83,327,914.43","129,126,096.70","168,776,298.25","42,622,919.68","98,854,939.42","154,272,738.04","200,245,062.20","52,660,180.57","111,676,856.17","162,094,204.55","209,303,088.01","58,394,715.96","133,346,008.28","192,107,911.66","240,804,565.02","69,362,272.35","167,977,515.54","251,794,723.92","332,719,239.13","106,247,226.08","253,873,295.26","343,654,917.58","458,302,086.74","124,049,869.20","289,300,376.24","358,722,606.49"
减:营业成本,"214,675,235.34","227,067,416.13","104,883,332.27","157,559,394.72","211,683,880.36","49,639,097.62","111,455,013.18","173,967,370.85","234,754,132.11","62,895,720.05","131,658,127.19","201,948,357.49","272,388,445.65","72,075,597.61","154,887,547.66","245,924,030.46","337,673,236.80","99,337,583.11","211,711,819.85","332,239,431.34","451,868,734.47","104,816,789.35","250,213,796.69","376,502,358.56","517,412,776.14","122,478,681.22","284,080,830.35","422,922,452.92","573,144,195.48","144,970,557.55","256,906,423.73","371,987,050.95","516,198,575.88","150,417,136.89","369,422,727.93","569,149,356.11"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,275,490.15","4,208,390.73","2,465,972.29","3,799,365.01","5,052,714.01","1,262,596.02","2,619,433.15","4,239,785.46","5,521,828.19","1,897,281.59","4,010,751.06","6,036,487.51","8,673,399.73","2,314,036.93","4,616,414.17","7,057,873.39","9,780,539.71","2,789,999.56","5,569,573.47","8,407,011.11","11,772,496.91","2,960,156.90","6,669,058.18","9,945,458.70","14,071,665.53","3,859,097.35","8,388,453.53","12,601,909.88","17,448,158.58","5,303,354.87","9,910,503.28","14,875,120.20","22,710,788.43","6,263,783.94","12,379,377.77","16,842,246.64"
营业外收入,"2,542,459.48","6,473,692.38","600,249.30","4,558,527.94","7,513,567.69","248,318.73","5,435,294.71","6,469,208.68","9,482,723.27","139,737.34","6,835,876.68","8,503,530.50","8,724,698.49","204,532.08","656,015.48","2,506,538.54","13,516,189.43","365,872.35","787,806.35","1,924,408.63","11,036,047.31","513,372.14","946,089.47","1,478,880.53","8,242,025.43","8,566,760.53","2,407,230.73","3,036,557.65","11,653,717.48","1,068,182.89","5,440,515.49","11,919,581.54","28,318,600.59","4,449,762.85","159,120.32","11,698,207.48"
销售费用,"100,531,749.16","135,857,427.87","87,064,822.00","137,743,820.17","185,206,055.59","54,661,143.09","106,291,475.53","159,959,215.82","225,919,804.95","55,357,040.27","121,545,325.59","186,416,434.82","255,435,267.50","70,000,998.34","144,998,575.90","220,733,627.49","300,642,217.59","72,624,784.40","170,520,948.56","263,034,913.68","358,205,208.80","80,904,884.58","203,102,642.94","314,572,146.60","434,843,754.39","101,097,533.51","234,766,975.19","365,917,712.18","527,609,028.86","128,037,545.01","252,566,667.94","426,811,746.79","589,612,730.66","123,108,191.63","237,465,352.36","381,095,201.45"
减:营业外支出,"7,330,074.04","1,341,419.25","850,957.03","870,833.61","1,431,181.26","6,811.22","343,050.17","343,978.17","560,072.64","3,307.11","37,393.55","1,903,322.04","2,348,906.36","44,579.07","105,700.77","503,900.65","954,391.35","48,572.42","1,250,756.34","1,857,155.86","2,358,999.09","10,600.68","173,863.35","362,142.36","781,803.55","79,018.06","352,217.23","926,683.61","2,469,902.85","82,681.83","1,004,051.66","2,279,839.88","3,229,675.23","313,326.54","315,536.88","1,504,718.43"
管理费用,"24,367,735.65","29,243,500.00","15,910,082.50","25,510,197.98","37,049,937.47","10,861,171.12","21,855,051.72","33,605,310.98","48,543,698.50","12,748,058.21","26,186,892.55","39,464,323.90","62,644,648.55","11,685,852.95","24,491,907.15","38,399,060.44","63,081,175.04","15,400,145.25","35,898,792.81","58,191,741.68","86,884,373.61","19,472,950.46","41,585,147.65","79,674,338.95","118,826,074.05","31,592,508.51","62,670,174.79","97,386,752.91","139,822,576.03","31,543,925.70","64,453,149.76","100,359,941.36","135,667,287.78","30,732,529.51","61,961,935.40","95,263,953.63"
其中:非流动资产处置净损失,"569,243.57","30,085.62","766,301.40","787,382.07","1,352,230.21","4,039.22","13,636.95","14,564.95","61,112.21","1,527.11","34,493.29","1,596,718.38","1,654,501.09",,"25,177.22","98,326.12","197,643.97","5,610.53","5,610.53","550,672.99","609,006.00",,,,"7,056.23","4,948.35","245,561.43","256,696.37","791,366.39","53,683.32","65,732.69","260,198.02","404,838.57","137,304.01","145,023.24","190,399.60"
