科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"177,964,576.38","228,784,799.24","262,339,407.56",,"180,754,044.15","170,452,843.03","468,364,511.78","411,788,690.82","355,962,404.29","419,281,817.83","532,422,202.16","463,701,096.23","420,656,387.67","389,982,868.15","581,375,548.20","856,552,869.24"
短期借款,"15,000,000.00","15,000,000.00","15,000,000.00",,"15,000,000.00","15,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,,"1,211,408.46",,,,,,"680,000.00","700,000.00","60,000.00","2,214,500.00","260,000.00",,"100,000.00",,"2,170,000.00"
应付票据,,,,,,,,,,,,,,,,
应收账款,"62,539,570.29","56,229,026.97","51,204,193.15",,"63,161,110.06","71,045,969.73","65,515,025.95","64,372,195.12","78,985,958.51","74,033,025.69","87,802,737.12","93,702,749.39","107,060,698.92","121,910,458.83","139,484,172.56","139,243,832.63"
应付账款,"49,107,757.10","30,802,861.03","32,810,836.05",,"28,369,099.11","29,586,991.45","37,998,734.89","28,035,198.27","43,261,240.41","40,195,799.68","33,765,339.52","43,694,579.44","49,164,727.15","62,458,288.34","86,232,063.92","90,562,983.23"
预付款项,"3,950,200.04","7,979,507.78","8,429,467.37",,"6,710,430.17","8,688,227.86","9,381,095.96","12,707,652.49","8,905,341.90","11,726,211.04","7,628,661.63","9,887,324.61","5,992,393.31","12,305,270.67","5,781,428.37","16,036,884.03"
预收款项,"169,257,971.13","246,964,840.17","305,280,691.51",,"283,044,982.66","321,493,880.79","357,326,983.10","353,358,095.95","328,610,268.38","371,397,966.99","416,945,224.94","384,516,620.21","367,297,088.71","387,419,946.02","462,908,063.57","416,353,214.20"
其他应收款,"14,348,797.76","20,690,336.86","31,215,439.73",,"31,874,992.95","36,807,093.71","34,385,151.99","38,495,700.35","36,063,258.76","39,166,998.90","39,073,282.67","46,293,337.24","47,812,652.53","53,700,613.91","51,886,836.93","51,869,419.44"
应付职工薪酬,"19,709,777.50","22,383,532.03","20,032,326.06",,"10,863,369.28","2,445,323.98","24,292,756.03","19,449,087.28","15,910,826.69","15,790,448.45","30,179,590.34","27,773,125.60","23,934,027.25","21,024,972.63","38,815,397.44","36,216,169.55"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"6,708,006.51","6,569,580.61","12,163,274.38",,"8,923,778.73","5,497,055.76","15,402,174.59","5,367,615.39","10,884,849.05","6,293,590.01","19,991,896.17","3,998,618.21","12,201,127.98","8,983,441.93","23,185,115.42","8,130,811.11"
应收利息,,,"220,515.07",,"457,150.00","228,230.56","201,109.59","616,102.13","261,604.59","756,405.96","732,177.48","743,875.66","563,108.35","661,991.55","861,377.70","1,397,042.79"
应付利息,,,"17,901.41",,"21,792.69","19,049.00",,,,"25,000.00","22,500.00","22,500.00","17,500.00",,"20,000.00","20,000.00"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"2,050,000.00",,,
存货,"170,759,609.20","188,219,183.82","226,752,852.80",,"221,571,141.21","255,673,167.25","252,950,882.47","275,116,482.71","293,438,854.65","328,037,922.90","299,674,771.54","318,094,161.78","323,748,430.47","360,919,747.62","337,810,413.19","370,921,102.55"
其他应付款,"12,411,434.12","5,506,278.95","4,094,846.53",,"3,108,479.53","7,950,596.73","12,622,356.36","7,037,847.18","6,700,154.03","6,517,101.55","5,380,675.65","7,652,221.11","6,833,001.87","7,717,311.17","8,399,023.23","9,683,378.12"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,
其他流动资产,"1,798,930.59","75,345.95",,,"122,722.19","125,352.90","2,394,295.06","2,188,596.11","2,891,724.86","596,047.30","12,037,004.20","11,608,932.05","11,578,399.83","723,339.74","1,341,602.22","7,329,161.97"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"431,361,684.26","503,189,609.08","580,161,875.68","558,533,400.00","504,651,590.73","543,020,885.04","833,192,072.80","805,965,419.73","777,209,147.56","873,658,429.62","981,585,336.80","944,291,476.96","917,412,071.08","940,304,290.47","1,118,541,379.17","1,445,520,312.65"
流动负债合计,"272,194,946.36","327,227,092.79","389,399,875.94","362,279,100.00","349,331,502.00","381,992,897.71","447,643,004.97","413,247,844.07","405,367,338.56","440,219,906.68","506,285,226.62","467,657,664.57","461,497,472.96","487,603,960.09","619,559,663.58","560,966,556.21"
可供出售金融资产,,,"1,500,000.00",,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00"
长期借款,,,,,,,,,,"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,"7,582,954.81","6,697,846.78","7,846,160.93",,"6,669,390.39","7,173,651.08","5,773,658.11","5,200,354.60","4,045,105.38","3,814,311.25","4,057,290.92","3,449,681.91","3,161,083.23",,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,"24,056,346.43","19,852,679.29","16,459,342.13",,"13,193,631.90","13,069,627.59","12,945,623.28","12,821,618.97","3,338,812.44","3,306,208.20","7,242,611.46","7,170,461.88","7,098,312.30","7,026,162.72","9,784,342.40","47,859,033.81"
预计负债,,,,,,,,,,,,,,,,
固定资产,"37,330,700.13","38,827,255.80","41,421,348.25",,"44,887,667.41","44,780,349.22","45,137,157.83","44,849,414.19","54,272,446.19","63,724,608.37","61,777,346.79","61,629,316.51","61,593,473.05","60,696,785.10","73,827,738.07","81,933,636.48"
递延所得税负债,,,,,,,,,,,,,,,,
在建工程,,,"110,937.95",,"117,660.12","117,660.12",,"44,599.00",,,"342,550.51","342,550.51",,,"5,937,820.98","6,306,941.64"
其他非流动负债,"20,940,000.00",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"20,940,000.00","19,240,000.00","17,140,000.00","17,140,000.00","18,140,000.00","19,840,000.00","21,340,000.00","21,840,000.00","21,840,000.00","90,840,000.00","95,019,333.30","94,767,558.66","94,516,717.54","94,469,223.35","100,173,532.97","98,436,738.64"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"293,134,946.36","346,467,092.79","406,539,875.94","379,419,100.00","367,471,502.00","401,832,897.71","468,983,004.97","435,087,844.07","427,207,338.56","531,059,906.68","601,304,559.92","562,425,223.23","556,014,190.50","582,073,183.44","719,733,196.55","659,403,294.85"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00",,"60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","160,000,000.00","160,000,000.00","172,540,592.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"33,002,444.87","33,002,444.87","33,002,444.87",,"33,002,444.87","33,002,444.87","202,052,472.57","202,052,472.57","202,052,472.57","202,052,472.57","202,052,472.57","202,052,472.57","202,052,472.57","122,052,472.57","122,052,472.57","545,375,231.04"
无形资产,"15,537,868.23","34,483,638.27","34,043,706.51",,"34,808,844.59","37,499,535.09","32,579,352.12","31,404,624.12","37,272,535.21","37,116,605.84","38,657,595.14","40,852,989.78","41,899,069.45","39,944,868.91","48,054,749.00","57,359,576.22"
盈余公积,"14,587,475.93","19,892,693.39","25,325,704.49",,"25,325,704.49","25,325,704.49","30,241,561.68","30,241,561.68","30,241,561.68","30,241,561.68","37,614,672.04","37,614,672.04","37,614,672.04","37,614,672.04","45,353,076.17","45,353,076.17"
开发支出,"307,962.14","5,061,051.91","5,510,102.25",,"6,603,526.41","5,620,093.00","9,719,449.99","12,582,221.41","8,908,138.80","14,179,674.37","16,619,010.31","19,995,110.41","23,261,345.36","29,619,042.70","28,778,337.40","37,659,431.16"
减:库存股,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,"964,128.44"
未分配利润,"76,232,070.94","105,022,688.01","115,358,257.46",,"79,803,963.04","86,354,687.82","107,665,112.76","114,345,261.89","95,074,194.39","103,200,981.64","137,558,343.64","144,438,070.40","132,515,251.81","143,722,527.82","180,615,447.70","193,047,077.86"
长期待摊费用,"128,000.00","672,847.67","632,858.39",,"543,226.27","561,035.21","670,339.65","605,168.59","575,136.14","2,513,773.37","2,523,322.10","2,270,776.56","2,371,430.44","4,109,836.20","3,955,639.80","3,701,226.51"
