科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
长期股权投资,"83,106,478.51","89,375,452.89","105,021,411.84","105,623,290.50","107,181,183.75","108,549,828.43","108,053,944.75","108,554,486.42","112,998,348.40","114,205,300.44","113,424,007.89","115,518,407.04","130,496,535.59","131,381,232.38","134,348,737.25","134,202,347.69","136,371,212.59"
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,"709,076.37","751,620.96","796,718.21","870,522.77","819,909.56","867,153.19","844,521.30","844,521.30","869,856.95","882,524.76","469,921.19","469,921.19","484,018.83","484,018.83","498,116.46","498,116.46","513,059.95"
固定资产,"73,461,967.42","74,036,092.12","89,846,380.17","88,025,506.34","86,885,450.32","85,757,664.59","84,347,191.79","84,934,806.34","83,850,709.25","84,740,826.89","83,651,400.69","85,357,514.48","84,857,082.14","88,503,159.08","89,206,859.03","87,842,996.94","93,305,333.70"
递延所得税负债,"161,086.74","347,260.26","394,684.94","111,150.50","389,141.75","112,170.71","445,531.94","330,931.60","441,863.78","390,316.13","482,812.68","417,531.81","470,352.30","462,553.63","268,315.72","340,436.49","269,457.99"
在建工程,"283,501.60","4,348,547.98","584,914.30","694,414.30","699,914.30","694,414.30","749,914.30","1,284,274.68","2,591,676.82","897,716.80","48,335.95","5,500.00","1,778,467.63","5,500.00","546,012.00","1,012,706.20","946,318.00"
其他非流动负债,,"1,100,000.00",,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,
非流动负债合计,"870,163.11","6,278,317.01","5,961,762.92","6,055,388.94","6,301,905.19","5,849,388.88","5,804,369.04","5,839,075.78","6,115,893.19","6,007,092.84","6,062,406.30","5,644,129.89","5,539,784.96","5,256,803.54","2,649,601.39","2,912,704.57","2,425,833.42"
固定资产清理,,,,,,,,,,,,,,,,,"15,464.57"
负债合计,"391,605,582.85","408,706,257.41","392,147,643.29","377,514,646.84","434,164,075.39","446,627,126.72","439,261,939.07","409,951,851.11","489,367,803.77","478,194,036.05","527,907,386.67","490,642,414.47","558,268,933.21","549,716,893.39","595,415,839.19","515,467,212.02","540,269,702.02"
生产性生物资产,,,,,,,,,,,,,,,,,
