科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"58,583,547.02","240,676,142.39","176,794,843.99","200,028,298.74","124,549,692.90","690,363,066.75","630,038,565.87","551,458,692.33","615,375,546.85","615,159,793.25","649,294,981.71","604,417,504.37","618,031,696.42","695,163,456.90","480,526,860.19","426,755,150.80","495,295,826.55","464,717,538.19","580,042,857.47","540,997,095.55","369,167,080.64","391,894,150.54","448,611,976.97","416,747,646.72","626,894,169.81","531,276,017.39","515,361,946.33","688,019,032.60","718,595,846.77","551,848,096.13","949,603,283.28","1,700,338,900.63","1,668,092,701.37","1,127,776,395.27"
短期借款,"75,000,000.00","158,000,000.00","88,000,000.00","150,000,000.00","50,000,000.00","65,000,000.00",,,,,,,,"50,000,000.00","50,000,000.00","40,000,000.00","70,000,000.00","72,000,000.00","196,000,000.00","355,899,208.00","306,000,000.00","494,870,151.00","764,800,000.00","847,800,000.00","972,800,000.00","1,005,300,000.00","1,174,089,925.00","1,589,350,000.00","1,453,350,000.00","1,606,375,625.00","1,533,890,000.00","1,833,990,000.00","1,973,890,000.00","2,308,670,000.00"
交易性金融资产,,,,,,,,,,,,,,,"90,000,000.00","90,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,"1,100,000.00","6,000,000.00",,"1,228,910.00","500,000.00",,,,,,,,,"893,516.52",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,"70,000,000.00",,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00",
应收账款,"23,444,358.51","57,201,543.15","29,767,823.25","23,858,380.40","41,047,869.31","52,881,695.04","56,894,087.12","72,021,890.51","65,830,185.20","72,657,577.96","84,895,457.30","106,325,131.15","131,386,905.33","199,222,932.52","252,506,567.86","237,015,478.87","139,036,146.89","195,816,117.42","246,288,773.67","269,005,407.90","191,819,856.48","324,701,909.45","426,081,005.52","461,124,051.76","372,681,045.03","429,020,290.74","549,045,563.43","582,871,207.69","411,988,504.24","526,094,933.83","642,196,940.48","551,745,592.51","547,528,174.36","694,187,558.45"
应付账款,"64,600,647.93","56,714,818.00","63,030,638.97","57,478,291.44","80,761,162.80","60,133,663.08","65,142,428.36","36,748,638.59","54,016,901.64","52,856,633.42","115,582,443.33","80,079,784.29","83,179,618.88","120,673,534.45","152,459,958.18","91,493,542.04","92,932,682.80","94,753,910.25","145,242,541.86","109,522,472.70","113,391,095.72","168,150,756.55","205,890,644.58","184,240,040.60","177,300,203.88","133,999,670.95","199,135,645.78","151,526,548.04","172,018,641.29","200,756,128.55","242,597,119.09","123,466,840.91","239,898,114.01","343,207,266.41"
预付款项,"91,422,990.00","8,736,946.42","16,966,509.87","52,565,425.07","50,531,438.95","83,734,015.32","52,417,820.63","59,910,709.52","13,614,115.02","25,099,449.84","41,169,557.84","47,541,944.29","30,945,153.19","23,887,901.43","23,378,700.06","24,510,217.37","25,138,501.18","24,325,368.74","23,636,547.84","14,964,972.50","15,607,565.99","12,324,796.19","51,959,568.99","58,261,201.04","37,987,960.37","56,357,763.87","84,132,379.06","77,719,295.67","80,555,899.33","156,040,307.85","181,482,055.47","292,494,435.69","390,867,572.67","583,784,581.55"
预收款项,"3,687,994.92","5,403,413.94","1,168,264.24","3,704,770.63","2,489,903.58","2,348,782.38","2,510,379.13","5,426,262.51","11,959,787.54","9,281,715.66","12,786,887.26","14,812,420.58","22,444,970.06","48,386,584.75","20,554,489.07","24,264,617.04","26,612,550.53","30,057,455.46","37,284,494.57","38,305,499.76","39,341,329.98","41,904,008.47","92,961,152.90","79,715,874.00","59,536,197.43","62,610,162.04","72,313,134.83","88,033,989.87","75,473,238.71","131,208,171.08","144,150,472.95","187,472,999.13","226,780,382.27","180,263,747.77"
其他应收款,"46,797,664.26","34,329,318.64","3,145,400.53","3,185,737.78","5,690,961.22","3,547,357.35","6,818,962.56","13,268,575.82","7,986,858.93","9,300,590.20","32,659,118.40","14,600,844.19","8,437,067.48","22,838,512.90","21,208,305.53","14,381,605.02","23,401,236.86","34,551,954.42","35,958,790.46","30,580,904.33","23,687,444.22","38,061,129.65","49,115,948.10","46,581,904.44","32,186,180.79","44,479,729.72","50,512,549.89","68,966,797.62","64,650,678.58","172,869,105.30","181,792,897.19","266,735,956.13","206,880,160.54","254,946,442.47"
应付职工薪酬,"552,298.20","919,156.13","1,447,686.66","1,804,602.17","1,652,291.15","1,977,906.27","2,157,948.08","2,575,125.96","2,794,634.33","3,142,763.61","3,637,671.31","4,558,893.78","5,365,968.49","5,689,514.39","8,821,759.65","9,114,559.87","11,014,567.38","9,589,241.17","14,681,043.33","17,507,764.58","16,894,585.50","17,351,596.75","19,994,685.08","28,368,607.40","27,180,063.38","23,469,690.56","19,178,008.75","20,838,019.33","29,180,270.23","29,002,301.83","22,606,411.48","23,862,355.97","31,126,828.33","30,758,631.91"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"10,071,219.70","3,793,295.47","5,396,419.03","6,232,870.31","1,338,553.71","3,149,689.17","4,740,433.09","2,586,556.73","4,542,155.10","6,695,616.26","5,697,309.42","5,956,974.38","7,264,499.43","11,399,797.40","15,868,137.05","15,322,246.83","9,581,560.98","12,485,501.49","10,132,803.84","11,968,807.47","14,240,833.52","16,788,565.09","28,496,137.26","35,920,769.38","37,853,779.06","40,936,600.52","28,745,573.42","32,298,019.94","39,105,062.98","40,221,428.01","30,014,135.88","47,382,268.48","68,044,206.44","70,926,599.05"
应收利息,,,,,,,,,,,,,,,"1,128,624.10","2,102,399.39","102,422.51","435,676.86","2,928,597.71","5,597,714.50","8,441,493.48","10,247,596.91","8,471,476.97","11,813,237.38","6,929,831.02","2,018,311.39","3,009,511.84","2,133,766.31","1,347,095.35","2,015,176.10","928,984.94","1,285,017.29","1,808,116.86","2,176,613.67"
应付利息,,,,,,,,,,,,,,,,,,,,,"1,498,255.55","2,370,333.44","2,953,332.26","2,613,213.99","4,145,765.20","3,291,251.48","4,253,452.51","6,271,496.44","6,743,275.12","9,464,228.68","11,116,952.11","10,968,891.77","5,907,993.50","5,613,513.74"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
