科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"309,667,448.03","376,341,359.84","484,357,804.82","112,854,798.21","275,941,166.16","413,521,018.58","514,604,627.04","94,098,757.76","257,800,919.07","405,840,792.11","526,861,660.67","121,102,309.95","269,219,145.00","391,944,253.76","526,882,941.69","93,326,489.80","176,150,756.04","280,507,253.21","389,266,870.52","81,255,958.75","134,855,758.66","210,165,994.25","381,339,800.44","87,866,409.10","162,638,096.89","255,542,387.50","323,414,460.45","25,663,178.74","52,728,919.28","66,593,437.49","81,908,481.59","5,555,552.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"45,011,388.86",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"9,805,472.08","13,238,196.64","15,303,729.78","2,844,562.62","3,939,828.64","13,467,721.16","17,163,690.31","3,466,910.23","5,591,346.50","13,616,421.33","15,340,737.69","7,426,325.11","8,605,934.19","10,502,556.74","12,468,545.55","4,800,561.55","6,371,620.64","7,696,921.73","10,794,429.66","3,682,348.22","4,796,351.76","5,770,591.55","6,186,869.57","325,592.05","439,526.96","439,526.96","1,867,974.47","240,700.26","240,700.26","240,700.26","286,989.22",
支付其他与投资活动有关的现金,,,,,,,,,,,"1,450,000.00",,,,"285,008.31","532,883.80","1,921,858.99","3,471,037.10","4,294,312.98","16,349.80",,"611,665.80","2,990.55","420,000.00","572,151.00","576,568.00",,"305,548.65",,,,
收到其他与经营活动有关的现金,"2,214,896.24","8,849,290.65","4,590,784.54","1,976,268.39","3,122,095.99","3,861,204.18","9,094,446.51","2,488,207.00","13,961,373.19","17,022,871.56","17,404,778.01","1,842,772.21","4,831,894.07","6,260,312.05","6,822,815.96","2,912,726.52","3,669,569.49","4,395,464.61","4,136,136.85","3,200,280.73","5,673,387.07","8,770,758.83","4,520,599.87","1,332,290.24","3,683,614.04","5,079,512.60","4,771,732.81","540,730.93","2,230,981.93","3,430,365.67","5,423,148.31","368,456.25"
投资活动现金流出小计,"19,871,487.30","67,958,181.32","18,654,509.97","205,200.00","9,651,939.40","27,795,043.16","82,503,434.16","9,410,212.73","56,474,995.73","122,717,923.07","187,267,795.00","41,424,989.04","63,534,519.19","89,154,044.96","143,843,817.10","178,104,665.80","326,117,973.24","341,631,634.93","344,839,373.97","1,552,906.80","5,451,387.00","13,105,512.80","14,501,868.99","29,474,428.00","30,387,701.50","40,708,459.91","38,327,576.50","226,821,674.85","465,056,595.20","702,056,416.20","6,159,899,356.20","366,932,280.00"
经营活动现金流入小计,"321,687,816.35","398,428,847.13","504,252,319.14","117,675,629.22","283,003,090.79","430,849,943.92","540,862,763.86","100,053,874.99","277,353,638.76","436,480,085.00","559,607,176.37","130,371,407.27","282,656,973.26","408,707,122.55","546,174,303.20","101,039,777.87","186,191,946.17","292,599,639.55","404,197,437.03","88,138,587.70","145,325,497.49","224,707,344.63","392,047,269.88","89,524,291.39","166,761,237.89","261,061,427.06","330,054,167.73","26,444,609.93","55,200,601.47","70,264,503.42","87,618,619.12","5,924,008.49"
投资活动产生的现金流量净额,"-19,871,487.30","-57,958,181.32","-15,631,876.22","-205,200.00","-9,599,939.40","-27,743,043.16","-82,345,234.16","-9,410,212.73","-56,304,995.73","-122,547,923.07","-187,097,795.00","-39,954,989.04","-62,084,519.19","-87,704,044.96","-96,293,702.03","-9,157,293.11","-157,162,600.55","-172,676,262.24","-174,583,914.59","-1,552,906.80","-5,401,875.00","-12,477,805.01","-12,429,838.99","-29,474,428.00","-20,018,701.50","-25,190,959.91","-5,402,045.05","-65,721,727.89","-70,731,158.50","-120,442,502.09","-66,844,949.65","126,601,335.68"
购买商品、接受劳务支付的现金,"291,371,991.85","295,666,139.62","360,834,002.95","95,500,048.26","311,117,448.53","426,185,422.15","452,391,899.28","91,537,321.23","206,160,145.33","329,226,396.51","410,071,364.26","82,893,771.30","186,977,404.28","306,612,725.54","379,231,650.04","90,374,375.19","182,837,319.74","275,683,933.44","334,401,144.11","48,399,066.55","126,553,490.89","181,819,819.15","211,973,820.66","48,495,039.48","117,264,781.36","168,922,153.94","191,884,230.64","2,442,241.49","1,546,744.50","2,448,491.49","1,589,821.22","293,760.00"
吸收投资收到的现金,"40,000,000.00","26,000,000.00",,,"624,080,000.00","624,080,000.00","624,080,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
