科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,656,513,834.69","1,828,456,744.22","2,179,787,803.98","1,843,968,492.17","3,044,320,729.85","4,505,102,480.08","1,283,282,604.79","2,480,710,244.49","3,689,946,044.69","5,270,911,265.03","1,386,438,012.55","2,654,782,520.86","4,033,709,629.77","5,609,837,121.20","1,450,494,200.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"16,548,951.92","16,548,951.92","47,195,355.39",,"45,511,300.00","45,511,300.00","67,922,574.38","16,825,000.00"
收到的税费返还,"618,338.67","740,775.31","595,693.61","409,131.93","823,539.88","1,069,953.27","264,797.56","610,884.84","784,842.12","1,202,453.56","91,750.45","240,385.15","333,337.08","540,770.75","108,039.94"
支付其他与投资活动有关的现金,"50,000,000.00","11,000,000.00","22,030,000.00",,"2,646,800.90","1,478,630.00","1,110,000.00","4,110,000.00","9,610,000.00","5,000,000.00",,"15,300,000.00","15,300,000.00","24,974,558.00","13,000,000.00"
收到其他与经营活动有关的现金,"26,110,565.96","37,166,031.78","38,680,842.99","12,903,564.62","25,505,868.77","35,702,112.05","7,229,798.21","13,046,386.40","27,474,102.49","37,353,698.24","13,099,382.00","26,867,384.97","40,744,042.61","54,989,176.34","37,163,945.31"
投资活动现金流出小计,"203,182,344.43","622,680,270.02","497,452,070.45","71,276,300.36","95,551,234.85","125,901,593.83","29,394,942.35","143,864,076.98","189,336,658.35","273,007,713.29","101,989,331.81","243,066,743.93","336,199,718.90","459,948,429.12","144,594,710.71"
经营活动现金流入小计,"1,683,242,739.32","1,866,363,551.31","2,219,064,340.58","1,857,281,188.72","3,070,650,138.50","4,541,874,545.40","1,290,777,200.56","2,494,367,515.73","3,718,204,989.30","5,309,467,416.83","1,399,629,145.00","2,681,890,290.98","4,074,787,009.46","5,665,367,068.29","1,487,766,185.62"
投资活动产生的现金流量净额,"-152,927,367.38","-209,206,740.81","-261,712,220.86","-56,759,500.36","-78,951,458.12","-88,822,316.00","-28,336,942.35","-81,332,039.89","-118,248,229.82","-158,557,706.20","-71,726,817.02","-188,737,554.87","-273,849,351.09","-383,934,778.36","-144,350,686.73"
购买商品、接受劳务支付的现金,"1,528,520,981.49","1,648,163,382.93","1,968,572,047.71","1,677,331,655.89","2,797,869,146.29","4,137,263,048.54","1,201,747,012.95","2,347,277,987.60","3,463,132,043.18","4,948,568,260.73","1,319,314,372.39","2,525,890,006.48","3,864,936,503.40","5,185,483,166.79","1,435,400,800.24"
吸收投资收到的现金,,"172,940,296.00","23,750,000.00","1,650,000.00","1,650,000.00","1,650,000.00","273,866,885.00","277,786,885.00","287,499,285.00","288,882,435.00","5,056,800.00",,"400,000.00","9,613,600.00","38,763,300.00"
支付给职工以及为职工支付的现金,"48,209,654.89","61,516,145.53","75,166,186.37","45,934,524.97","76,384,634.53","102,784,487.67","25,235,493.55","56,246,987.08","85,505,483.10","119,433,400.26","36,431,237.74","77,162,863.21","111,457,192.60","151,114,762.74","49,224,000.95"
取得借款收到的现金,"423,096,000.00","434,933,000.00","679,534,200.00","91,094,602.00","227,344,602.00","433,808,602.00","16,450,000.00","25,250,000.00","56,418,688.00","72,559,972.50","78,000,000.00","189,600,000.00","335,100,000.00","395,100,000.00","95,000,000.00"
支付的各项税费,"4,684,274.07","5,083,697.65","5,568,531.18","6,517,400.37","7,959,101.10","9,685,499.54","6,097,298.23","9,755,785.51","14,236,582.55","13,936,859.56","4,451,775.71","10,543,105.20","13,001,223.98","14,005,076.81","6,248,812.30"
收到其他与筹资活动有关的现金,"10,000,000.00","17,706,660.75","1,000,000.00",,,,,,,,"2,998,000.00","2,998,000.00","2,998,000.00","4,998,000.00",
支付其他与经营活动有关的现金,"20,143,268.09","29,470,245.21","31,160,658.57","14,380,254.69","20,616,121.58","28,014,195.09","9,059,637.67","20,860,931.95","29,701,609.61","44,562,203.82","16,413,391.85","23,711,428.15","35,636,729.20","53,912,860.02","24,024,519.62"
筹资活动现金流入小计,"433,096,000.00","625,579,956.75","704,284,200.00","92,744,602.00","228,994,602.00","435,458,602.00","290,316,885.00","303,036,885.00","343,917,973.00","361,442,407.50","86,054,800.00","192,598,000.00","338,498,000.00","409,711,600.00","133,763,300.00"
经营活动现金流出小计,"1,601,558,178.54","1,744,233,471.32","2,080,467,423.83","1,744,163,835.92","2,902,829,003.50","4,277,747,230.84","1,242,139,442.40","2,434,141,692.14","3,592,575,718.44","5,126,500,724.37","1,376,610,777.69","2,637,307,403.04","4,025,031,649.18","5,404,515,866.36","1,514,898,133.11"
偿还债务支付的现金,"322,560,000.00","396,760,000.00","630,063,200.00","165,300,000.00","321,650,000.00","571,650,000.00","299,800,000.00","303,400,000.00","317,050,000.00","336,250,000.00",,"20,000,000.00","20,000,000.00","59,300,002.00","4,000,000.00"
经营活动产生的现金流量净额,"81,684,560.78","122,130,079.99","138,596,916.75","113,117,352.80","167,821,135.00","264,127,314.56","48,637,758.16","60,225,823.59","125,629,270.86","182,966,692.46","23,018,367.31","44,582,887.94","49,755,360.28","260,851,201.93","-27,131,947.49"
分配股利、利润或偿还利息支付的现金,"32,432,093.66","28,916,612.22","45,899,492.98","26,395,330.66","31,338,095.43","36,056,293.80","2,426,909.04","8,503,150.55","23,748,069.43","25,788,344.94","1,709,902.44","27,142,364.88","36,064,116.26","41,629,303.28","5,639,352.87"
收回投资收到的现金,,"401,632,288.73","200,000,000.00",,,,,"62,000,000.00","62,000,000.00","59,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",
支付其他与筹资活动有关的现金,"10,000,000.00","19,044,275.77","7,901,446.00",,,"730,000.00","1,045,833.00","9,600,000.00","9,600,000.00","9,600,000.00","60,220,000.00","15,237,277.71","15,571,960.22","24,220,000.00","11,640,055.51"
取得投资收益收到的现金,,"3,512,465.76","2,123,013.70",,,,,"217,979.48","303,769.71","370,185.33","66,807.96","129,464.98","129,464.98","129,464.98",
筹资活动现金流出小计,"364,992,093.66","444,720,887.99","683,864,138.98","191,695,330.66","352,988,095.43","608,436,293.80","303,272,742.04","321,503,150.55","350,398,069.43","371,638,344.94","61,929,902.44","62,379,642.59","71,636,076.48","125,149,305.28","21,279,408.38"
处置固定资产、无形资产和其他长期资产收回的现金净额,"254,977.05","555,998.88","76,835.89",,"9,805.83","182,477.83","258,000.00","312,057.61","694,658.82","40,058,121.76","14,795,706.83","16,530,598.62","16,551,777.37","30,008,712.38","77,105.92"
筹资活动产生的现金流量净额,"68,103,906.34","180,859,068.76","20,420,061.02","-98,950,728.66","-123,993,493.43","-172,977,691.80","-12,955,857.04","-18,466,265.55","-6,480,096.43","-10,195,937.44","24,124,897.56","130,218,357.41","266,861,923.52","284,562,294.72","112,483,891.62"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-86,415.57",-555.54,"78,912.88","707,036.78","712,729.32","764,704.60","-3,702.96","-18,265.44","-60,231.17","-66,223.72",,"-7,389.09","-1,653.54","-1,983.59",-0.01
收到其他与投资活动有关的现金,"50,000,000.00","7,772,775.84","33,540,000.00","14,516,800.00","16,589,970.90","36,896,800.00","800,000.00","2,000.00","8,090,000.00","15,021,700.00","5,400,000.00","17,669,125.46","25,669,125.46","25,875,473.40","166,918.06"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"50,254,977.05","413,473,529.21","235,739,849.59","14,516,800.00","16,599,776.73","37,079,277.83","1,058,000.00","62,532,037.09","71,088,428.53","114,450,007.09","30,262,514.79","54,329,189.06","62,350,367.81","76,013,650.76","244,023.98"
五、现金及现金等价物净增加额,"-3,225,315.83","93,781,852.40","-102,616,330.21","-41,885,839.44","-34,411,087.23","3,092,011.36","7,341,255.81","-39,590,747.29","840,713.44","14,146,825.10","-24,583,552.15","-13,943,698.61","42,766,279.17","161,476,734.70","-58,998,742.61"
购建固定资产、无形资产和其他长期资产支付的现金,"114,624,644.43","211,680,270.02","275,422,070.45","71,276,300.36","92,904,433.95","124,422,963.83","28,284,942.35","59,067,625.06","99,040,206.43","138,436,156.90","91,989,331.81","162,255,443.93","243,068,418.90","333,813,796.74","114,769,710.71"
期初现金及现金等价物余额,"157,636,685.18","154,411,369.35","248,193,221.75","145,576,891.54","145,576,891.54","145,576,891.54","148,668,902.90","148,668,902.90","148,668,902.90","148,668,902.90","167,769,211.44","162,815,728.00","162,815,728.00","162,815,728.00","324,292,462.70"
投资支付的现金,"38,557,700.00","400,000,000.00","200,000,000.00",,,,,"64,137,500.00","64,137,500.00","82,376,201.00","10,000,000.00","20,000,000.00","32,320,000.00","33,237,500.00",
期末现金及现金等价物余额,"154,411,369.35","248,193,221.75","145,576,891.54","103,691,052.10","111,165,804.31","148,668,902.90","156,010,158.71","109,078,155.61","149,509,616.34","162,815,728.00","143,185,659.29","148,872,029.39","205,582,007.17","324,292,462.70","265,293,720.09"
