科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,580,395,576.72","3,149,759,974.42","2,841,031,827.81","1,433,758,220.99","2,162,632,783.39","3,098,251,928.97","638,955,022.09","1,668,808,599.95","2,609,802,902.44","3,764,083,658.57","614,768,543.74","1,518,166,804.92","2,389,239,356.69","3,674,633,716.84","862,570,667.46","2,120,952,059.38","3,371,811,634.88","4,807,436,459.76","962,726,341.26","2,060,976,150.38","3,527,586,656.45","4,637,610,399.44","974,040,882.52","2,074,549,858.53","3,045,329,482.27","4,171,100,331.63","741,443,052.32","1,828,382,392.47","2,891,487,332.33","4,138,144,544.06","761,420,561.17","2,148,175,808.74","3,351,739,780.19","4,744,989,890.50","1,179,790,957.02"
二、营业利润,"171,369,087.40","281,465,669.16","558,776,217.92","159,897,904.01","326,879,849.31","440,994,600.39","96,479,402.19","141,928,371.95","275,373,585.22","293,880,617.23","48,063,021.22","101,811,444.37","202,772,777.76","287,386,422.19","37,090,032.76","89,545,004.76","196,204,523.72","284,607,540.96","34,922,497.07","120,295,928.15","222,936,316.87","274,434,524.05","46,635,879.72","217,399,372.20","292,381,452.85","406,349,546.27","66,906,341.99","224,803,972.83","372,854,355.31","468,439,252.15","87,497,182.70","185,200,277.53","255,740,930.75","286,498,906.75","45,857,441.54"
减:营业成本,"2,207,488,748.04","2,499,759,072.73","2,224,988,935.75","1,111,990,784.11","1,654,348,232.06","2,434,762,735.92","458,153,378.68","1,392,081,112.66","2,089,184,134.97","3,136,921,694.40","529,519,165.74","1,283,914,930.52","2,005,005,413.33","3,124,001,925.95","704,299,232.92","1,803,051,094.79","2,872,957,054.24","4,049,921,454.80","804,253,936.03","1,757,291,853.34","2,978,132,477.70","3,859,645,427.68","848,037,984.57","1,713,536,185.17","2,494,645,242.46","3,359,790,531.61","657,345,975.47","1,471,612,099.65","2,343,125,088.55","3,399,396,167.31","662,079,228.85","1,814,610,955.28","2,829,674,014.76","4,005,238,775.70","990,642,808.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,427,083.84","9,509,363.50","11,830,101.40","3,985,993.00","4,295,858.61","11,605,830.45","245,498.36","1,167,587.05","1,717,113.67","7,391,180.06","180,914.67","4,741,874.12","7,747,380.24","18,701,276.42","1,136,992.47","3,136,060.31","4,468,387.81","17,054,255.35","2,302,155.74","3,542,049.24","5,868,163.42","9,762,653.56","1,922,090.83","13,038,507.65","17,648,860.86","24,997,908.88","5,997,760.12","14,528,077.08","21,838,139.77","34,503,898.98","6,177,762.64","9,951,913.69","12,854,040.10","17,414,262.68","7,989,047.64"
营业外收入,"10,687,388.22","8,618,158.54","15,057,095.72","30,680,162.93","31,272,857.93","32,111,562.57","3,015,717.00","27,487,970.89","32,868,109.13","45,885,442.43","2,302,858.80","3,564,173.66","4,493,766.29","14,016,074.59","2,149,531.37","15,715,606.86","221,355,863.54","234,393,994.63","2,872,106.58","11,500,686.84","24,132,752.12","14,971,418.98","3,097,202.53","6,613,608.48","9,883,319.88","14,708,790.31","2,100,824.94","9,467,370.01","14,164,370.57","34,339,095.17","1,660,836.13","3,168,886.22","14,636,683.36","1,825,533.74","1,872,130.81"
销售费用,"116,935,354.69","158,498,960.99","149,065,925.96","60,038,964.53","96,971,451.73","140,921,453.25","25,994,787.56","71,372,312.52","116,742,428.58","133,357,918.88","41,266,652.38","78,068,061.79","116,184,438.13","158,602,556.19","54,891,152.70","100,894,196.81","142,187,981.20","188,031,077.42","34,107,592.82","81,962,778.98","143,728,681.17","178,953,788.72","34,177,332.14","69,187,126.74","107,021,579.90","149,519,633.22","26,033,994.24","72,114,391.91","117,388,226.37","166,058,217.12","30,998,500.97","85,777,948.04","159,234,470.38","216,344,320.92","54,570,496.53"
减:营业外支出,"9,358,331.22","2,428,148.70","580,296.17","1,127,370.77","1,129,370.77","1,166,776.87","36,000.00","36,500.00","89,400.00","125,204.17","143,000.00","212,565.47","233,989.60","276,475.28","31,306.10","61,879.36","7,050,375.70","227,019.17","27,346.21","53,318.38","684,405.53","596,225.19","154,073.70","315,759.75","864,181.22","833,644.72",100.00,"112,528.44","192,664.00","730,502.16",26.64,"152,269.18","200,274.64","410,058.18","78,331.86"
管理费用,"76,409,791.63","75,464,335.51","76,496,877.30","38,448,137.88","58,814,419.37","102,791,617.99","26,987,786.73","38,107,677.03","65,712,705.90","115,923,422.68","24,752,218.65","55,555,194.60","88,919,058.92","143,691,994.89","30,133,218.88","65,363,416.75","102,163,292.04","192,147,976.88","39,392,340.57","77,565,456.53","117,326,075.22","197,442,981.53","41,271,013.33","106,298,592.68","135,246,508.12","233,704,490.92","40,929,903.49","119,227,154.68","135,631,155.74","230,512,955.62","53,568,815.72","126,213,066.65","222,426,458.03","346,564,786.38","79,361,885.04"
其中:非流动资产处置净损失,,"1,246.80","46,324.52",,,,,,,,,,,"28,327.76",,,,"94,484.65",,,,"17,608.06",,,,"59,214.64",,,,672.80,,"9,538.94","12,612.53",,
