科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"25,471,708.76","57,583,526.49","94,030,678.52","24,676,857.01","38,448,696.89","115,903,962.82","301,756,408.06","270,407,470.78","230,405,150.11","77,638,343.00","28,869,427.64","96,201,944.50","49,393,442.71","107,023,365.23","48,477,370.49","78,047,916.99","60,306,335.54","320,177,801.41","229,964,484.05","186,642,034.04","158,703,531.60","456,191,357.33","215,191,568.21","848,626,372.33","1,036,642,043.00","1,178,186,924.34","1,067,681,576.83","944,844,316.32","923,482,103.61","1,163,069,597.59","939,124,266.86","779,541,853.31","703,548,382.54","571,076,833.92","595,442,905.34"
短期借款,,"7,000,000.00","15,000,000.00","22,000,000.00","25,000,000.00","35,000,000.00","35,000,000.00","23,000,000.00",,"37,000,000.00","64,900,000.00","77,900,000.00","67,900,000.00","139,900,000.00","175,500,000.00","202,500,000.00","212,500,000.00","436,482,427.25","443,932,427.25","423,000,000.00","410,005,000.00","524,705,000.00","481,500,000.00","239,700,000.00","226,010,000.00","110,010,000.00","50,110,000.00","46,510,000.00","105,700,000.00","185,700,000.00","160,100,000.00","267,628,000.00","373,548,000.00","430,604,800.00","430,604,800.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"1,000,000.00",,"551,000.00","757,884.86","600,000.00","150,000.00","12,090,251.50","227,494.50","2,045,000.00",,"2,833,411.99","289,471.99","289,471.99",,"113,455,403.80","113,273,090.00","1,043,528.60","76,370,775.00","47,155,914.87","124,783,971.20","15,185,963.35","22,296,236.59","43,950,332.08","16,969,180.14","13,614,208.11","10,308,800.00","12,718,254.40","10,813,232.47","13,612,000.00","53,833,035.00","19,972,715.96","25,988,530.46"
应付票据,,"2,900,000.00","21,018,718.00",,"7,233,600.00","23,697,495.00",,,,"15,252,639.27","20,492,359.10","13,714,563.00","15,440,271.74","22,234,297.87","7,227,972.00","26,268,733.11","10,784,751.40","3,338,114.90","3,756,367.00","771,893.93","24,511,261.00","45,268,000.00","26,186,952.50","13,585,455.00",,,"5,785,023.00","2,638,923.00","55,962,252.25","45,309,901.27","499,371,034.32","729,911,118.00",,"463,122,899.15",
应收账款,"16,393,290.00","36,300,429.21","73,638,640.33","106,335,010.39","122,734,464.47","154,662,074.86","194,285,816.90","216,972,562.78","240,129,081.77","265,637,940.96","300,032,259.79","317,775,069.79","375,132,079.74","443,435,700.75","574,649,184.62","555,245,850.01","631,329,088.55","711,623,120.89","776,354,220.53","942,543,973.40","891,967,875.71","1,325,171,508.66","1,372,822,032.10","1,529,448,168.07","1,770,648,991.70","1,646,707,598.98","1,677,870,944.51","1,994,957,305.38","2,177,234,015.81","2,069,545,841.06","2,528,602,796.04","2,426,635,121.57","2,561,125,605.80","1,694,819,031.87","1,757,881,296.16"
应付账款,"6,096,628.89","37,714,172.51","81,646,562.76","75,013,031.70","104,870,575.42","120,504,875.95","133,675,377.48","134,123,282.71","134,697,689.25","139,977,103.60","110,954,611.96","91,422,991.57","112,578,262.50","150,414,983.66","227,150,521.00","109,141,841.66","141,734,613.35","332,157,176.12","341,784,661.83","312,351,265.35","313,714,965.07","401,076,584.06","490,972,240.31","513,588,149.18","557,926,923.23","566,701,218.30","529,376,117.82","666,734,572.92","595,530,754.51","499,647,175.66","568,212,537.18","547,266,587.81",,"494,463,356.56",
预付款项,"9,134,490.91","14,362,705.92","18,969,874.70","28,736,216.91","33,932,507.22","25,318,407.82","46,126,412.13","50,285,789.70","39,150,626.03","27,035,521.07","73,991,426.45","62,912,259.36","80,283,640.06","53,490,485.87","136,685,419.85","106,247,054.53","85,750,509.61","168,379,066.08","241,404,326.61","215,075,669.40","309,315,186.75","231,384,122.56","293,942,191.48","249,682,450.32","216,227,933.20","123,776,001.15","164,868,643.59","172,655,306.42","153,379,640.85","118,649,119.71","532,857,874.66","986,638,975.14","977,886,221.36","716,293,000.38","701,550,202.87"
预收款项,"33,308,985.52","28,542,178.86","37,086,601.59","14,751,324.70","17,220,440.52","10,241,957.92","6,040,187.19","5,538,501.22","6,141,221.52","8,460,142.11","15,344,473.26","17,555,648.66","23,695,888.95","16,946,820.00","19,327,930.96","38,541,868.76","23,349,210.82","143,991,584.99","170,301,698.88","116,074,563.47","166,137,273.92","144,623,229.68","209,066,602.01","106,255,991.59","74,883,727.84","88,913,568.98","38,448,174.66","89,210,285.48","94,223,968.85","79,269,672.28","188,354,809.46","55,836,283.06","169,218,095.94","89,191,122.99","268,207,795.87"
