科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"173,744,615.21","302,559,938.06","322,318,002.95","151,411,170.14","241,321,491.30","346,154,527.43","96,503,621.24","213,449,789.75","308,732,774.95","467,997,487.38","102,948,483.50","265,862,656.07","432,396,965.48","672,029,216.69","141,551,921.55","283,071,340.16","471,154,919.47","714,034,515.78","158,417,127.58","351,885,219.51","550,344,429.44","894,797,596.61","203,673,767.86","434,548,646.16","714,239,700.30","1,182,904,625.62","172,739,957.87","578,648,285.35","960,440,115.46","1,537,047,168.16","337,566,622.05","744,284,347.34","1,282,459,850.71","1,815,393,470.56","442,183,099.73","956,769,178.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"45,162,028.55","45,162,028.55","57,435,311.76",,,,,,"2,822,216.09","2,822,216.09","1,822,216.09",,,,,,,,,,,,,,
收到的税费返还,"316,585.43","515,688.28",,,,"200,919.19",,,,"4,652.70",,,,"1,316.45",,"11,749,783.73","11,749,783.73","5,502,965.84",,,,"1,083,405.87",,,"982,900.00","173,034.50",,,,"1,121,733.77",,,,"902,450.56",,"1,834,491.46"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"947,468.52","947,468.52","22,756,603.69",,
收到其他与经营活动有关的现金,"4,270,140.51","10,806,915.72","12,473,034.60","6,051,738.84","6,182,957.45","17,668,065.99","8,603,320.86","11,996,657.00","21,291,589.39","30,032,044.14","12,257,476.38","16,442,985.70","23,108,430.75","40,991,758.28","28,603,935.51","37,002,105.50","59,088,249.87","60,151,935.79","9,781,285.56","33,254,567.89","52,581,696.17","80,982,294.11","11,982,229.95","14,592,246.50","19,325,015.11","107,503,526.36","11,861,079.64","37,629,079.75","28,556,111.10","68,341,673.17","32,742,662.41","690,287,872.29","979,948,632.02","982,222,086.86","359,116,220.32","640,177,896.57"
投资活动现金流出小计,"3,287,398.94","6,947,754.21","1,774,153.95","1,843,150.36","2,723,398.58","6,154,313.05","1,722,731.18","3,401,051.03","6,956,419.50","16,149,299.79","40,316,637.71","88,591,356.82","113,518,669.21","166,469,658.85","3,133,485.94","37,891,317.04","57,620,295.41","98,624,459.83","46,527,016.05","101,979,192.43","125,009,162.94","138,792,493.06","32,698,449.63","84,635,045.77","113,565,292.98","133,675,017.24","5,787,686.95","82,961,812.65","97,460,594.62","180,913,610.68","18,255,272.04","51,431,815.15","81,532,831.42","185,039,563.48","15,891,052.09","63,868,749.42"
经营活动现金流入小计,"178,331,341.15","313,882,542.06","334,791,037.55","157,462,908.98","247,504,448.75","364,023,512.61","105,106,942.10","225,446,446.75","330,024,364.34","498,034,184.22","115,205,959.88","282,305,641.77","455,505,396.23","713,022,291.42","170,155,857.06","331,823,229.39","541,992,953.07","779,689,417.41","168,198,413.14","385,139,787.40","602,926,125.61","976,863,296.59","215,655,997.81","449,140,892.66","734,547,615.41","1,290,581,186.48","184,601,037.51","616,277,365.10","988,996,226.56","1,606,510,575.10","370,309,284.46","1,434,572,219.63","2,262,408,482.73","2,798,518,007.98","801,299,320.05","1,598,781,566.55"
投资活动产生的现金流量净额,"-2,937,374.59","-6,665,269.98","-1,609,333.09","-1,776,096.60","-2,656,344.82","-6,000,906.20","-1,622,504.88","-3,327,367.45","-6,744,644.01","-15,853,125.72","-40,270,500.97","-88,476,753.22","-113,333,520.67","-166,175,006.60","-3,087,395.46","-37,285,550.10","-57,079,377.94","-97,926,671.59","-46,501,660.60","-101,887,734.55","-124,855,373.52","-134,751,543.26","-32,463,486.69","-84,502,428.51","-113,293,458.91","-133,675,017.24","31,929,457.25","-45,125,494.78","-59,592,893.41","-138,371,112.52","-18,172,581.83","-51,165,871.31","-80,748,400.19","-175,742,356.93","-15,752,131.12","-63,714,276.60"
购买商品、接受劳务支付的现金,"56,014,416.63","112,886,241.22","105,790,371.66","65,854,611.49","95,590,155.26","136,281,461.08","34,049,612.13","91,118,072.71","142,770,436.96","177,432,927.70","50,300,976.48","126,450,118.81","190,351,476.12","259,067,990.45","54,613,512.16","117,176,659.13","238,478,807.09","249,382,197.18","79,944,834.73","155,333,697.86","245,239,496.51","341,278,451.70","112,613,622.57","201,634,669.22","280,405,961.32","409,979,187.97","132,183,090.05","281,388,566.26","464,149,397.45","554,869,832.33","158,729,534.01","354,236,692.72","606,514,524.71","502,527,936.98","192,081,873.34","419,598,417.69"
吸收投资收到的现金,"667,890.00",,,,,,"713,733,119.68","713,733,119.68","771,878,094.68","771,878,094.68",,,,"4,900,000.00","80,934,000.00","80,934,000.00","80,934,000.00","80,934,000.00","43,056,920.00","43,213,320.00","43,213,320.00","125,737,320.00",,"2,000,000.00","2,000,000.00","57,336,260.00",,"6,549,700.00","203,533,985.00","233,813,985.00",,,,"62,702,870.00","112,983,200.00","112,983,200.00"
