科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"127,323,100.17","82,224,250.44","197,475,817.53","466,173,112.58","214,373,535.15","126,362,278.09","220,067,420.82","173,923,251.10","185,180,658.97","721,767,949.36","577,492,581.28","598,028,519.16","383,430,693.56","912,096,240.16","380,369,401.58","376,020,367.86","416,621,813.99","409,287,898.65","559,603,632.32","562,330,169.57"
短期借款,"117,500,000.00","111,151,704.40","298,976,395.70","342,211,080.68","257,211,843.02","280,255,784.88","305,091,569.03","383,682,039.48","387,990,423.81","666,910,559.44","603,695,308.28","759,195,308.28","728,695,308.28","1,134,695,308.28","674,090,731.43","812,929,142.74","835,129,673.16","834,460,205.48","962,610,222.65","1,229,635,926.67"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"89,657,075.88","114,536,011.84","191,105,437.18","191,941,886.23","155,670,440.59","207,142,663.04","322,795,663.77","315,872,911.76","318,449,376.70","394,370,069.03","329,615,208.93","187,283,633.98","114,185,370.59","201,315,545.13","276,072,624.65","270,614,912.30","517,438,148.67","784,110,701.27","1,106,100,578.18","1,293,290,130.26"
应付票据,"45,094,386.76","27,107,285.35","70,768,906.82","104,592,885.50","82,863,932.00","79,491,389.51","140,655,347.22","224,387,794.37","255,890,372.21","221,754,911.38","197,174,833.40","190,362,164.75","137,653,725.44","103,183,172.30","121,400,177.91","179,239,789.32","239,760,497.39",,"320,505,683.07",
应收账款,"624,042,082.87","765,051,860.18","963,331,938.29","849,567,725.14","1,110,316,430.32","1,277,337,966.52","1,176,495,486.79","1,025,679,076.22","1,587,598,069.84","1,874,601,425.81","1,855,743,215.60","1,394,202,095.24","2,163,298,956.96","2,242,828,303.06","2,538,311,009.97","2,371,963,811.23","3,173,457,795.21","3,481,865,999.72","4,385,701,664.97","4,076,289,968.65"
应付账款,"478,506,690.94","571,394,105.95","702,325,130.47","551,117,922.01","736,129,673.62","984,361,791.21","889,310,924.83","733,803,482.53","1,280,305,367.65","1,622,268,174.20","1,399,426,631.30","1,175,894,821.60","1,490,623,213.47","1,877,072,606.09","1,979,793,025.67","1,597,391,478.40","2,436,978,958.33",,"3,641,207,819.86",
预付款项,"7,028,593.80","5,508,168.29","8,591,234.16","36,496,804.31","31,617,825.44","279,508,201.49","27,547,237.01","99,551,256.89","46,778,051.36","80,691,917.41","59,342,452.33","238,984,291.15","123,818,070.14","191,945,282.31","55,231,523.40","243,151,295.14","150,289,823.44","247,906,621.06","64,974,902.16","117,368,701.74"
预收款项,"17,981,731.32","44,011,441.06","44,534,168.24","45,112,872.68","51,233,986.38","92,214,161.63","55,375,730.10","122,583,824.29","109,621,408.58","128,948,507.86","105,415,344.87","280,295,877.98","273,840,690.37","331,013,117.50","262,032,989.95","458,934,893.36","407,167,313.95","343,601,983.03","401,499,114.45","435,040,413.21"
