科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"391,819,373.17","429,021,258.79","563,032,397.59","272,155,062.27","466,859,706.77","637,685,204.60","170,835,475.78","332,414,203.41","538,540,175.10","699,652,314.50","165,374,681.40","312,279,804.50","573,382,299.02","674,263,425.65","215,507,878.49","420,853,038.83","751,898,961.09","1,093,818,929.42","457,043,531.81","748,871,992.04","1,257,488,642.41","1,596,006,226.59","410,987,188.65"
取得子公司及其他营业单位支付的现金净额,"63,859.00",,,,,,,,,,,,,,,,"144,348,535.80","144,348,535.80",,"12,000,000.00",,,
收到的税费返还,"51,831,713.40","54,320,296.30","64,779,944.52","32,851,608.74","50,355,965.77","72,182,984.89","14,842,101.13","46,569,503.33","77,219,432.11","101,981,179.38","23,011,538.36","49,023,346.36","62,978,028.14","95,603,106.10","28,152,259.88","42,651,172.96","85,238,990.81","118,249,191.34","45,309,093.22","72,894,610.56","112,482,796.58","161,242,411.68","49,556,496.54"
支付其他与投资活动有关的现金,,,,,,,,,,,,"600,000,000.00","567,000,000.00","67,796,516.96","19,653,483.04","9,153,483.04",,"40,455,784.00","57,694,444.44","200,751,336.51","283,786,982.25","165,331,508.65","166,521,613.00"
收到其他与经营活动有关的现金,"9,013,749.28","10,185,988.75","30,207,943.57","22,933,963.71","25,386,612.31","26,335,681.15","16,999,063.64","38,534,402.97","40,869,556.28","40,938,671.35","143,881,054.11","193,268,585.78","195,052,539.53","82,971,140.22","26,789,821.33","32,131,969.72","21,403,366.02","43,180,962.06","19,112,554.63","37,677,586.89","56,030,841.34","46,566,900.52","23,219,864.92"
投资活动现金流出小计,"94,140,077.99","72,347,339.94","133,476,173.11","46,788,385.76","73,621,907.20","99,316,731.45","32,060,001.64","136,108,806.78","211,002,310.02","305,680,418.85","159,639,693.24","820,848,726.21","886,514,497.14","1,055,525,238.54","120,021,145.90","451,624,105.98","628,283,054.79","786,438,447.67","177,000,623.05","711,001,152.37","969,808,362.59","951,777,898.99","254,175,730.36"
经营活动现金流入小计,"452,664,835.85","493,527,543.84","658,020,285.68","327,940,634.72","542,602,284.85","736,203,870.64","202,676,640.55","417,518,109.71","656,629,163.49","842,572,165.23","332,267,273.87","554,571,736.64","831,412,866.69","852,837,671.97","270,449,959.70","495,636,181.51","858,541,317.92","1,255,249,082.82","521,465,179.66","859,444,189.49","1,426,002,280.33","1,803,815,538.79","483,763,550.11"
投资活动产生的现金流量净额,"-90,224,342.45","-71,778,788.57","-132,753,350.85","-46,467,568.21","-73,151,796.89","-99,316,731.45","-32,054,101.64","-135,561,057.29","-210,454,560.53","-305,670,550.85","-159,622,599.22","-820,831,632.19","-886,497,403.12","-915,741,196.88","211,978,854.10","81,166,582.14","-96,165,650.77","-135,552,383.60","62,155,439.75","-239,825,358.55","-310,005,975.07","-307,997,677.93","-35,232,871.52"
购买商品、接受劳务支付的现金,"254,225,194.55","265,064,381.66","356,730,011.45","172,435,495.47","283,724,569.19","388,826,730.96","127,837,519.41","234,464,913.26","358,464,608.72","430,618,088.79","85,197,586.97","225,840,459.26","396,560,793.87","475,262,013.92","137,511,713.34","270,325,984.53","525,895,889.44","718,283,877.12","295,639,763.48","510,575,433.01","747,735,069.75","974,132,634.14","242,280,677.49"
吸收投资收到的现金,"19,802,049.60",,,,,,"345,498,941.56","356,900,000.00","356,900,000.00","356,900,000.00","985,376,000.00","985,376,000.00","985,376,000.00","1,001,946,000.00",,,,"192,334,996.00",,,,,"1,095,606.00"
支付给职工以及为职工支付的现金,"55,601,576.01","80,813,038.62","112,981,760.23","70,316,605.61","102,834,485.33","126,783,119.68","36,800,549.24","77,076,797.95","104,616,857.73","148,661,360.09","37,520,067.00","85,696,766.42","115,770,976.29","183,662,344.62","48,558,711.97","105,225,856.37","146,376,900.38","274,693,363.03","104,914,163.63","205,026,843.41","302,551,744.21","395,715,944.46","139,465,040.49"
取得借款收到的现金,"366,270,910.62","338,125,784.00","314,751,669.00","179,031,153.80","268,750,698.20","363,750,698.20","33,781,400.00","93,046,793.40","201,791,572.80","241,791,572.80","150,000,000.00","258,530,702.10","406,892,442.16","533,579,503.57","105,000,000.00","233,000,000.00","403,000,000.00","483,000,000.00","140,840,953.09","440,609,012.82","495,133,368.80","682,632,799.88","104,189,477.99"
支付的各项税费,"36,994,657.10","46,701,626.57","51,981,677.87","29,925,018.89","47,882,015.99","62,579,829.92","13,691,332.64","38,534,266.70","50,830,980.09","77,981,296.16","14,313,822.77","32,092,692.97","44,998,501.92","66,824,168.33","14,098,714.18","25,236,145.56","40,729,856.35","53,407,688.26","35,705,211.68","36,793,438.55","55,267,887.02","82,235,458.52","41,512,547.82"
收到其他与筹资活动有关的现金,"8,147,935.40","4,965,831.34",,,,,,"26,000,000.00","26,000,000.00","26,000,000.00",,,,,,,,"53,622,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00",
