科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"176,935,891.67","179,930,096.32","174,580,236.47","166,362,406.56","206,640,121.06","174,359,395.45","151,362,156.53","152,697,324.08","147,708,276.65","148,579,100.26","218,399,940.39","426,926,943.54","389,991,617.86","445,877,881.62","517,134,334.43","857,464,876.09","863,193,284.51","803,497,670.60","878,279,165.57","922,194,508.80","916,675,665.81","837,167,011.40","712,537,212.20","689,955,584.77","672,364,403.93","672,940,800.50","627,807,275.06","455,563,236.73","405,471,154.93","420,435,119.06","413,416,579.49","358,681,590.26","318,188,906.82","316,274,239.00","325,891,240.00","379,042,777.96","343,869,542.11","320,879,904.38","395,142,273.45","358,478,262.88","584,673,587.70","345,110,376.14","390,768,734.60"
应付职工薪酬,"7,292,031.35","11,409,347.98","13,080,223.90","18,401,714.45","10,410,386.53","13,519,320.38","13,875,603.42","22,049,573.38","15,660,780.05","16,098,511.73","17,148,601.58","41,211,298.13","20,459,323.89","25,966,606.12","28,582,541.28","56,186,223.20","26,126,282.26","29,600,611.74","28,768,857.03","70,764,447.87","32,599,496.38","37,197,517.85","55,038,872.37","113,079,800.40","41,023,441.76","44,521,105.64","57,973,329.96","131,304,724.55","58,931,775.54","67,047,116.25","92,090,185.08","148,326,809.98","50,745,080.74","80,017,201.42","86,834,956.86","145,112,586.95","52,887,120.87","89,998,024.45","103,619,816.30","203,775,235.61","74,896,005.53","106,604,201.00","113,342,252.48"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-19,556,980.53","-22,156,285.33","-35,258,194.76","28,479,211.61","14,442,932.01","-25,982,498.99","-33,332,123.89","22,261,054.74","3,248,109.77","47,467,437.30","31,914,978.84","170,510,841.63","91,996,497.75","22,271,336.29","29,021,475.30","66,673,987.76","-35,871,292.96","-99,895,378.60","305,294.14","75,707,250.61","58,925,234.88","-33,562,238.38","188,537,866.50","219,356,690.78","207,945,868.91","69,305,415.41","96,998,645.85","139,989,277.85","131,397,057.19","89,614,138.39","126,725,086.37","107,713,112.07","52,926,442.08","75,563,814.09","74,825,906.96","109,548,171.58","71,185,429.00","137,657,680.85","69,613,176.02","110,075,026.70","50,093,127.95","163,741,755.40","180,329,358.42"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,"484,761.95","105,275.76","2,438,499.72","2,943,213.06","610,166.92","620,195.44","969,382.70","2,636,378.91","2,043,758.22","2,296,520.24","683,125.24","743,432.67","766,868.61","993,764.48","1,036,260.81","948,308.10","1,181,104.41","722,750.97","1,224,780.18","3,203,974.62","1,406,806.95","1,727,104.05","1,122,688.03","1,438,305.13"
应收股利,,,,,,,,,,,,,,,,"608,567.10",,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"4,013,406.35","4,013,406.35","2,394,926.87","2,025,671.27","1,956,147.63","1,463,113.24","1,463,113.24","1,378,113.24","1,378,113.24","1,554,352.20","1,554,352.20","1,554,352.20","1,554,352.20","106,674,316.95","106,674,316.95","106,674,316.95","106,674,316.95","190,397,034.74","107,124,316.95","2,004,352.20","1,378,113.24","86,982,324.60","2,004,352.20","2,004,352.20","2,004,352.20","64,306,852.20","3,890,298.01","6,600,298.01","1,924,059.09","5,152,427.28","3,878,113.28","2,878,113.28","2,878,113.28","2,878,113.28","41,179,510.14","32,745,751.31","32,745,751.31","109,404,852.37","29,545,063.44","29,545,063.44","29,545,063.44","105,062,094.47","25,019,634.46"
存货,"1,214,714,984.11","1,150,381,753.71","1,296,567,425.17","891,832,920.51","798,466,979.07","847,452,127.82","1,162,775,854.75","858,747,800.05","919,582,085.90","994,714,671.54","1,645,281,508.86","1,395,359,370.64","1,531,379,691.76","1,486,001,513.52","1,675,857,236.26","1,730,776,224.54","1,855,513,155.82","1,942,661,929.70","1,470,046,824.02","1,545,096,613.12","1,563,625,571.42","1,752,949,804.36","858,462,122.46","908,491,945.92","918,040,745.60","923,753,110.39","915,768,469.45","758,778,578.81","800,695,035.86","765,449,419.16","777,354,440.49","696,219,434.00","637,388,168.14","559,963,959.80","533,475,688.72","532,548,623.26","445,978,626.63","430,672,111.67","445,839,620.13","430,940,736.95","485,609,848.53","460,429,098.08","455,473,522.03"
其他应付款,"98,474,220.62","94,848,549.66","81,407,098.44","94,557,434.50","129,901,676.61","108,904,013.98","148,256,437.75","154,975,021.11","162,198,158.98","264,249,022.16","200,218,329.58","249,241,028.94","296,309,748.01","239,343,145.71","189,952,143.14","305,204,967.18","336,564,511.79","253,228,261.22","387,460,746.85","298,349,641.85","239,756,434.09","354,454,013.32","462,369,042.27","464,587,787.36","442,628,020.64","445,226,204.17","421,588,947.51","531,479,639.78","621,127,068.70","364,670,921.32","319,242,196.83","311,524,555.87","371,064,720.12","378,462,530.10","374,328,211.14","271,084,678.36","311,828,942.88","305,244,684.24","337,875,747.14","294,064,672.49","271,985,538.20","311,416,041.00","292,032,934.11"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,241.14","22,231.99"
