科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"105,199,716.44","137,760,903.84","168,768,207.81","105,880,346.98","153,408,178.44","215,739,265.82","48,563,579.89","117,738,375.63","197,566,898.02","259,483,558.43","66,742,149.07","136,539,098.64","226,801,717.00","319,108,922.29","76,573,763.06","172,644,814.90","275,319,464.87","391,606,605.25","97,196,743.17","192,848,468.74","305,247,766.73","445,396,242.89","132,557,736.88","243,955,314.84","400,565,685.85","608,724,792.65","130,677,510.97","285,274,524.93","471,636,945.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"33,054,347.82",,,,"1,071,038.35","4,130,000.00",,,,"66,439,349.04","68,439,349.04","69,154,549.59","158,084,214.87","5,464,826.83","5,464,826.83","105,031,777.07","49,060,224.71",,,
收到的税费返还,"1,173,677.84","2,318,422.07","1,245,670.47","920,896.36","1,020,192.03","1,020,192.03",,,"922,318.98","1,747,008.21","334,700.51","1,374,767.06","4,194,960.83","5,029,701.62","5,113,409.59","7,606,764.71","9,463,450.84","9,467,567.43","1,433,879.41","1,707,182.60","15,327,737.06","5,026,930.63","3,878,580.45","5,493,585.70","7,775,944.53","11,122,207.66","3,436,517.82","5,922,725.38","13,072,555.60"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"4,060,000.00",,,,"8,000,000.00","3,000,000.00","3,000,000.00","8,280,000.00","49,916,000.00","4,500,000.00","13,500,000.00","4,553,005.30",,,,
收到其他与经营活动有关的现金,"2,111,826.25","4,216,541.92","1,981,605.85","928,052.92","2,371,240.57","3,194,734.67","2,158,236.76","3,886,653.41","5,520,408.25","6,175,628.82","6,267,183.02","7,125,388.29","6,845,945.88","4,264,287.50","2,264,946.69","3,877,820.48","7,413,291.44","9,654,597.92","571,828.10","6,207,114.47","21,290,352.17","6,107,516.20","9,078,279.48","18,129,772.70","24,109,405.30","13,715,611.13","1,121,974.02","7,977,888.51","21,508,795.24"
投资活动现金流出小计,"16,750,854.68","19,910,753.67","20,818,774.76","7,377,739.07","7,534,202.05","16,078,757.37","6,812,516.98","14,131,987.20","25,120,439.79","72,418,647.37","103,910,301.19","123,932,907.53","137,746,065.54","148,933,754.65","7,994,966.57","45,544,271.37","99,904,997.49","408,052,132.98","150,546,397.56","208,607,045.43","233,343,358.39","373,796,291.87","146,056,950.00","171,555,430.99","252,149,429.51","636,027,466.78","23,774,828.66","67,267,163.01","87,222,460.59"
经营活动现金流入小计,"108,485,220.53","144,295,867.83","171,995,484.13","107,729,296.26","156,799,611.04","219,954,192.52","50,721,816.65","121,625,029.04","204,009,625.25","267,406,195.46","73,344,032.60","145,039,253.99","237,842,623.71","328,402,911.41","83,952,119.34","184,129,400.09","292,196,207.15","410,728,770.60","99,202,450.68","200,762,765.81","341,865,855.96","456,530,689.72","145,514,596.81","267,578,673.24","432,451,035.68","633,562,611.44","135,236,002.81","299,175,138.82","506,218,295.86"
投资活动产生的现金流量净额,"-16,750,854.68","-19,819,753.67","-20,699,918.76","-4,365,226.25","-7,519,562.05","-12,023,577.52","-6,812,516.98","-14,113,987.20","-23,087,439.79","-68,240,831.14","-103,910,301.19","-123,931,787.53","-137,744,945.54","-143,107,142.86","-6,964,178.15","-44,015,186.71","-90,118,358.71","-370,576,876.40","-22,623,088.45","-32,636,035.15","-44,684,352.28","-147,337,717.81","-43,129,627.28","-57,000,091.27","-49,030,403.15","-609,741,562.56","64,249,316.48","270,621,792.97","67,040,438.92"
购买商品、接受劳务支付的现金,"51,608,750.24","80,446,619.79","77,029,018.29","59,127,087.07","94,902,566.65","117,492,343.10","28,803,154.38","68,622,305.35","116,672,294.94","146,056,276.11","47,001,218.21","84,851,002.56","132,842,589.41","181,026,821.88","41,658,457.27","96,294,755.14","148,166,393.91","212,393,743.83","60,651,416.79","108,840,593.21","166,086,106.09","236,515,276.81","79,698,933.59","146,339,813.40","243,654,516.74","327,637,244.54","86,092,381.01","132,739,431.35","246,242,674.09"
吸收投资收到的现金,,,,,,"285,775,000.00",,"1,100,000.00","2,100,000.00","2,100,000.00","13,977,920.00","13,977,920.00","13,977,920.00","16,262,670.00",,,,"227,991,372.30",,"134,799.45",,"24,090,000.00",,,,,"1,724,837.00","383,074,837.00","578,594,837.00"
