科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"143,078,227.93","259,025,817.75","323,727,174.54",,"279,573,015.94","381,491,384.18","504,031,256.07","267,700,698.05","323,023,173.78","480,352,290.52"
短期借款,"170,000,000.00","30,000,000.00",,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,"781,128.45",,"245,600.00","385,600.00",,,"100,000.00","2,985,971.20"
应付票据,,"200,000.00",,,,,,,,
应收账款,"32,452,202.44","31,537,001.42","34,717,055.49",,"51,533,090.44","47,551,027.26","50,438,227.59","47,047,463.38","42,871,786.35","48,948,358.87"
应付账款,"142,224,972.09","98,312,606.31","118,581,257.22",,"169,315,828.50","172,914,143.82","147,060,162.82","215,111,309.48","197,291,494.50","189,886,382.55"
预付款项,"113,015,002.49","15,967,338.81","18,980,948.75",,"20,147,523.78","26,482,388.76","49,152,211.35","70,026,211.35","30,382,963.27","29,822,260.88"
预收款项,"11,084,216.94","11,132,091.95","11,096,347.45",,"9,015,081.26","8,119,870.19","19,904,258.22","21,111,124.95","16,731,575.03","18,630,629.38"
其他应收款,"165,307,957.67","83,283,925.61","92,007,264.99",,"100,928,327.59","65,039,421.98","39,405,273.10","34,599,399.57","45,396,294.88","31,860,658.80"
应付职工薪酬,"87,692,989.43","98,404,814.94","128,070,457.84",,"106,321,708.95","111,894,618.17","122,481,620.56","101,314,435.31","107,061,319.31","112,933,272.79"
应收关联公司款,,,,,,,,,,
应交税费,"24,257,152.85","14,739,982.69","21,337,984.85",,"10,704,012.33","6,763,715.68","12,273,078.80","3,690,034.00","-2,659,732.21","2,220,379.18"
应收利息,,,,,,,,,,
应付利息,"543,548.60","252,074.31","91,729.17",,"45,937.50","25,200.01","27,708.34","27,708.34","27,708.34",
应收股利,"2,774,119.50",,,,,,,,,
应付股利,"30,139,401.61","28,139,401.61","20,139,401.61",,,,,,"319,856.62",
存货,"13,799,793.28","11,831,901.86","9,717,050.45",,"11,102,613.57","8,271,890.79","10,707,192.51","14,886,797.77","12,084,443.55","12,107,320.32"
其他应付款,"326,479,683.64","301,744,096.69","307,224,741.94",,"305,532,173.38","325,721,897.35","304,466,446.56","289,592,406.24","317,874,235.17","311,843,517.74"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"55,187,555.56","47,218,239.73","42,322,200.00",,"20,160,967.85","20,080,867.85","20,000,000.00","10,000,000.00","10,000,000.00",
其他流动资产,,,,,,"190,000,000.00","50,000,000.00","270,000,000.00","211,000,000.00","31,000,000.00"
其他流动负债,,,,,,,,,,
流动资产合计,"470,427,303.31","401,645,985.45","479,930,622.67",,"463,530,171.32","719,221,712.97","703,734,160.62","704,260,570.12","664,858,661.83","637,076,860.59"
流动负债合计,"847,609,520.72","630,143,308.23","648,864,120.08",,"621,095,709.77","645,520,313.07","626,213,275.30","640,847,018.32","646,646,456.76","635,514,181.64"
可供出售金融资产,,,,,,,,,,
长期借款,"81,555,111.08","62,000,000.00","20,000,000.00",,"10,000,000.00",,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,"10,857,465.91","12,954,467.45","14,032,243.05",,"15,598,909.78","20,410,329.95","21,640,650.71","24,204,742.49","25,224,799.90","25,901,421.52"
专项应付款,"11,352,174.84","11,352,174.84","10,642,475.84",,"10,642,475.84","10,642,475.84","10,642,475.84","10,642,475.84","10,642,475.84","10,642,475.84"
投资性房地产,"67,924,126.40","74,589,337.48","78,437,277.39",,"76,840,099.58","75,575,470.20","74,720,532.42","73,939,117.98","73,157,703.53","72,376,289.08"
预计负债,,,,,,,,,,
固定资产,"623,166,946.02","516,660,017.09","443,114,798.22",,"423,662,836.81","434,105,376.38","462,245,842.89","478,421,040.61","462,046,156.39","454,884,508.01"
递延所得税负债,,,,,,,,,,
在建工程,"101,601,145.54","83,834,722.01","163,827,294.21",,"202,405,592.72","228,511,696.20","234,979,874.67","252,085,596.93","278,943,916.01","316,317,988.98"
其他非流动负债,"22,042,170.00","31,115,004.00","70,237,838.00",,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"114,949,455.92","104,467,178.84","100,880,313.84",,"90,436,480.84","80,225,064.34","88,503,147.84","88,286,481.34","92,064,564.84","91,845,273.34"
