科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"173,803,226.99","116,891,553.54","77,908,304.48","119,403,280.10","172,125,840.57","29,700,424.60","57,113,408.05","98,329,877.33","277,406,285.31","46,085,058.63","100,526,154.29","165,977,546.06","229,526,441.79","71,040,482.51","165,975,309.91","207,344,145.60","468,987,714.39","110,721,095.44","200,867,371.98","297,691,612.78","428,245,206.77","175,820,319.25","246,009,819.12","351,913,239.72","780,466,586.49","160,788,687.46","317,118,049.95","564,223,353.82","894,167,955.82","183,843,505.21","284,786,806.80","484,965,272.44","728,716,360.72","172,476,695.60","308,462,070.41","441,060,372.19","1,446,170,081.45"
取得子公司及其他营业单位支付的现金净额,,,"799,889.24",,"799,889.24",,,,"2,424,141.70",,,,,,,,,,,,,,,,,,,,,,,,"49,933,986.40",,,"572,952,916.95","387,236,260.99"
收到的税费返还,"4,767,621.29","1,819,500.60","1,175,282.05","3,330,849.42","3,882,234.04","584,752.93","1,992,124.28","3,623,822.06","2,842,517.59","3,154,662.31","635,022.72","1,293,529.40","1,782,674.13","664,700.83","2,208,888.58","2,208,888.58","3,421,504.13","272,820.50","1,099,331.08","2,871,343.65","3,602,338.64","49,401.71","3,293,204.06","3,293,204.06","7,184,959.05",,"2,019,723.53","3,349,327.79","4,019,413.26","84,957.22","84,957.22","134,487.31","112,659.92","79,273.49","91,239.30","91,239.30","684,916.57"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"4,286,385.14","4,286,385.14",,,,"29,809,345.00","29,809,344.00",,"494,070.25","1,004,070.25","494,070.25",,,,"1,225,722.64"
收到其他与经营活动有关的现金,,"248,412.95","1,927,010.36",,"2,314,276.77",,"16,310,788.81","16,938,899.59","13,591,576.58","5,208,312.77","26,059,655.88","89,911,745.30","8,566,017.73","9,880,269.88","20,400,337.91","12,085,979.69","17,572,391.94","61,665,431.33","8,456,525.25","6,306,647.26","19,779,453.15","62,944,939.38","48,328,161.08","82,911,469.23","74,405,147.79","52,594,707.74","107,801,933.03","403,790,334.94","358,832,457.07","6,904,728.18","114,919,248.13","69,509,127.96","170,892,280.78","41,071,916.00","54,732,922.35","62,773,830.76","105,191,991.96"
投资活动现金流出小计,"2,662,820.80","40,250.00","824,813.40","24,924.16","2,084,064.97","96,286,739.04","96,148,654.13","102,309,498.03","145,173,788.98","2,050,150.23","19,498,316.05","35,495,774.87","56,049,188.67","10,932,213.00","33,125,084.14","49,618,432.05","95,671,497.20","18,144,944.58","50,398,855.73","86,841,439.22","140,316,562.00","25,337,036.62","87,844,336.74","113,554,205.84","125,038,611.21","12,477,350.88","19,862,164.92","215,358,441.14","259,155,986.77","50,521,060.12","99,076,482.85","103,420,304.95","107,906,286.20","628,544.65","628,544.65","573,640,444.60","399,463,560.28"
经营活动现金流入小计,"178,570,848.28","118,959,467.09","81,010,596.89","122,734,129.52","178,322,351.38","30,285,177.53","75,416,321.14","118,892,598.98","293,840,379.48","54,448,033.71","127,220,832.89","257,182,820.76","239,875,133.65","81,585,453.22","188,584,536.40","221,639,013.87","489,981,610.46","172,659,347.27","210,423,228.31","306,869,603.69","451,626,998.56","238,814,660.34","297,631,184.26","438,117,913.01","862,056,693.33","213,383,395.20","426,939,706.51","971,363,016.55","1,257,019,826.15","190,833,190.61","399,791,012.15","554,608,887.71","899,721,301.42","213,627,885.09","363,286,232.06","503,925,442.25","1,552,046,989.98"
投资活动产生的现金流量净额,"-2,662,820.80","-40,250.00","-824,813.40","72,475.84","-2,084,064.97","-96,286,739.04","-96,148,654.13","-102,309,498.03","-145,173,788.98","-2,008,410.23","-19,404,576.05","-35,395,354.87","-55,960,718.33","-10,932,213.00","-33,117,284.63","-49,610,632.54","-95,663,697.69","-18,093,717.78","-48,811,317.09","-70,273,190.45","-118,380,187.07","-28,991,455.14","-64,344,336.74","-77,254,205.84","-35,825,977.29","1,522,649.12","-5,861,664.92","-198,332,774.31","-245,130,319.94","-50,521,060.12","-88,019,062.85","-88,279,536.95","70,417,884.87","18,937,225.18","169,115,667.87","-403,896,232.08","-228,698,361.19"
购买商品、接受劳务支付的现金,"104,509,847.01","105,038,504.91","42,477,896.11","86,263,559.55","132,918,832.13","78,220,991.07","105,711,633.27","158,575,686.98","237,115,961.45","99,499,871.11","163,678,940.17","197,211,176.28","267,773,307.63","48,391,553.70","57,033,518.01","119,468,091.04","317,287,148.78","186,636,727.92","197,932,015.48","509,209,984.81","541,601,425.02","157,969,146.33","172,908,753.17","416,048,994.34","403,386,609.32","188,109,713.45","245,983,609.03","501,971,242.29","774,617,006.05","171,730,314.75","342,749,713.29","470,837,412.57","652,473,209.32","215,569,195.43","361,090,967.83","481,735,000.04","1,015,145,534.11"
吸收投资收到的现金,,,,,"538,000,000.00",,"4,900,000.00","6,680,000.00",,,,,,,"1,600,000.00","2,800,000.00","4,000,000.00",,"1,200,000.00","2,400,000.00","2,400,000.00",,,,,"490,000.00","490,000.00","490,000.00","10,590,000.00","10,049,900.00","10,400,000.00","10,400,000.00","10,662,140.00",,,"8,014,013.70","53,567,425.10"
