科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"341,130,428.12","405,621,318.55","271,238,330.36","90,924,668.46","135,330,336.75","296,743,562.57","42,491,743.91","81,715,236.52","122,759,054.08","274,328,780.43","35,270,587.80","72,088,279.44","115,225,585.15","306,217,873.99","26,371,629.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,"6,566,673.91","9,407,453.04","12,518,915.26","8,073,670.56","8,073,670.56","10,233,423.90",,"3,181,730.13","8,070,390.07","10,528,000.17",,"4,608,077.18","5,817,241.75","9,239,152.51","201,379.14"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,456,404.64","17,371,791.47","11,116,638.26","4,306,123.92","7,514,662.71","9,161,772.59","2,471,356.69","9,306,730.17","12,964,629.82","14,202,512.41","1,534,370.49","6,222,951.27","9,118,019.27","6,350,821.95","5,142,908.34"
投资活动现金流出小计,"3,313,495.07","8,794,467.09","5,084,848.91","5,162,513.41","6,176,903.82","108,774,531.72","21,439,365.19","111,650,549.49","117,249,947.46","303,810,331.79","74,262,565.66","148,594,057.66","205,311,519.66","328,306,636.56","50,463,649.00"
经营活动现金流入小计,"358,153,506.67","432,400,563.06","294,873,883.88","103,304,462.94","150,918,670.02","316,138,759.06","44,963,100.60","94,203,696.82","143,794,073.97","299,059,293.01","36,804,958.29","82,919,307.89","130,160,846.17","321,807,848.45","31,715,917.28"
投资活动产生的现金流量净额,"-3,313,495.07","-8,718,103.35","-5,053,032.92","-5,161,533.02","-6,173,923.43","-108,771,590.55","-21,439,365.19","-25,520,350.96","-30,515,831.12","53,387,457.82","-74,262,565.66","-75,760,356.29","-57,811,188.15","-68,348,189.83","-9,333.93"
购买商品、接受劳务支付的现金,"176,837,795.05","218,100,154.19","152,225,549.17","132,192,429.80","163,955,079.50","215,039,369.08","49,123,293.14","86,866,440.28","111,213,783.56","150,397,676.99","36,112,925.85","67,475,785.15","117,036,729.21","157,665,486.15","57,393,956.78"
吸收投资收到的现金,,,,,,"214,132,800.00",,,"1,147.79","1,142.45",,,,,
