科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"39,756,295,397.84","52,081,219,470.13","62,602,997,035.00","34,441,762,800.72","59,242,595,389.84","66,517,768,551.52","8,838,233,936.40","32,380,578,061.92","57,949,891,454.43","66,424,919,564.51","12,895,057,789.19"
取得子公司及其他营业单位支付的现金净额,,,"26,375,779.05",,,,,,,,
收到的税费返还,,"1,099,102.13","7,211,201.56","4,147,237.69","6,348,142.98","6,643,803.65","3,592,167.17","4,279,895.70","5,010,149.32","6,478,022.08","1,362,727.20"
支付其他与投资活动有关的现金,"2,001,910,000.00","1,862,963,045.87","3,794,096,967.76","192,002,166.25","320,954,244.11","4,138,406,385.96",,"48,900,572.24","2,988,564,612.27","3,049,227,490.21","514,591,855.97"
收到其他与经营活动有关的现金,"3,061,992,047.16","636,902,663.11","452,707,156.15","656,782,022.62","1,419,216,851.93","2,061,831,131.30","324,887,576.41","154,760,408.60","712,920,335.58","1,229,901,907.82","370,874,723.72"
投资活动现金流出小计,"2,702,689,406.83","2,854,742,939.23","6,304,654,914.80","1,836,790,113.81","5,884,129,636.77","6,941,086,721.39","1,110,725,598.53","3,351,803,722.62","6,250,613,572.53","8,232,514,354.18","859,743,999.06"
经营活动现金流入小计,"42,818,287,445.00","52,719,221,235.37","63,062,915,392.71","35,102,692,061.03","60,668,160,384.75","68,586,243,486.47","9,166,713,679.98","32,539,618,366.22","58,667,821,939.33","67,661,299,494.41","13,267,295,240.11"
投资活动产生的现金流量净额,"-2,617,253,501.84","-32,472,696.65","-4,453,599,458.87","124,546,696.76","-2,443,240,018.25","-2,114,747,329.58","-971,879,891.14","-3,054,308,555.57","-2,065,061,362.31","-3,574,400,015.59","-193,621,213.25"
购买商品、接受劳务支付的现金,"33,978,795,848.16","48,343,803,776.57","59,133,173,135.53","33,951,987,887.68","55,771,777,475.25","63,578,775,133.62","8,156,404,604.15","30,743,280,761.79","56,380,367,689.27","64,043,893,151.72","12,084,345,169.26"
吸收投资收到的现金,"10,000,000.00",,"241,859,006.32","1,094,022,901.11","35,100,531.95","7,804,854.89","1,322,724,909.96","1,336,257,673.21","1,202,719,298.40","1,203,008,406.11",
支付给职工以及为职工支付的现金,"1,769,725,270.95","1,592,670,884.07","1,172,652,024.30","492,974,535.58","931,618,343.59","1,296,517,536.16","376,297,761.42","732,610,404.11","1,064,183,717.87","1,450,402,764.11","415,114,439.56"
取得借款收到的现金,"11,199,716,498.53","14,305,907,987.30","28,458,304,948.18","6,178,789,715.00","8,456,054,685.00","27,568,959,684.53","2,244,236,686.00","7,181,486,218.97","10,647,079,304.11","20,546,815,999.50","3,649,790,000.00"
支付的各项税费,"491,659,983.69","874,856,902.79","956,454,726.13","516,171,223.66","691,167,676.07","1,023,468,426.51","257,194,551.68","487,728,077.44","791,458,440.11","1,201,409,154.25","190,915,191.90"
收到其他与筹资活动有关的现金,"478,470,722.00","1,020,555,589.18","2,213,505,347.27","2,296,520,264.48","3,145,042,026.06","4,686,709,564.97","3,494,510,890.55","4,012,690,296.28","4,478,406,588.07","5,364,430,360.53","2,217,385,136.59"
支付其他与经营活动有关的现金,"3,082,928,065.94","959,065,772.96","442,216,213.84","587,757,932.14","694,887,240.39","2,276,498,838.92","596,641,176.89","183,848,063.73","556,404,191.86","2,201,338,128.15","97,291,436.72"
筹资活动现金流入小计,"11,688,187,220.53","15,326,463,576.48","30,913,669,301.77","9,569,332,880.59","11,636,197,243.01","32,761,974,104.39","7,061,472,486.51","12,530,434,188.46","16,328,205,190.58","27,114,254,766.14","5,867,175,136.59"
经营活动现金流出小计,"39,323,109,168.74","51,770,397,336.39","61,704,496,099.80","35,548,891,579.06","58,089,450,735.30","68,175,259,935.21","9,386,538,094.14","32,147,467,307.07","58,792,414,039.11","68,897,043,198.23","12,787,666,237.44"
偿还债务支付的现金,"13,628,005,777.16","14,549,739,037.57","22,224,518,955.90","10,539,530,974.29","13,583,339,627.41","29,602,520,113.57","3,074,888,314.68","6,666,295,693.59","9,352,078,884.68","16,585,258,635.53","2,946,067,176.17"
经营活动产生的现金流量净额,"3,495,178,276.26","948,823,898.98","1,358,419,292.91","-446,199,518.03","2,578,709,649.45","410,983,551.26","-219,824,414.16","392,151,059.15","-124,592,099.78","-1,235,743,703.82","479,629,002.67"
分配股利、利润或偿还利息支付的现金,"592,429,302.90","513,112,575.20","593,406,541.81","249,420,501.53","473,543,325.54","624,685,230.17","404,653,899.20","312,580,037.31","602,735,810.77","820,671,897.78","222,228,973.06"
收回投资收到的现金,,,"266,411,177.85","169,725,418.47","1,481,182,066.46","676,171,268.26","96,063,784.62","90,112,284.25","2,989,142,106.16","607,380,765.88","648,486,374.17"
支付其他与筹资活动有关的现金,"20,708,803.80","547,433,570.90","1,272,086,394.86","1,410,399,086.21","1,474,862,114.18","3,626,846,939.58","2,288,446,447.93","2,930,144,097.66","4,069,031,537.50","5,028,331,812.18","2,899,813,686.16"
取得投资收益收到的现金,"22,259,689.02","54,579,613.00","75,847,678.33","195,031,248.12","266,847,588.03","436,064,796.62","39,332,101.23","127,260,346.07","192,962,644.95","319,513,146.53","10,936,629.80"
筹资活动现金流出小计,"14,241,143,883.86","15,610,285,183.67","24,090,011,892.57","12,199,350,562.03","15,531,745,067.13","33,854,052,283.32","5,767,988,661.81","9,909,019,828.56","14,023,846,232.95","22,434,262,345.49","6,068,109,835.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,366,328.57","3,943,546.76","2,772,272.36","13,672.88","20,200.00","174,073.32",,"871,924.55","871,694.21","21,723,399.87",
筹资活动产生的现金流量净额,"-2,552,956,663.33","-283,821,607.19","6,823,657,409.20","-2,630,017,681.44","-3,895,547,824.12","-1,092,078,178.93","1,293,483,824.70","2,621,414,359.90","2,304,358,957.63","4,679,992,420.65","-200,934,698.80"
处置子公司及其他营业单位收到的现金净额,,"363,730,592.95",,,,,,,"11,547,129.06",,
四、汇率变动对现金的影响,"-124,016,913.88","-342,722,997.23","75,232,662.47","98,705,161.56","-38,966,012.88","444,144,612.28","-1,315,465.76","-1,488,234.34","-26,466,919.57","-57,354,730.17","-59,520,581.39"
收到其他与投资活动有关的现金,"58,809,887.40","2,400,016,489.87","1,506,024,327.39","1,596,566,471.10","1,692,839,764.03","3,713,929,253.61","3,449,821.54","79,250,612.18","991,028,635.84","3,709,497,026.31","6,699,781.84"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"85,435,904.99","2,822,270,242.58","1,851,055,455.93","1,961,336,810.57","3,440,889,618.52","4,826,339,391.81","138,845,707.39","297,495,167.05","4,185,552,210.22","4,658,114,338.59","666,122,785.81"
五、现金及现金等价物净增加额,"-1,799,048,802.79","289,806,597.91","3,803,709,905.71","-2,852,965,341.15","-3,799,044,205.80","-2,351,697,344.97","100,464,053.64","-42,231,370.86","88,238,575.97","-187,506,028.93","25,552,509.23"
购建固定资产、无形资产和其他长期资产支付的现金,"629,418,295.72","745,108,002.53","1,006,735,622.30","647,092,130.05","957,340,080.21","1,306,529,469.28","312,859,212.08","530,910,534.27","737,122,421.60","1,141,771,422.61","233,117,831.11"
期初现金及现金等价物余额,"4,270,792,746.28","2,471,743,943.49","2,761,550,541.40","6,565,260,447.11","6,565,260,447.11","6,565,260,447.11","4,213,563,102.14","4,213,563,102.14","4,213,563,102.14","4,213,563,102.14","4,026,057,073.21"
投资支付的现金,"71,361,111.11","246,671,890.83","1,477,446,545.69","997,695,817.51","4,605,835,312.45","1,496,150,866.15","797,866,386.45","2,771,992,616.11","2,524,926,538.66","4,041,515,441.36","112,034,311.98"
期末现金及现金等价物余额,"2,471,743,943.49","2,761,550,541.40","6,565,260,447.11","3,712,295,105.96","2,766,216,241.31","4,213,563,102.14","4,314,027,155.78","4,171,331,731.28","4,301,801,678.11","4,026,057,073.21","4,051,609,582.44"
