科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"588,744,435.38","711,669,932.71","817,328,806.50","197,603,491.18","415,730,377.35","659,916,588.63","923,683,440.27","262,804,211.09","551,789,407.36","780,140,921.26","1,036,504,382.45","239,593,186.39","515,453,955.30","735,449,332.98","1,011,519,307.65","243,712,221.83","560,874,051.52","822,997,536.95","1,132,157,973.45","300,319,420.24","611,311,755.91","903,879,084.94","1,238,033,575.20","290,669,602.06","715,474,841.39","1,096,154,278.51","1,386,499,117.69","416,767,835.83","763,741,975.74","1,072,788,255.43","1,471,762,825.86","465,114,383.33","920,469,013.25","1,307,671,364.44","1,724,623,250.45"
二、营业利润,"67,448,764.23","74,406,817.03","86,662,629.37","17,104,177.40","32,236,237.35","51,437,166.97","65,219,462.18","23,750,882.67","42,995,807.93","57,221,043.68","65,214,540.37","18,063,539.90","29,654,005.98","45,464,279.07","57,398,950.42","17,639,050.15","29,167,772.36","40,708,736.64","41,914,530.61","22,417,177.32","35,440,460.63","47,101,269.31","46,172,133.25","18,086,064.43","32,555,240.62","48,222,637.00","49,728,695.96","27,800,467.48","46,155,984.87","62,563,724.79","70,560,133.28","28,374,254.54","48,659,087.24","64,434,291.28","60,369,756.68"
减:营业成本,"477,735,860.87","581,684,539.72","663,892,316.32","159,795,654.85","339,518,670.25","544,309,271.14","756,757,857.62","215,104,330.68","452,393,801.54","639,336,081.95","845,471,710.09","193,057,990.11","416,278,383.04","593,788,150.10","812,278,964.50","195,298,683.26","450,259,161.88","662,721,956.15","924,204,975.51","244,097,591.64","498,005,709.49","738,485,583.39","1,016,127,405.58","235,517,887.11","589,755,997.62","920,121,375.32","1,157,019,965.61","340,015,062.98","625,915,763.77","881,754,799.50","1,213,604,568.04","389,451,001.99","766,055,720.59","1,087,167,630.12","1,427,701,527.52"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,"48,602.99","80,130.00","198,881.89","672,000.04","2,425,057.13","256,839.92","1,652,229.37","2,094,525.68","2,860,398.90","646,513.25","1,700,965.60","2,639,671.76","4,077,071.75","1,192,633.98","2,168,714.99","4,423,095.24","6,796,964.44","1,091,275.15","3,816,706.62","5,739,031.71","7,963,389.74","3,691,911.30","7,032,639.41","9,536,766.46","18,322,005.42","2,083,956.40","5,926,201.44","9,114,591.24","13,644,285.11"
营业外收入,"542,453.84","270,381.68","646,226.53","9,235.44","40,688.85","87,484.75","2,793,434.97","161,827.65","164,827.65","315,774.14","1,140,945.70","130,140.02","1,984,426.77","2,645,449.42","3,974,561.59","1,004,648.28","3,885,344.39","14,533,338.39","22,675,571.15","561,958.42","736,378.63","1,489,727.32","7,948,753.86","10,944,205.18","11,405,471.16","11,488,734.67","13,316,710.79","886,019.46","1,510,676.27","1,787,104.91","2,476,845.42","45,998.30","2,365,558.10","3,210,472.61","84,187.08"
销售费用,"11,286,453.38","14,051,250.10","21,072,110.19","7,827,539.48","19,407,039.99","28,464,451.19","37,969,816.18","11,988,464.08","27,743,764.95","38,202,722.13","55,721,046.83","12,044,976.70","24,554,780.47","36,821,517.29","58,381,839.15","13,461,813.05","29,097,820.40","46,145,009.34","66,214,898.08","16,345,413.87","34,869,496.21","52,755,508.12","79,255,997.60","19,047,828.81","40,359,004.77","61,076,570.50","85,683,326.30","21,720,191.96","47,393,604.03","66,585,025.68","98,993,989.30","21,417,383.55","53,200,956.65","78,859,098.40","118,915,045.20"
减:营业外支出,"51,841.41",126.19,"2,263.19",,"2,775.00","10,283.27","16,976.30",411.42,508.57,508.57,"24,821.95",,"7,675,001.28","7,625,562.28","8,201,170.00","64,824.58","105,208.10","221,729.67","1,013,937.40","53,040.18","53,040.18","53,040.18","198,776.78",,,,"5,085.67",,"2,296,379.29","2,296,379.29","2,296,379.29",,"2,767,589.74","2,767,589.74","2,129.00"
管理费用,"21,530,181.15","27,441,563.85","27,640,510.74","7,763,622.74","13,916,958.25","19,934,048.73","37,504,039.33","8,055,059.41","15,091,612.91","24,420,971.02","38,363,914.47","8,519,250.03","21,166,426.18","30,629,473.72","42,127,905.95","9,232,402.89","22,477,089.12","35,393,870.71","47,978,767.74","10,805,969.77","28,886,168.78","43,765,336.95","60,096,258.45","15,664,076.23","34,498,633.30","51,692,301.90","68,887,281.35","16,761,873.54","34,297,196.65","52,281,014.80","69,160,260.50","18,739,258.99","37,849,679.36","57,599,173.39","76,530,347.86"
其中:非流动资产处置净损失,,,,,,,"6,692.76",,,,,,"7,514,262.28","7,514,262.28","8,200,114.02","64,824.58","58,208.10","58,208.10","62,812.49","53,040.18","53,040.18","53,040.18","185,276.78",,,,,,"2,296,379.29","2,296,379.29","2,296,379.29",,"2,767,589.74","2,767,589.74",
