科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"486,911,158.89","473,395,838.76","519,510,384.83",,"241,201,615.49","369,307,950.62","512,562,012.54","164,055,681.14","341,812,130.97","510,775,565.11","653,020,935.67","206,293,629.72","378,497,127.34","566,740,435.10","700,533,227.00","188,467,715.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"279,956.18","1,524,219.28","1,695,886.78",,"926,848.99","1,362,053.00","1,860,887.50","170,035.03","1,093,388.48","1,378,704.76","2,060,614.11","846,384.05","1,463,078.70","2,148,640.65","2,685,142.77","1,000,019.10"
支付其他与投资活动有关的现金,,,,,,"5,490,235.93","67,000,000.00","47,000,000.00","69,000,000.00",,"143,000,000.00",,"37,000,000.00","37,000,000.00","37,000,000.00",
收到其他与经营活动有关的现金,"6,347,763.14","7,004,069.37","988,843.91",,"992,149.71","1,821,082.48","1,264,577.10","88,113.56","6,571,657.69","7,197,793.76","1,128,979.44","3,670,638.02","4,873,918.41","6,918,892.15","5,459,013.03","2,525,990.15"
投资活动现金流出小计,"50,716,602.16","36,441,990.57","12,323,073.25",,"18,017,354.57","48,803,775.94","126,782,507.16","75,324,116.70","102,762,822.93","162,290,147.01","210,707,446.95","15,807,649.51","68,942,865.81","82,297,267.15","95,199,759.53","8,033,304.29"
经营活动现金流入小计,"493,538,878.21","481,924,127.41","522,195,115.52",,"243,120,614.19","372,491,086.10","515,687,477.14","164,313,829.73","349,477,177.14","519,352,063.63","656,210,529.22","210,810,651.79","384,834,124.45","575,807,967.90","708,677,382.80","191,993,724.82"
投资活动产生的现金流量净额,"-48,250,981.91","-36,344,069.52","-12,208,161.59","-10,953,300.00","-18,001,134.57","-48,345,228.08","-126,225,389.27","-7,732,519.22","12,288,588.25","-12,919,047.31","-29,062,612.44","14,192,350.49","-26,327,428.11","-14,451,792.73","-26,340,284.44","-7,826,401.38"
购买商品、接受劳务支付的现金,"344,207,321.53","342,730,922.51","359,285,449.59",,"170,445,095.09","257,810,174.51","351,789,884.21","131,534,403.49","263,242,126.52","394,749,082.39","481,569,328.41","140,877,591.18","263,640,254.56","410,016,999.84","482,421,531.87","109,006,490.41"
吸收投资收到的现金,,,,,,"142,000,000.00","142,000,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"62,382,761.69","70,656,876.20","64,886,343.70",,"34,794,717.24","52,535,360.12","71,956,621.91","23,193,346.10","43,351,964.03","63,823,755.88","87,319,910.14","26,649,141.37","50,677,636.07","77,222,420.95","102,930,015.59","26,506,721.35"
取得借款收到的现金,"56,386,188.43","48,800,000.00","53,000,000.00",,,"5,000,000.00","12,000,000.00",,"30,000,000.00","40,000,000.00","40,000,000.00",,"43,000,000.00","48,000,000.00","51,000,000.00",
