科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"11,458,625.90","27,314,651.33","30,362,670.28","46,395,522.56","343,421,621.49","324,599,715.40","303,462,188.99","300,350,488.35","271,790,421.60","286,548,689.52","278,358,288.13","263,195,312.17","246,583,773.99","234,320,453.46","242,521,148.99","189,754,727.58","150,106,475.21","233,154,370.88","225,201,013.15","158,656,189.17","133,043,457.27","167,463,933.58","145,899,441.15","134,031,742.35","173,800,727.76","177,469,866.00","105,442,056.94","104,406,697.74","66,201,168.06","119,333,273.22"
短期借款,,,"15,000,000.00","17,500,000.00","17,500,000.00",,"500,000.00","500,000.00","500,000.00",,"1,000,000.00",,,,,,,"500,000.00","500,000.00","14,379,151.00","27,799,151.00","10,000,000.00","23,350,000.00","10,000,000.00","10,000,000.00",,,,,"50,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"200,000.00",,,"4,914,947.00","3,057,550.00","2,540,784.30","2,144,017.05","5,894,174.25","7,699,304.90","9,649,100.65","6,426,500.00","6,097,686.00","3,218,204.90","3,773,549.10","2,391,633.64","20,335,301.95","15,543,954.15","383,000.00","440,435.00","741,495.00","2,168,890.00","3,706,985.20","2,122,352.20","3,367,614.55","1,370,837.55","2,508,979.00","1,649,190.00","12,303,100.00"
应付票据,,,"7,608,535.41","10,207,025.00","12,356,506.00","9,781,394.00","5,898,121.01","4,251,029.29","2,060,770.50","3,983,092.00","4,262,232.00","12,018,317.20","7,983,567.00","2,485,584.00","2,485,584.00","6,378,979.00","8,878,206.00","10,596,241.00","12,514,341.00","12,909,510.00","15,677,924.00","33,697,895.00","17,720,898.00","27,919,200.00","49,684,920.00","58,920,873.00","46,545,241.00","34,732,552.00","51,284,142.45","67,036,804.29"
应收账款,"10,951,880.05","24,077,285.78","47,129,474.55","48,487,398.49","80,466,481.68","72,224,555.34","80,176,672.96","105,258,969.54","136,234,489.22","121,170,248.20","131,045,239.90","139,591,226.59","148,955,211.91","123,562,085.22","144,307,293.30","171,318,603.55","228,971,199.66","196,284,804.69","209,028,213.79","311,809,225.15","317,198,592.60","324,533,901.50","349,266,759.34","372,907,357.47","335,454,548.81","257,707,873.78","278,783,569.10","264,623,001.59","334,580,029.79","298,462,978.95"
应付账款,"5,362,436.30","8,096,769.17","17,188,118.69","14,429,164.08","11,115,292.55","11,642,784.05","7,460,830.01","12,913,671.27","22,272,581.62","26,987,909.19","25,947,119.29","23,014,920.09","28,940,999.56","23,676,694.22","34,284,104.39","32,171,825.07","66,264,267.27","76,556,824.06","103,343,515.75","86,939,316.41","94,299,940.34","96,133,221.14","119,914,588.50","133,446,094.65","151,647,834.22","152,772,280.72","143,604,890.47","171,181,048.53","183,611,455.19","195,672,502.77"
预付款项,"718,581.50","104,150.00","7,185,934.42","440,177.42","643,476.93","216,787.65","1,457,755.09","1,692,664.56","1,588,696.60","637,617.50","1,966,550.97","1,562,031.97","2,559,269.18","1,668,312.97","543,809.94","996,451.82","6,175,049.12","1,096,231.49","1,255,845.92","2,157,873.92","3,601,423.69","779,766.46","10,578,755.37","12,147,328.77","11,071,076.90","2,176,183.33","20,296,073.84","11,433,781.15","22,037,309.43","4,837,985.61"
预收款项,"2,677,881.30","1,639,224.40","6,371,155.80","6,640,872.00","6,677,819.00","1,897,792.50","1,437,644.00","646,572.25","1,103,226.00","589,307.25","1,290,440.50","1,951,358.28","1,887,401.28","374,798.61","2,362,673.77","3,497,201.50","821,701.76","10,370,754.53","1,080,331.65","1,943,493.84","1,895,480.87","5,434,609.79","3,723,591.93","5,689,948.43","7,513,396.19","7,061,738.10","11,951,994.34","10,703,478.74","12,174,672.07","6,305,057.29"
