科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"465,597,580.52","526,636,173.77","575,628,880.41","141,724,138.37","338,081,227.93","498,267,851.62","680,954,983.35","162,357,572.44","395,155,944.08","573,312,486.13","835,515,477.55","181,519,084.03","442,355,717.32"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"47,212,399.14","45,493,659.37","51,799,746.71","8,353,101.26","21,919,085.37","41,701,907.24","53,189,316.58","9,836,551.59","36,338,583.64","50,745,025.07","67,390,009.68","25,966,432.56","51,299,360.77"
支付其他与投资活动有关的现金,,,,,,,,,"10,000,000.00","10,000,000.00",,,
收到其他与经营活动有关的现金,"3,205,969.49","6,185,689.27","4,317,912.80","2,510,617.93","8,690,197.10","8,760,635.66","15,928,719.70","1,377,030.06","1,235,570.40","2,130,549.47","1,413,358.21","2,088,344.68","9,350,630.61"
投资活动现金流出小计,"19,482,557.70","55,583,945.31","41,730,545.58","7,691,894.44","146,162,271.20","159,979,343.00","171,005,426.82","5,070,205.70","142,268,110.09","147,289,068.53","161,067,048.51","46,949,738.01","69,024,685.92"
经营活动现金流入小计,"516,015,949.15","578,315,522.41","631,746,539.92","152,587,857.56","368,690,510.40","548,730,394.52","750,073,019.63","173,571,154.09","432,730,098.12","626,188,060.67","904,318,845.44","209,573,861.27","503,005,708.70"
投资活动产生的现金流量净额,"-16,323,726.62","-51,900,531.01","-41,697,696.06","-7,640,893.34","-146,126,192.39","-159,910,381.43","-157,379,947.97","47,055,825.43","-37,912,102.83","-42,933,061.27","-54,831,642.03","-14,881,474.91","-36,377,261.14"
购买商品、接受劳务支付的现金,"371,919,921.98","428,277,302.65","441,796,187.48","112,193,871.87","255,347,012.25","429,527,958.30","548,124,039.01","141,843,695.23","312,428,152.99","475,289,896.14","635,256,560.94","180,794,274.08","381,205,001.61"
吸收投资收到的现金,,,,,"258,467,096.50","258,474,405.59","258,474,405.59",,,,,,
支付给职工以及为职工支付的现金,"44,825,230.71","55,241,619.27","65,155,417.31","19,500,291.82","42,802,205.49","66,169,799.52","84,301,204.58","22,606,936.93","51,706,591.02","76,100,890.35","98,709,611.24","26,554,776.07","57,015,028.41"
取得借款收到的现金,"126,121,100.00","120,856,261.41","196,331,652.14","40,139,792.29","55,000,000.00","75,000,000.00","95,000,000.00","41,278,800.00","91,278,800.00","91,278,800.00","91,335,200.00","11,898,139.12","56,898,139.12"
支付的各项税费,"7,868,619.08","16,447,979.75","20,676,492.32","6,080,308.75","9,547,586.86","16,507,415.14","20,803,991.99","6,902,990.97","14,078,328.94","22,911,200.09","24,026,196.01","12,614,990.31","17,478,400.54"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"26,649,784.37","36,517,740.88","45,995,612.36","9,634,051.46","19,481,187.29","26,795,640.37","24,101,779.17","42,090,852.53","17,347,059.32","25,171,615.09","44,051,516.11","14,173,090.71","23,014,734.60"
筹资活动现金流入小计,"126,121,100.00","120,856,261.41","196,331,652.14","40,139,792.29","313,467,096.50","333,474,405.59","353,474,405.59","41,278,800.00","91,278,800.00","91,278,800.00","91,335,200.00","11,898,139.12","56,898,139.12"
经营活动现金流出小计,"451,263,556.14","536,484,642.55","573,623,709.47","147,408,523.90","327,177,991.89","539,000,813.33","677,331,014.75","213,444,475.66","395,560,132.27","599,473,601.67","802,043,884.30","234,137,131.17","478,713,165.16"
偿还债务支付的现金,"178,641,050.00","111,907,800.00","128,457,363.42","50,559,496.29","140,559,496.29","140,559,496.29","195,559,496.29",,"20,749,400.00","79,545,400.00","91,335,200.00",,"45,000,000.00"
经营活动产生的现金流量净额,"64,752,393.01","41,830,879.86","58,122,830.45","5,179,333.66","41,512,518.51","9,729,581.19","72,742,004.88","-39,873,321.57","37,169,965.85","26,714,459.00","102,274,961.14","-24,563,269.90","24,292,543.54"
分配股利、利润或偿还利息支付的现金,"2,982,187.59","1,990,511.38","61,389,410.23","1,424,405.18","1,886,875.99","2,199,834.35","2,457,813.53",,"56,290,091.13","60,534,460.26","60,660,728.82","18,818,828.99","20,035,035.10"
收回投资收到的现金,,,,,,,,"50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,
取得投资收益收到的现金,"3,059,788.08","3,677,529.69",,,,,"10,769,210.81","2,126,031.13","4,073,552.56","4,073,552.56","4,004,306.48","248,263.10","766,263.14"
筹资活动现金流出小计,"181,623,237.59","113,898,311.38","189,846,773.65","51,983,901.47","142,446,372.28","142,759,330.64","198,017,309.82",,"77,039,491.13","140,079,860.26","151,995,928.82","18,818,828.99","65,035,035.10"
