科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"183,966,958.43","356,305,873.40","777,635,165.45","285,836,273.07","554,317,449.75","819,249,073.89","1,203,067,475.02","229,402,247.52","477,300,784.97","834,946,783.34","1,075,504,119.66","215,962,848.07","521,242,854.16","749,500,266.44","1,005,253,861.71","240,933,856.94","632,921,867.72","829,513,873.95","1,284,230,623.25","349,436,117.77","717,152,472.22","1,037,133,056.77","745,076,753.52","385,038,223.40","645,132,171.60","906,741,231.02","876,595,930.11","321,880,043.21","640,997,708.01","909,023,133.08","1,180,601,580.08","274,230,768.74","455,750,220.81","645,565,888.82","691,795,989.93","181,328,136.15","287,528,672.92","544,691,423.42","882,595,119.12","247,392,814.48","430,418,135.87","902,470,857.48","1,131,285,307.92","459,498,320.03","1,104,158,833.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,409,631.30",,,,,,,,"5,613,020.14",,,,,,,,"69,150,524.11",,"680,144,477.32"
收到的税费返还,,"911,877.01","1,339,296.05","369,854.30","1,333,716.34","6,269,172.51","14,837,984.43","3,184,761.24","6,742,607.62","16,790,507.07","17,532,154.69",,,,,,,,"260,000.00",,,,,,"557,237.15","28,329,716.83",,"1,236,956.70","1,936,423.14","3,741,840.16",,,"2,171,546.13","2,240,997.02","2,200,153.06","2,053,143.46","5,968,859.28","7,995,803.40","9,662,784.84","1,889,566.72","9,397,443.52","11,471,092.45","14,022,125.31","2,293,243.49","4,502,239.71"
支付其他与投资活动有关的现金,,,"174,918.55",,,,"174,918.55",,,,,,,,,,,,"10,659,985.12",,,,"66,000,000.00",,,,"104,400,000.00","8,156.92",,,"128,000,810.33",,,"156,500,000.00","574,884,518.80","75,000,000.00","135,000,000.00","195,300,000.00","346,520,000.00","178,000,000.00","305,500,000.00","500,500,000.00","783,789,580.70","80,000,000.00","306,029,201.23"
收到其他与经营活动有关的现金,"408,793.40","962,273.52","3,324,857.59","793,936.31","1,054,386.42","3,072,723.93","12,820,715.35","795,883.71","2,932,219.17","10,285,578.58","11,581,970.81","8,738,799.99","9,585,054.81","11,220,959.86","20,214,537.92","17,050,280.79","4,734,728.45","7,519,690.29","23,461,667.59","1,208,163.16","19,356,468.67","21,459,870.36","23,270,379.86","9,710,075.60","37,710,076.04","74,388,153.22","19,332,395.85","18,025,846.41","37,077,876.49","23,774,507.15","14,019,702.05","3,672,416.27","10,040,976.80","12,970,769.42","9,201,238.28","4,452,534.04","16,516,631.03","19,620,230.63","20,508,872.52","3,437,678.47","4,416,047.90","16,980,901.39","24,673,934.24","23,367,254.70","60,956,596.52"
投资活动现金流出小计,"28,687,453.40","51,508,998.54","174,450,593.39","11,434,060.84","24,203,199.83","38,325,445.83","46,474,915.38","15,054,662.24","35,250,521.23","66,900,121.93","104,893,839.25","19,609,852.76","35,285,540.69","119,645,143.05","144,108,044.37","72,018,213.66","123,182,491.54","169,022,722.16","200,123,451.44","32,765,417.35","75,953,752.32","101,243,173.22","136,760,208.96","42,657,618.13","69,784,114.29","78,136,301.79","181,518,010.45","11,933,710.70","16,935,531.45","44,395,756.05","231,667,693.72","14,016,581.85","17,391,798.31","227,649,098.55","652,251,939.94","78,740,514.19","141,150,443.25","216,962,175.88","413,997,526.12","199,278,610.33","340,731,293.79","551,567,409.79","946,677,796.49","94,047,487.87","1,034,975,019.66"
经营活动现金流入小计,"184,375,751.83","358,180,023.93","782,299,319.09","287,000,063.68","556,705,552.51","828,590,970.33","1,230,726,174.80","233,382,892.47","486,975,611.76","862,022,868.99","1,104,618,245.16","224,701,648.06","530,827,908.97","760,721,226.30","1,025,468,399.63","257,984,137.73","637,656,596.17","837,033,564.24","1,307,952,290.84","350,644,280.93","736,508,940.89","1,058,592,927.13","768,347,133.38","394,748,299.00","683,399,484.79","1,009,459,101.07","895,928,325.96","341,142,846.32","680,012,007.64","936,539,480.39","1,194,621,282.13","277,903,185.01","467,962,743.74","660,777,655.26","703,197,381.27","187,833,813.65","310,014,163.23","572,307,457.45","912,766,776.48","252,720,059.67","444,231,627.29","930,922,851.32","1,169,981,367.47","485,158,818.22","1,169,617,670.17"
投资活动产生的现金流量净额,"-28,687,453.40","-51,495,648.54","-174,435,243.39","-11,434,060.84","-24,203,199.83","-38,325,445.83","-46,474,915.38","-15,054,662.24","-35,250,521.23","-66,900,121.93","-94,034,639.25","-19,609,852.76","-19,281,042.69","-103,640,645.05","-121,332,162.53","-71,724,963.66","-122,889,241.54","-168,715,692.48","-190,033,230.79","-32,765,417.35","-74,566,563.82","-99,855,984.72","-71,820,325.97","-42,657,618.13","-69,701,181.02","-77,903,368.52","-57,369,490.90","-11,770,779.17","-7,928,031.45","-34,309,374.79","-115,517,007.42","-11,841,368.16","-12,783,898.49","-31,323,246.70","-56,996,855.89","93,114,733.40","100,841,700.23","108,334,500.50","21,124,688.74","-40,027,356.06","-104,562,131.06","-143,551,703.81","-82,432,740.74","-20,857,205.39","-845,490,171.43"
购买商品、接受劳务支付的现金,"126,807,652.66","260,246,710.24","489,630,193.66","196,259,791.88","468,412,694.23","718,393,116.74","1,041,565,105.83","198,110,446.36","405,336,433.27","603,318,321.92","772,231,932.10","202,547,337.39","426,627,543.16","526,524,542.19","707,293,630.00","195,725,722.07","513,654,765.26","656,854,375.37","1,106,388,994.37","206,543,287.54","557,653,126.32","785,476,365.28","466,173,897.45","306,315,124.95","476,265,978.80","649,210,100.68","561,342,303.47","253,397,602.75","427,692,770.25","608,845,457.26","901,977,801.74","120,765,098.10","229,177,579.39","291,346,582.42","273,891,688.90","114,253,532.76","149,228,723.34","291,342,095.57","491,686,132.93","98,534,100.56","199,340,161.68","459,724,712.84","589,209,089.63","423,062,483.11","800,794,708.06"
吸收投资收到的现金,,"15,388,648.00","15,388,648.00",,"289,742,000.00","289,742,000.00","269,983,300.00",,,"469,200,000.00","449,432,000.00","27,700,000.00","27,700,000.00","27,700,000.00","27,700,000.00",,,,"1,215,000.00",,,,,,,,"8,000,000.00","4,000,000.00","1,960,000.00","1,960,000.00","1,960,000.00",,,"18,000,000.00","149,999,994.28",,,"290,000.00","24,990,000.00",,,,,,"744,810,994.82"
