科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"203,271,570.92","241,768,330.24","268,363,538.99","158,191,478.55","250,149,566.00","316,257,158.11","91,201,484.86","171,502,067.29","263,278,065.92","355,434,836.58"
取得子公司及其他营业单位支付的现金净额,,"1,746,728.61",,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"2,055,424.50","3,890,706.02","3,475,560.70","2,935,870.97","3,597,510.98","4,766,929.94","10,818.82","397,111.13","886,269.10","3,963,374.58"
投资活动现金流出小计,"132,980,196.82","83,538,831.13","8,087,859.93","1,492,634.95","3,717,918.19","3,620,468.51","4,506,532.20","5,303,286.26","12,636,156.21","31,484,837.15"
经营活动现金流入小计,"205,326,995.42","245,659,036.26","271,839,099.69","161,127,349.52","253,747,076.98","321,024,088.05","91,212,303.68","171,899,178.42","264,164,335.02","359,398,211.16"
投资活动产生的现金流量净额,"-120,207,496.82","-62,829,244.50","17,096,626.28","4,632,120.01","5,246,836.77","8,144,286.45","-4,244,889.78","-5,011,927.84","-11,789,931.99","-31,380,171.72"
购买商品、接受劳务支付的现金,"34,520,902.07","51,035,260.36","44,551,559.00","21,199,502.87","35,425,194.59","45,535,848.89","13,577,018.66","22,029,195.44","34,530,907.12","46,466,854.61"
吸收投资收到的现金,,,,,,"82,200,000.00",,,,"4,000,000.00"
支付给职工以及为职工支付的现金,"41,433,925.62","46,062,915.82","47,428,948.34","25,564,053.43","39,389,934.54","55,012,742.55","17,123,197.17","35,430,044.59","54,496,576.52","75,421,440.57"
取得借款收到的现金,"65,700,000.00","250,000,000.00","130,000,000.00","40,000,000.00","40,000,000.00","110,000,000.00",,,"50,000,000.00","50,000,000.00"
支付的各项税费,"29,060,667.30","37,703,563.63","52,821,612.28","33,168,620.96","53,357,306.65","68,278,340.22","17,443,228.88","37,262,787.86","53,487,505.09","67,408,945.30"
收到其他与筹资活动有关的现金,"3,000,000.00","26,416,397.29",,,,,,,,
支付其他与经营活动有关的现金,"91,913,033.75","97,859,058.52","105,604,225.04","56,356,210.64","92,523,978.92","124,074,700.58","29,310,868.31","70,169,737.83","105,968,575.87","137,403,757.59"
筹资活动现金流入小计,"68,700,000.00","276,416,397.29","130,000,000.00","40,000,000.00","40,000,000.00","192,200,000.00",,,"50,000,000.00","54,000,000.00"
经营活动现金流出小计,"196,928,528.74","232,660,798.33","250,406,344.66","136,288,387.90","220,696,414.70","292,901,632.24","77,454,313.02","164,891,765.72","248,483,564.60","326,700,998.07"
偿还债务支付的现金,,"220,700,000.00","167,000,000.00","50,000,000.00","50,000,000.00","120,000,000.00","58,000,000.00","58,000,000.00","108,000,000.00","108,000,000.00"
经营活动产生的现金流量净额,"8,398,466.68","12,998,237.93","21,432,755.03","24,838,961.62","33,050,662.28","28,122,455.81","13,757,990.66","7,007,412.70","15,680,770.42","32,697,213.09"
分配股利、利润或偿还利息支付的现金,"3,670,557.16","10,533,954.21","10,594,694.46","3,437,666.67","5,009,863.89","6,556,863.88","908,083.31","11,630,666.63","12,337,783.30","13,008,529.15"
收回投资收到的现金,,,,"1,700,000.00","3,400,000.00","3,400,000.00",,,,
支付其他与筹资活动有关的现金,"16,871,626.27",,"700,000.00","7,800,000.00","11,800,000.00","22,149,704.02","1,537,735.85","2,669,811.32","2,669,811.32","2,669,811.32"
取得投资收益收到的现金,,"50,000.00","137,500.00",,"140,000.00","140,000.00",,,,
筹资活动现金流出小计,"20,542,183.43","231,233,954.21","178,294,694.46","61,237,666.67","66,809,863.89","148,706,567.90","60,445,819.16","72,300,477.95","123,007,594.62","123,678,340.47"
处置固定资产、无形资产和其他长期资产收回的现金净额,300.00,"15,699,586.63","13,746,986.21","4,033,754.96","5,033,754.96","7,833,754.96","261,642.42","291,358.42","846,224.22","104,665.43"
筹资活动产生的现金流量净额,"48,157,816.57","45,182,443.08","-48,294,694.46","-21,237,666.67","-26,809,863.89","43,493,432.10","-60,445,819.16","-72,300,477.95","-73,007,594.62","-69,678,340.47"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"62,600.44","-60,617.37","-298,932.45","17,637.55","28,841.65","20,224.39","-1,643.55","-9,272.41","43,404.56","35,690.59"
收到其他与投资活动有关的现金,"12,772,400.00","4,960,000.00","11,300,000.00","391,000.00","391,000.00","391,000.00",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"12,772,700.00","20,709,586.63","25,184,486.21","6,124,754.96","8,964,754.96","11,764,754.96","261,642.42","291,358.42","846,224.22","104,665.43"
五、现金及现金等价物净增加额,"-63,588,613.13","-4,709,180.86","-10,064,245.60","8,251,052.51","11,516,476.81","79,780,398.75","-50,934,361.83","-70,314,265.50","-69,073,351.63","-68,325,608.51"
购建固定资产、无形资产和其他长期资产支付的现金,"132,980,196.82","81,792,102.52","4,686,959.93","1,492,634.95","3,717,918.19","3,620,468.51","4,506,532.20","5,303,286.26","12,636,156.21","29,289,737.15"
期初现金及现金等价物余额,"89,193,496.10","25,604,882.97","20,895,702.11","10,831,456.51","10,831,456.51","10,831,456.51","90,611,855.26","90,611,855.26","90,611,855.26","90,611,855.26"
投资支付的现金,,,"3,400,900.00",,,,,,,"2,195,100.00"
期末现金及现金等价物余额,"25,604,882.97","20,895,702.11","10,831,456.51","19,082,509.02","22,347,933.32","90,611,855.26","39,677,493.43","20,297,589.76","21,538,503.63","22,286,246.75"
