科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"62,529,547.10","68,746,270.58","88,985,832.79","126,047,429.25","73,493,160.33","90,751,942.11","85,716,089.51","104,859,306.32","97,021,640.14","91,756,339.87","160,085,180.05","159,592,834.30","127,456,424.86","87,714,055.93","94,871,378.36","131,824,360.33","106,889,804.06","132,056,666.05","141,795,868.58","176,224,718.87","169,079,895.12","193,143,864.01","236,598,779.17","217,937,012.09","206,268,948.52","210,827,083.95","230,305,338.59","458,120,046.72","340,188,763.39","283,274,534.15","284,421,189.65","300,231,444.52","271,775,748.54","263,723,855.21","167,594,726.37","319,172,208.55","308,716,621.57","217,251,288.67","263,244,231.07","373,394,765.51","378,796,653.23","1,663,424,270.70","927,099,843.74","315,406,264.22","369,350,496.99","370,486,392.42"
短期借款,"196,670,000.00","170,499,992.58","151,269,253.86","129,769,253.86","130,269,253.86","130,269,253.86","116,769,253.86","139,768,908.40","139,768,908.40","139,768,908.40","94,768,908.40","94,768,908.40","94,768,908.40","94,768,908.40","94,768,908.40","102,768,908.40","102,768,908.40","102,768,908.40","102,768,908.40","129,768,908.40","129,768,908.40","129,768,908.40","129,768,908.40","114,768,908.40","124,768,908.40","124,768,908.40","124,768,908.40","114,768,908.40","124,768,908.40","124,768,908.40","124,768,908.40","134,768,908.40","134,768,908.40","104,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40","44,768,908.40",,,,
交易性金融资产,"374,200.00","396,439.16","420,057.81","339,800.00","293,400.00","142,400.00","120,200.00","112,400.00","118,000.00","170,200.00","387,580.00","709,600.00","428,400.00","172,000.00","324,050.00","308,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,622,349.00","1,828,283.92","1,102,732.20","5,961,952.09","3,963,665.38","3,910,440.02","3,758,293.54","5,288,008.59","3,025,826.35","6,917,553.82","13,829,447.86","8,320,585.16","8,543,284.02","14,501,416.15","26,687,200.66","21,998,266.10","19,654,153.43","20,503,669.20","18,613,257.56","23,506,493.20","23,291,276.35","18,814,265.23","17,880,493.04","23,115,068.28","17,241,694.22","22,978,804.07","35,200,436.86","34,394,927.97","27,043,375.02","14,682,391.24","18,449,889.12","32,418,330.32","19,716,091.02","11,230,495.59","6,185,202.32","13,142,145.72","11,005,198.51","5,865,475.48","7,851,308.14","17,790,246.23","16,688,123.12","17,662,974.01","30,061,882.63","46,656,139.45","64,725,512.29","68,730,997.34"
应付票据,"73,683,632.13","76,531,893.21","68,383,788.11","87,902,823.91","66,591,916.54","94,030,604.95","94,968,121.75","102,351,466.37","95,329,630.78","91,084,205.58","96,091,970.00","129,727,482.46","109,075,537.94","78,936,927.16","76,860,853.29","109,454,220.15","106,833,952.64","54,641,813.62","64,676,661.99","89,973,951.50","79,994,751.00","92,239,835.50","117,287,111.84","110,391,025.20","99,563,577.48","84,258,016.00","84,850,000.00","103,684,095.00","122,362,125.00","63,377,060.00","75,295,875.00","129,981,649.00","88,484,703.00","76,248,000.00",,,,,,,,,,,,
应收账款,"78,741,621.08","83,692,704.71","101,928,649.61","72,298,875.76","63,614,397.02","92,415,693.04","101,411,200.50","57,581,200.76","102,826,988.86","114,541,725.10","142,569,892.81","89,480,940.71","103,778,876.12","97,649,717.83","91,747,953.12","55,859,965.54","106,758,808.30","95,183,111.22","107,013,897.61","93,511,365.90","129,567,672.42","136,996,131.78","144,007,105.73","109,427,883.11","148,415,276.02","130,384,796.33","150,246,417.21","108,036,723.96","135,124,112.38","169,182,444.53","166,921,856.03","124,684,908.26","184,498,119.55","148,027,423.47","24,044,474.63","19,328,913.85","17,466,620.02","74,019,859.71","124,917,059.02","61,405,741.20","63,481,349.54","160,081,771.17","241,368,366.62","335,224,059.46","315,603,510.83","329,022,574.11"
应付账款,"99,000,239.39","96,603,418.14","95,433,285.94","81,519,666.47","101,655,084.66","89,707,940.51","98,175,520.41","99,526,217.00","114,748,896.49","105,720,074.67","127,981,229.52","80,805,935.23","109,518,730.41","86,956,041.31","88,278,536.52","81,744,752.54","94,851,063.31","102,821,731.10","82,535,452.79","86,761,574.00","104,542,428.90","95,073,514.77","99,596,186.16","99,376,716.31","120,902,957.33","135,738,527.33","133,383,073.91","115,371,056.18","125,077,346.96","203,864,767.28","184,841,544.60","96,553,063.64","150,725,713.44","114,083,053.05","7,480,471.18","5,929,206.90","7,920,034.40","36,973,996.61","24,494,206.90","580,250,122.63","595,120,888.49","11,959,572.63","34,164,701.40","10,821,972.17","7,673,475.12","21,616,660.62"
预付款项,"33,912,061.77","17,136,990.38","12,393,798.45","6,022,870.83","5,655,719.49","3,304,670.22","3,944,716.69","13,587,174.99","3,226,446.38","2,554,553.82","7,987,457.85","10,701,853.45","6,445,996.20","9,521,596.88","12,848,404.93","14,845,975.59","4,251,003.53","5,458,864.13","4,465,462.50","15,759,023.50","13,378,100.87","11,689,623.52","10,517,462.48","32,573,676.43","30,948,348.54","18,028,001.60","28,106,711.38","36,583,392.84","27,902,294.34","27,329,212.74","24,624,559.71","34,143,956.65","33,241,513.77","41,451,936.97","4,005,247.79","1,681,520.35","2,046,405.22","1,655,663.42","2,736,844.44","1,345,220.14","4,587,006.94","4,212,407.54","7,362,518.46","958,451.27","1,489,865.22","1,950,791.26"
预收款项,"65,306,588.98","68,811,466.54","68,254,455.50","44,874,871.80","14,935,191.71","45,316,951.77","33,403,656.96","19,029,186.54","20,099,873.51","13,531,264.24","13,633,413.86","10,894,794.09","12,513,138.88","6,735,001.84","8,279,061.88","17,082,141.41","8,190,572.17","10,227,582.69","17,268,725.50","11,799,643.39","14,540,671.64","13,911,471.16","4,785,935.36","7,787,116.97","2,286,845.30","2,816,558.35","33,822,277.42","224,203,069.43","167,840,374.71","111,116,132.68","66,893,370.04","79,941,061.99","57,352,461.04","8,322,453.66","3,180,257.25","4,011,687.09","10,088,187.53","10,747,295.82","11,290,321.94","81,734,131.58","3,351,759.81","5,919,749.76","3,853,461.66","2,373,000.94","2,413,283.64","3,614,342.65"
