科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"141,977,304.93","139,666,474.17","209,033,429.43","172,713,237.96","342,074,228.37","52,539,344.91","147,451,065.52","253,292,241.88","381,682,646.25","82,564,520.21","182,768,097.67","295,539,896.22","423,774,682.30","99,472,091.60","213,434,697.42","354,852,584.34","481,718,285.24","138,663,724.79","300,164,110.37","500,287,116.01","830,160,141.55","197,834,940.10","629,086,467.23","997,296,812.15","1,532,077,514.26","497,846,056.16","1,149,803,933.08","1,826,930,261.03","2,740,468,222.62","833,894,304.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"910,000.00",,,,,,"371,608,175.36","371,608,175.36","371,608,175.36",,"146,702,761.08","146,702,761.08","156,702,761.08",,"109,528,812.21","109,528,812.21","248,711,567.86","50,515,555.94"
收到的税费返还,"7,550,431.19","5,327,651.28","12,221,923.57","3,864,285.26","5,836,970.52","2,615,606.74","3,907,951.93","7,339,057.03","8,201,743.68","508,973.13","3,093,293.77","6,426,238.70","7,183,032.19","170,766.84","1,121,255.65","1,490,062.12","1,490,062.12","941,113.44","2,541,622.16","12,935,444.46","17,438,288.58","12,867,703.10","18,185,490.49","21,894,445.19","27,178,135.50","4,582,950.90","5,802,215.42","6,884,044.12","9,036,167.92","3,288,576.87"
支付其他与投资活动有关的现金,,,"356,261.96",,"2,934,018.00",,,,"502,463.00",,,,,,,,,,,,"48,750,000.00",,,,"150,000,000.00","90,000,000.00","130,000,000.00","170,000,000.00","210,000,000.00","4,500,000.00"
收到其他与经营活动有关的现金,"2,258,379.19","2,691,129.91","6,102,302.88","4,586,437.61","9,227,008.64","684,348.54","5,135,402.24","11,255,884.88","17,131,982.49","16,495,500.91","18,600,282.38","23,537,585.80","23,675,376.96","4,302,156.87","8,330,467.11","10,200,931.69","7,681,345.17","1,161,565.19","5,881,810.32","8,344,131.71","15,375,343.47","1,749,468.19","7,324,338.98","11,575,617.56","17,846,856.66","10,485,203.91","20,562,779.51","27,861,329.04","37,851,198.31","89,956,163.50"
投资活动现金流出小计,"19,483,798.80","8,935,344.96","68,715,933.20","23,790,164.54","65,213,325.43","20,905,984.63","45,035,547.79","81,892,949.66","103,091,816.26","31,038,918.31","76,579,165.23","113,135,405.85","153,535,669.39","31,002,949.23","50,388,706.45","84,298,955.47","110,749,011.58","26,701,453.85","454,309,827.81","591,508,387.55","699,622,765.18","33,486,911.08","192,228,130.76","224,791,415.44","493,689,819.31","143,913,953.61","349,444,454.33","431,457,199.58","641,978,681.55","93,704,850.95"
经营活动现金流入小计,"151,786,115.31","147,685,255.36","227,357,655.88","181,163,960.83","357,138,207.53","55,839,300.19","156,494,419.69","271,887,183.79","407,016,372.42","99,568,994.25","204,461,673.82","325,503,720.72","454,633,091.45","103,945,015.31","222,886,420.18","366,543,578.15","490,889,692.53","140,766,403.42","308,587,542.85","521,566,692.18","862,973,773.60","212,452,111.39","654,596,296.70","1,030,766,874.90","1,577,102,506.42","512,914,210.97","1,176,168,928.01","1,861,675,634.19","2,787,355,588.85","927,139,045.21"
投资活动产生的现金流量净额,"-19,300,398.80","-8,425,344.96","-68,642,096.20","-23,789,564.54","-65,212,725.43","-20,905,984.63","-45,035,547.79","-81,892,949.66","-103,016,816.26","-31,038,918.31","-76,579,165.23","-113,135,405.85","-153,516,322.29","-31,002,949.23","-50,333,706.45","-84,243,955.47","-108,184,011.58","-26,701,453.85","-454,058,727.81","-539,794,669.68","-648,148,064.63","-33,465,298.72","-192,091,757.67","-222,665,298.76","-419,786,533.81","-74,839,540.65","-161,874,296.57","-202,938,014.05","-351,335,362.69","-12,352,493.21"
购买商品、接受劳务支付的现金,"103,586,251.05","86,333,888.64","141,015,161.54","97,046,919.66","218,120,247.60","68,980,917.75","110,404,138.18","186,045,728.72","257,996,294.74","54,402,940.43","100,008,578.81","167,348,200.75","220,265,544.97","68,773,703.05","146,078,745.07","241,524,593.80","302,746,663.98","105,523,637.61","205,079,029.65","357,481,898.87","566,041,798.17","114,097,574.00","388,485,193.93","705,873,855.30","922,398,098.79","404,111,803.03","912,705,720.35","1,483,917,170.28","2,188,421,640.55","880,384,429.59"
吸收投资收到的现金,"20,000,000.00","2,450,000.00","56,854,400.00",,,"229,000,000.00","229,000,000.00","229,000,000.00","229,000,000.00",,"4,410,000.00","3,500,000.00","4,410,000.00",,,,,,"695,358,037.30","710,358,037.30","718,158,037.30",,"425,364,312.71","428,364,312.71","431,264,312.71",,"660,000.00","1,440,000.00","1,440,000.00","69,206,400.00"
支付给职工以及为职工支付的现金,"17,119,870.63","21,283,941.00","31,084,370.56","22,340,493.21","44,606,979.52","12,385,183.42","28,490,144.21","40,682,454.67","54,480,485.86","14,086,641.12","28,890,076.06","45,012,355.85","62,922,250.17","22,104,418.75","44,566,123.70","62,986,130.81","80,232,030.47","20,482,139.77","55,866,794.06","105,304,426.68","147,271,271.49","43,425,915.40","89,732,658.17","132,159,736.58","184,473,349.37","66,090,615.67","124,170,482.98","170,684,420.05","225,726,807.41","72,628,766.82"
取得借款收到的现金,"18,232,534.42","28,500,000.00","43,180,000.00","15,000,000.00","44,000,000.00","9,000,000.00","9,000,000.00","48,500,000.00","48,500,000.00",,,"80,000,000.00","80,000,000.00","20,000,000.00","50,000,000.00","150,000,000.00","200,000,000.00","75,000,000.00","110,000,000.00","232,000,000.00","282,000,000.00","62,615,400.00","112,615,400.00","152,615,400.00","152,615,400.00","50,000,000.00","211,474,612.95","270,974,612.95","492,442,727.95","198,527,920.88"
支付的各项税费,"6,662,907.99","7,465,911.61","8,833,725.48","7,191,918.55","15,457,863.93","4,969,136.38","12,859,709.33","16,402,663.12","20,664,274.84","4,243,800.11","15,466,336.90","22,625,828.60","29,008,560.99","4,362,388.61","10,534,073.04","19,005,370.57","25,005,854.92","7,220,085.76","8,583,017.76","27,940,130.32","46,251,906.37","15,591,230.82","37,304,389.94","62,458,800.62","91,124,107.65","23,532,096.58","52,874,240.73","74,171,983.59","94,299,989.96","30,928,260.17"
收到其他与筹资活动有关的现金,,,,,,,,,,,"643,588.80","643,588.80","2,647,526.80",,,,,,"3,144,562.70","9,826,580.32","29,633,510.54","3,480,862.64","4,240,677.79","23,839,356.91","45,758,972.23","11,596,549.96","25,165,414.25","53,540,431.74","68,300,267.02","150,471,258.28"
支付其他与经营活动有关的现金,"12,495,666.33","16,589,567.21","19,527,922.39","13,661,553.11","22,325,621.07","5,091,662.59","10,270,359.57","17,420,719.95","28,787,092.68","5,992,640.35","16,166,671.24","22,208,027.69","32,387,193.48","6,991,385.59","14,538,637.98","21,980,994.13","37,374,398.45","5,271,513.78","18,752,167.74","38,445,802.73","57,206,943.41","28,854,271.26","53,060,423.30","91,526,419.75","126,369,347.14","22,279,259.42","98,657,222.22","182,352,390.38","234,612,864.56","112,586,347.82"
筹资活动现金流入小计,"38,232,534.42","30,950,000.00","100,034,400.00","15,000,000.00","44,000,000.00","238,000,000.00","238,000,000.00","277,500,000.00","277,500,000.00",,"5,053,588.80","84,143,588.80","87,057,526.80","20,000,000.00","50,000,000.00","150,000,000.00","200,000,000.00","75,000,000.00","808,502,600.00","952,184,617.62","1,029,791,547.84","66,096,262.64","542,220,390.50","604,819,069.62","629,638,684.94","61,596,549.96","237,300,027.20","325,955,044.69","562,182,994.97","418,205,579.16"
经营活动现金流出小计,"139,864,696.00","131,673,308.46","200,461,179.97","140,240,884.53","300,510,712.12","91,426,900.14","162,024,351.29","260,551,566.46","361,928,148.12","78,726,022.01","160,531,663.01","257,194,412.89","344,583,549.61","102,231,896.00","215,717,579.79","345,497,089.31","445,358,947.82","138,497,376.92","288,281,009.21","529,172,258.60","816,771,919.44","201,968,991.48","568,582,665.34","992,018,812.25","1,324,364,902.95","516,013,774.70","1,188,407,666.28","1,911,125,964.30","2,743,061,302.48","1,096,527,804.40"
偿还债务支付的现金,"26,632,534.42","9,300,000.00","26,246,046.13","9,501,237.12","38,013,228.74","11,261,498.67","55,526,687.86","56,272,233.59","95,571,744.22","278,649.81","561,389.50","40,848,980.91","70,848,980.91","10,000,000.00","10,000,000.00","60,000,000.00","110,000,000.00","50,000,000.00","88,576,000.00","166,504,000.00","233,782,000.00","36,620,920.00","95,505,400.00","183,305,400.00","185,105,400.00","57,000,000.00","107,610,175.00","148,210,175.00","198,800,000.00","81,885,748.79"
经营活动产生的现金流量净额,"11,921,419.31","16,011,946.90","26,896,475.91","40,923,076.30","56,627,495.41","-35,587,599.95","-5,529,931.60","11,335,617.33","45,088,224.30","20,842,972.24","43,930,010.81","68,309,307.83","110,049,541.84","1,713,119.31","7,168,840.39","21,046,488.84","45,530,744.71","2,269,026.50","20,306,533.64","-7,605,566.42","46,201,854.16","10,483,119.91","86,013,631.36","38,748,062.65","252,737,603.47","-3,099,563.73","-12,238,738.27","-49,450,330.11","44,294,286.37","-169,388,759.19"
分配股利、利润或偿还利息支付的现金,"1,199,399.57","377,200.04","2,039,268.10","1,232,634.10","2,796,978.31","873,815.57","11,555,077.36","11,652,371.92","11,840,240.22","11,037.90","8,924,842.97","9,195,408.80","9,353,948.95","206,385.91","15,067,932.60","16,042,245.10","17,594,281.16","10,288,297.77","13,115,362.04","17,012,806.48","19,763,146.40","14,709,344.13","17,379,976.23","20,837,860.65","22,090,969.66","2,194,846.79","37,684,845.84","41,149,407.79","44,659,609.70","4,587,234.15"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,000,000.00","80,912,191.07"
支付其他与筹资活动有关的现金,"350,000.00","3,950,000.00","1,250,000.00",,,"9,795,947.04","9,803,630.36","9,804,947.04","8,476,904.32",,"1,230,000.00","1,230,000.00","1,000,000.00","3,060,207.20","5,026,791.38","5,961,495.39","20,909,363.83","6,060,591.33","15,048,365.08","35,895,530.37","44,803,905.13","44,453,436.30","29,469,355.96","27,944,529.86","59,837,098.95","10,113,288.21","19,312,481.19","29,314,112.27","77,823,289.22","144,822,640.83"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"75,616.44","75,616.44","422,469.63","384,280.82","1,268,457.76","1,729,985.53","2,213,318.86","440,166.67"
筹资活动现金流出小计,"28,181,933.99","13,627,200.04","29,535,314.23","10,733,871.22","40,810,207.05","21,931,261.28","76,885,395.58","77,729,552.55","115,888,888.76","289,687.71","10,716,232.47","51,274,389.71","81,202,929.86","13,266,593.11","30,094,723.98","82,003,740.49","148,503,644.99","66,348,889.10","116,739,727.12","219,412,336.85","298,349,051.53","95,783,700.43","142,354,732.19","232,087,790.51","267,033,468.61","69,308,135.00","164,607,502.03","218,673,695.06","321,282,898.92","231,295,623.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"183,400.00","510,000.00","73,837.00",600.00,600.00,,,,"75,000.00",,,,"19,347.10",,"55,000.00","55,000.00","55,000.00",,,"43,500.00","61,915.65","21,612.36","60,756.65","50,500.24","1,480,815.87","1,700.00","1,700.00","489,200.00","480,200.00",
筹资活动产生的现金流量净额,"10,050,600.43","17,322,799.96","70,499,085.77","4,266,128.78","3,189,792.95","216,068,738.72","161,114,604.42","199,770,447.45","161,611,111.24","-289,687.71","-5,662,643.67","32,869,199.09","5,854,596.94","6,733,406.89","19,905,276.02","67,996,259.51","51,496,355.01","8,651,110.90","691,762,872.88","732,772,280.77","731,442,496.31","-29,687,437.79","399,865,658.31","372,731,279.11","362,605,216.33","-7,711,585.04","72,692,525.17","107,281,349.63","240,900,096.05","186,909,955.39"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-166,342.27","-119,705.56","-352,780.49","-210,022.77","-555,684.77","-24,771.97","52,444.16","59,070.17","-235,192.89","-22,395.86","-46,397.14","-75,094.43","-1,477,707.61","90,903.67","107,242.30","79,632.87","398,162.84","192,070.42","528,842.14","1,171,071.93","3,498,042.97","-15,305.39","961,100.13","981,561.43","2,219,865.00","-397,533.77","-502,894.72","-1,154,884.24","-2,261,558.63","-646,969.85"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"2,510,000.00",,"251,100.00","51,670,217.87","51,412,784.90",,,"2,000,000.00","72,000,000.00","68,688,432.14","186,300,000.00","226,300,000.00","268,949,800.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"183,400.00","510,000.00","73,837.00",600.00,600.00,,,,"75,000.00",,,,"19,347.10",,"55,000.00","55,000.00","2,565,000.00",,"251,100.00","51,713,717.87","51,474,700.55","21,612.36","136,373.09","2,126,116.68","73,903,285.50","69,074,412.96","187,570,157.76","228,519,185.53","290,643,318.86","81,352,357.74"
五、现金及现金等价物净增加额,"2,505,278.67","24,789,696.34","28,400,684.99","21,189,617.77","-5,951,121.84","159,550,382.17","110,601,569.19","129,272,185.29","103,447,326.39","-10,508,029.64","-38,358,195.23","-12,031,993.36","-39,089,891.12","-22,465,519.36","-23,152,347.74","4,878,425.75","-10,758,749.02","-15,589,246.03","258,539,520.85","186,543,116.60","132,994,328.81","-52,684,921.99","294,748,632.13","189,795,604.43","197,776,150.99","-86,048,223.19","-101,923,404.39","-146,261,878.77","-68,402,538.90","4,521,733.14"
购建固定资产、无形资产和其他长期资产支付的现金,"19,483,798.80","8,935,344.96","68,359,671.24","23,790,164.54","62,279,307.43","20,905,984.63","45,035,547.79","81,892,949.66","102,589,353.26","26,448,918.31","76,579,165.23","113,135,405.85","152,625,669.39","31,002,949.23","50,388,706.45","84,298,955.47","110,749,011.58","26,701,453.85","82,701,652.45","189,900,212.19","217,264,589.82","33,486,911.08","45,525,369.68","78,088,654.36","186,987,057.23","53,913,953.61","109,915,642.12","151,928,387.37","183,267,113.69","38,689,295.01"
期初现金及现金等价物余额,"18,175,345.19","20,680,623.86","45,470,320.20","73,871,005.19","73,871,005.19","67,919,883.35","67,919,883.35","67,919,883.35","67,919,883.35","171,367,209.74","171,367,209.74","171,367,209.74","171,367,209.74","132,277,318.62","132,277,318.62","132,277,318.62","132,277,318.62","121,518,569.60","121,518,569.60","121,518,569.60","121,518,569.60","254,512,898.41","254,512,898.41","254,512,898.41","254,512,898.41","452,289,049.40","452,289,049.40","452,289,049.40","452,289,049.40","381,573,275.90"
投资支付的现金,,,,,,,,,,"4,590,000.00",,,,,,,,,,"30,000,000.00","62,000,000.00",,,,1.00,,,,,
期末现金及现金等价物余额,"20,680,623.86","45,470,320.20","73,871,005.19","95,060,622.96","67,919,883.35","227,470,265.52","178,521,452.54","197,192,068.64","171,367,209.74","160,859,180.10","133,009,014.51","159,335,216.38","132,277,318.62","109,811,799.26","109,124,970.88","137,155,744.37","121,518,569.60","105,929,323.57","380,058,090.45","308,061,686.20","254,512,898.41","201,827,976.42","549,261,530.54","444,308,502.84","452,289,049.40","366,240,826.21","350,365,645.01","306,027,170.63","383,886,510.50","386,095,009.04"
