科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"88,367,678.84","113,253,010.96","142,734,571.56","70,228,467.84","107,294,832.20","165,269,682.78","34,234,594.40","69,629,186.40","109,385,453.49","177,670,652.71","30,122,919.08","88,092,754.40","154,319,296.05","249,232,971.48","65,762,354.44","146,376,204.26","215,419,703.30","436,246,052.88","83,440,118.48","234,745,484.96","359,061,934.83","650,808,858.19","127,156,801.91","357,974,641.91","508,469,686.24"
二、营业利润,"20,705,714.05","34,410,032.58","44,199,947.61","18,326,729.81","27,572,564.42","43,528,793.96","8,442,574.60","9,532,870.45","10,686,738.94","17,598,754.95","-391,427.58","-1,260,302.01","19,785,902.97","35,964,967.44","7,777,669.22","2,863,470.12","1,875,868.22","41,366,182.04","7,125,275.47","4,291,280.71","57,914,076.37","109,682,561.29","1,310,481.33","20,567,213.67","29,170,463.14"
减:营业成本,"36,601,026.63","44,618,858.78","55,876,165.83","24,499,175.16","37,015,766.58","62,991,223.36","10,710,024.72","24,463,031.21","44,609,089.69","81,752,942.61","14,716,942.86","41,036,876.91","70,059,425.30","101,811,375.44","23,370,266.78","69,918,666.76","117,719,326.42","200,476,371.94","48,021,305.89","134,791,588.91","186,916,654.95","310,096,700.06","73,723,981.01","199,698,017.34","255,186,709.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"514,503.72","677,448.08","1,053,123.70","442,955.78","410,986.11","525,241.51","3,150.11","6,953.88","6,953.88","105,636.07","4,766.24","4,766.24","4,766.24","22,887.22",774.05,"14,752.42","16,378.99","149,426.22","45,650.84","93,186.72","163,016.42","1,579,326.31","354,112.36","670,817.95","1,488,728.88"
营业外收入,"493,452.13","122,111.11","2,556,000.00","1,078,610.00","1,328,610.00","2,200,876.18","324,999.99","2,550,200.00","5,491,533.00","5,495,908.00","663,500.00","1,303,550.00","2,643,591.60","2,924,380.07","8,000.18","150,350.61","1,323,751.54","2,640,472.72","638,500.00","1,497,404.11","3,292,500.02","5,641,774.86","844,001.09","1,702,733.66","3,930,711.97"
销售费用,"7,331,745.42","9,207,108.96","12,886,001.36","8,114,652.86","11,356,520.73","16,388,308.98","4,002,634.62","10,325,040.27","14,887,489.81","23,029,852.79","4,326,974.83","13,396,773.06","18,168,688.90","26,331,410.55","9,639,208.32","17,865,890.62","23,774,265.91","41,077,544.16","7,127,246.97","23,295,626.59","35,290,157.61","68,109,985.59","12,634,695.32","36,945,374.55","52,992,413.88"
减:营业外支出,"4,018.08","32,876.06","36,484.42",359.87,"23,017.37","23,217.37","28,465.20","28,531.21","28,531.21","28,531.21",,,"2,022.77","2,022.77","51,910.35","111,910.35","112,000.00","112,290.78","13,501.79","121,679.46","123,318.46","148,293.90","24,932.66","25,250.69","29,171.26"
管理费用,"22,001,435.54","24,446,803.94","29,380,555.60","18,025,120.39","30,268,416.06","44,728,593.28","13,390,523.45","27,815,669.75","43,413,659.13","62,584,453.26","13,534,627.85","36,183,850.59","49,395,729.70","90,556,754.92","26,647,736.68","54,983,119.23","70,299,279.04","136,173,939.93","23,325,950.61","66,805,524.55","100,080,413.81","175,068,048.85","36,676,648.91","93,143,012.76","160,791,796.75"
其中:非流动资产处置净损失,"3,218.30","26,497.80",613.16,,,,,"28,465.20","28,465.20","28,465.20",,,,,"49,561.02","49,561.02","49,561.02","49,561.02","13,370.54","121,013.88","122,552.96","122,552.96","17,223.88","17,223.88","17,223.88"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"543,383.09","186,605.90","-870,891.50","-1,152,313.61","-1,301,569.15","-4,324,416.44","-2,277,241.87","-4,448,316.83","-6,152,415.63","-8,402,891.54","-2,068,965.12","-3,948,505.21","-5,774,511.88","-7,907,695.43","-1,673,300.61","-3,713,019.44","-2,528,129.50","-1,468,245.44","1,434,652.38","2,878,107.27","4,553,918.55","7,102,760.28","2,274,587.29","2,096,497.38","3,791,571.70"
