科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"80,174,437.04","201,306,889.19","338,894,664.24",,"1,042,057,164.16","924,410,298.83","968,520,302.92","692,174,900.89","898,828,333.12","890,657,131.19","581,675,887.11","513,662,208.66","1,037,328,851.24","1,030,099,402.98","811,302,683.02","518,945,538.81","318,547,324.42","286,497,667.86","588,138,656.27","378,518,685.12","413,151,028.81","401,691,396.14","662,539,376.26","346,313,099.67"
短期借款,"20,000,000.00","15,000,000.00",,,,,,,,,,,,,,"1,000,000.00","1,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,000,000.00",,"1,569,875.00",,,,,,,"2,607,880.00","200,000.00","658,916.00",,,,"384,993.00","12,073.00",,"1,063,349.95","255,000.00","541,100.00","3,362,762.00","1,313,190.00","1,889,700.00"
应付票据,,,,,,,"1,550,000.00","5,000,000.00","3,950,000.00","2,200,000.00","2,200,000.00",,,,,,,,,,,,,
应收账款,"37,289,798.54","46,588,702.53","62,730,946.01",,"213,740,097.92","211,443,174.09","83,390,649.73","106,370,105.75","135,609,459.49","143,079,025.71","48,928,820.93","87,075,117.92","127,428,551.14","121,654,148.57","40,333,200.41","135,952,571.95","106,644,888.83","172,706,453.75","68,811,134.46","132,993,591.93","206,985,226.27","180,651,582.93","97,244,483.23","169,033,498.97"
应付账款,"21,345,088.74","19,463,475.64","91,736,029.24",,"140,389,121.73","97,089,881.10","112,305,184.03","86,385,954.20","93,649,604.30","106,263,507.57","120,455,382.92","115,538,981.65","119,888,628.02","114,519,280.17","133,505,027.43","125,851,170.36","107,446,534.34","108,616,854.62","100,004,878.46","110,120,224.25","93,294,837.58",,"82,563,306.90",
预付款项,"3,313,074.29","3,781,639.92","6,693,645.74",,"7,647,442.52","5,348,698.34","8,945,393.89","9,201,730.67","84,844,492.62","20,546,605.94","18,465,394.83","13,160,020.07","22,651,889.90","26,555,849.39","9,040,369.14","10,122,298.33","10,367,565.88","13,310,656.25","10,883,565.61","17,669,391.25","39,075,304.66","17,002,670.82","13,162,512.91","15,428,716.97"
预收款项,"4,229,309.34","2,702,253.16","9,152,122.26",,"4,607,525.49","4,865,627.73","32,800,385.36","24,670,657.81","29,313,944.58","25,904,782.13","40,430,292.96","31,605,817.81","22,950,379.96","18,438,175.82","28,607,670.44","22,749,574.68","26,890,968.96","24,126,768.85","30,693,477.78","25,821,401.24","24,636,188.21","17,859,097.08","32,903,648.71","36,635,094.02"
