科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"368,019,289.46","398,678,995.40","407,302,643.19","98,189,881.15","231,055,512.32","374,044,275.27","540,907,091.18","159,467,122.60","327,633,672.20","519,958,866.25","694,740,971.96","172,921,181.99","390,990,427.32","623,323,171.04","823,659,727.61","183,210,191.13","437,477,334.66","712,195,765.16","982,492,266.14","239,556,939.21","618,573,977.06","958,901,209.44","1,249,584,676.44","240,934,125.93","558,969,845.55","864,557,461.77","1,178,688,359.00","253,684,491.68","617,031,309.21","954,524,891.87","1,413,156,056.62","340,687,675.95","809,835,655.54","1,283,144,743.02","1,827,986,378.03"
二、营业利润,"35,086,190.13","33,600,998.82","44,151,390.73","10,399,910.77","20,231,870.67","31,057,860.55","37,062,253.68","11,397,910.57","22,688,839.36","36,393,519.52","49,323,930.52","14,697,716.89","30,370,869.03","50,750,598.67","65,921,760.54","13,927,555.84","31,351,308.93","52,553,663.72","68,868,083.10","16,761,204.14","40,847,495.80","70,699,700.37","94,934,558.90","20,873,952.79","55,091,790.66","91,150,131.62","131,490,585.10","31,825,237.20","85,815,131.83","120,305,852.96","186,286,856.61","25,235,629.03","68,927,403.56","103,352,509.93","147,527,859.07"
减:营业成本,"315,646,644.00","342,246,697.09","338,187,373.58","82,753,142.59","198,877,775.45","324,936,923.57","473,736,285.52","144,357,039.19","292,753,236.57","462,536,672.02","614,733,304.65","147,725,509.60","333,068,820.45","531,708,032.86","704,608,015.28","157,739,267.46","375,596,337.94","612,311,021.29","845,813,322.29","201,866,303.66","522,614,163.14","806,118,453.31","1,045,285,907.31","191,943,498.53","440,184,153.78","671,058,787.34","906,486,200.42","186,908,214.59","451,116,260.90","711,805,797.08","1,059,131,554.29","279,481,251.68","650,418,419.75","1,044,381,151.13","1,471,029,730.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"713,066.27","1,353,427.39","1,190,673.47","345,826.11","493,811.23","728,065.16","1,317,008.96","215,506.38","262,960.16","335,745.75","416,774.70","107,275.69","441,920.27","865,618.35","1,355,539.36","217,617.35","647,407.45","1,661,353.06","2,503,374.32","132,427.50","921,043.89","1,528,646.06","2,780,143.94","1,485,430.33","3,190,303.07","6,140,379.54","8,366,314.37","1,869,818.62","3,713,653.32","4,993,899.12","13,213,417.57","1,792,059.06","4,023,381.16","5,697,289.94","13,937,795.51"
营业外收入,"453,100.00","2,394,800.00","925,000.00","363,750.00","588,700.00","833,300.00","1,338,050.00","38,750.00","42,500.00","334,550.00","6,783,300.00","118,750.00","1,884,817.50","2,273,576.25","2,542,620.00","1,694,471.75","2,340,515.50","4,075,041.25","5,528,229.00","1,487,983.75","4,348,410.50","4,495,454.25","5,805,792.00","1,918,443.75","4,607,584.17","6,045,829.25","10,525,865.73","2,172,855.56","4,432,824.10","7,035,214.76","10,224,936.71","1,801,696.83","162,628.51","195,994.39","2,002,474.35"
销售费用,"8,687,779.32","9,679,913.85","11,067,895.51","2,321,272.54","6,156,664.72","9,888,945.98","13,654,551.46","3,765,133.11","7,019,090.11","11,686,120.44","16,019,815.33","4,675,802.03","10,628,943.30","16,234,791.44","21,915,868.99","4,866,817.39","11,712,766.48","18,713,251.14","26,485,136.35","6,281,683.81","15,799,400.43","24,410,062.88","33,073,447.24","6,432,026.68","16,950,133.08","27,284,740.85","36,260,046.28","9,728,104.85","21,866,943.15","33,529,228.30","49,249,231.02","10,363,650.81","25,546,768.61","36,473,610.74","57,901,147.84"
减:营业外支出,,"100,000.00","2,360.00",,,,,,,,,,,,,,,,,,,,"66,403.10",,,,"76,957.86",,"6,652.72","40,297.35","139,447.91","44,999.65","1,361,677.05","1,402,595.05","204,108.08"
管理费用,"3,566,468.15","5,378,425.88","6,370,991.94","1,749,214.99","3,773,512.48","6,038,430.04","11,213,532.45","2,184,430.16","4,076,006.40","7,689,570.18","11,789,730.42","5,347,987.42","10,367,311.94","15,134,251.59","19,783,920.66","5,673,075.75","13,727,284.45","20,134,594.72","27,082,454.93","8,798,773.12","20,646,825.83","30,914,716.22","40,722,086.96","13,003,890.39","28,484,344.85","44,657,251.78","64,475,647.44","19,831,534.16","45,682,683.44","70,401,072.59","94,257,765.85","21,240,787.23","56,137,022.38","88,177,794.27","121,016,267.24"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,"66,403.10",,,,"34,815.94",,,"33,644.63","41,795.19","33,644.63","1,260,031.36",,
