科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"713,937,824.52","790,724,603.24","983,551,135.33","351,524,313.40","494,014,958.98","750,160,894.46","1,109,263,970.47","332,360,990.76","528,467,310.79","788,536,890.05","1,317,591,746.66","491,875,924.62","731,490,755.14","1,153,076,239.25","1,934,776,786.71","591,994,391.95","937,989,436.68","1,391,631,916.46"
取得子公司及其他营业单位支付的现金净额,"9,603,249.00",,,,,,,,,,"265,598,787.89",,"68,101,875.06","49,150,619.60","49,208,249.78",,"9,917,356.96","11,262,546.19"
收到的税费返还,,,,,,"555,396.37",,,,"33,873.08",,,,"5,566.33",,,,"296,279.55"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,188,406.56","115,275,406.91","11,630,176.49","3,596,090.44","6,430,183.99","67,846,961.67","11,843,892.77","16,401,929.45","6,588,354.66","21,630,330.31","42,739,738.90","63,696,161.02","4,905,188.13","26,202,143.98","27,517,954.67","84,018,761.59","7,746,791.42","52,931,372.25"
投资活动现金流出小计,"116,902,155.60","73,633,635.48","114,378,030.54","20,255,197.48","70,867,342.32","58,847,407.45","217,666,722.62","31,826,254.88","588,217,117.11","760,401,744.41","906,301,966.37","147,984,620.80","334,333,518.99","396,088,352.25","498,512,958.63","192,140,481.10","498,063,800.36","868,340,634.87"
经营活动现金流入小计,"733,126,231.08","906,000,010.15","995,181,311.82","355,120,403.84","500,445,142.97","818,563,252.50","1,121,107,863.24","348,762,920.21","535,055,665.45","810,201,093.44","1,360,331,485.56","555,572,085.64","736,395,943.27","1,179,283,949.56","1,962,294,741.38","676,013,153.54","945,736,228.10","1,444,859,568.26"
投资活动产生的现金流量净额,"-27,296,717.52","-72,512,748.60","-113,984,602.06","-20,255,197.48","-70,843,897.32","-58,823,962.45","-217,458,967.62","-30,265,687.90","-304,199,154.47","-332,138,616.40","-335,177,773.09","24,176,439.79","-17,769,737.31","26,422,656.45","4,447,844.49","-131,584,755.10","-191,691,080.63","-280,155,473.09"
购买商品、接受劳务支付的现金,"227,004,369.19","231,568,956.87","316,010,795.82","111,344,753.37","163,140,041.49","279,490,528.72","356,265,839.67","116,383,122.00","190,578,131.50","288,050,876.22","416,760,919.26","162,694,176.07","302,129,981.50","439,233,393.89","682,427,553.53","288,346,916.14","460,370,273.63","686,267,741.05"
吸收投资收到的现金,,,,,,"790,560,000.00","776,810,000.00",,,,,,,,,,"61,276,592.00","61,276,592.00"
支付给职工以及为职工支付的现金,"292,331,890.70","344,166,756.09","436,714,410.54","196,530,870.55","271,556,874.33","350,541,980.35","487,332,108.63","207,574,069.73","305,440,619.08","408,816,322.19","528,375,115.43","252,907,082.75","367,740,857.91","482,981,675.56","639,419,591.41","307,014,723.25","462,618,803.60","596,211,600.22"
取得借款收到的现金,"110,000,000.00","200,137,100.00","275,000,000.00","5,000,000.00","100,000,000.00","175,000,000.00","180,000,000.00","100,000,000.00","250,000,000.00","262,000,000.00","262,000,000.00",,"150,000,000.00","200,000,000.00","210,000,000.00",,"160,000,000.00","217,000,000.00"
支付的各项税费,"153,449,134.77","86,684,489.91","111,167,030.20","32,219,856.24","72,332,869.75","101,686,759.78","122,586,489.06","18,500,924.67","72,814,802.77","121,760,183.18","139,874,734.11","34,218,354.94","68,849,845.80","118,611,245.69","157,348,800.83","42,325,466.36","100,276,698.45","150,290,997.82"
收到其他与筹资活动有关的现金,,"1,500,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"92,184,045.39","89,125,178.06","104,506,957.59","80,779,991.94","101,030,556.73","286,744,824.95","146,451,630.17","117,228,377.22","133,493,958.11","203,776,184.74","157,605,953.80","150,297,465.40","132,173,050.79","234,156,770.14","210,614,709.48","184,916,198.94","111,150,420.53","238,473,786.65"
筹资活动现金流入小计,"110,000,000.00","201,637,100.00","275,000,000.00","5,000,000.00","100,000,000.00","965,560,000.00","956,810,000.00","100,000,000.00","250,000,000.00","262,000,000.00","262,000,000.00",,"150,000,000.00","200,000,000.00","210,000,000.00",,"221,276,592.00","278,276,592.00"
经营活动现金流出小计,"764,969,440.05","751,545,380.93","968,399,194.15","420,875,472.10","608,060,342.30","1,018,464,093.80","1,112,636,067.53","459,686,493.62","702,327,511.46","1,022,403,566.33","1,242,616,722.60","600,117,079.16","870,893,736.00","1,274,983,085.28","1,689,810,655.25","822,603,304.69","1,134,416,196.21","1,671,244,125.74"
偿还债务支付的现金,"40,000,000.00","105,013,710.00","180,031,286.91","5,000,000.00","70,000,000.00","150,000,000.00","465,000,000.00","5,000,000.00","5,000,000.00","10,000,000.00","60,022,115.19","50,000,000.00","205,000,000.00","212,000,000.00","212,024,803.47",,"150,000,000.00","204,800,000.00"
经营活动产生的现金流量净额,"-31,843,208.97","154,454,629.22","26,782,117.67","-65,755,068.26","-107,615,199.33","-199,900,841.30","8,471,795.71","-110,923,573.41","-167,271,846.01","-212,202,472.89","117,714,762.96","-44,544,993.52","-134,497,792.73","-95,699,135.72","272,484,086.13","-146,590,151.15","-188,679,968.11","-226,384,557.48"
分配股利、利润或偿还利息支付的现金,"32,106,135.58","11,941,783.07","10,882,278.71","2,299,500.00","43,735,652.40","51,713,041.49","51,858,988.64","575,555.56","38,763,013.32","39,069,002.09","45,923,690.05","2,265,472.21","55,841,278.25","57,324,349.56","61,111,776.25","2,183,797.51","71,442,200.55","73,439,140.71"
收回投资收到的现金,"88,500,000.00",,,,,,"8,611.10",,"280,000,000.00","420,000,000.00","560,000,000.00","170,000,000.00","310,000,000.00","412,900,000.00","492,900,000.00","60,000,000.00","300,000,000.00","581,000,000.00"
支付其他与筹资活动有关的现金,"10,203,400.00",,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"162,108.08","708,609.70","7,811.00",,,,"199,143.90","1,552,566.98","3,959,962.64","8,205,128.01","9,366,136.68","1,827,116.44","5,297,987.53","7,136,008.70","7,802,567.73","554,126.00","6,323,119.73","7,124,561.78"
筹资活动现金流出小计,"82,309,535.58","116,955,493.07","190,913,565.62","7,299,500.00","113,735,652.40","201,713,041.49","516,858,988.64","5,575,555.56","43,763,013.32","49,069,002.09","105,945,805.24","52,265,472.21","260,841,278.25","269,324,349.56","273,136,579.72","2,183,797.51","221,442,200.55","278,239,140.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,"383,330.00","412,277.18","385,617.48",,"23,445.00","23,445.00",,"8,000.00","58,000.00","58,000.00","1,758,056.60","333,944.15","1,265,794.15","2,475,000.00","2,258,235.39","1,600.00","49,600.00","60,600.00"
筹资活动产生的现金流量净额,"27,690,464.42","84,681,606.93","84,086,434.38","-2,299,500.00","-13,735,652.40","763,846,958.51","439,951,011.36","94,424,444.44","206,236,986.68","212,930,997.91","156,054,194.76","-52,265,472.21","-110,841,278.25","-69,324,349.56","-63,136,579.72","-2,183,797.51","-165,608.55","37,451.29"
处置子公司及其他营业单位收到的现金净额,"560,000.00",,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-7.24,,,,,,,,,,"15,261.77",,"4,909.01","6,552.02","65,576.77","-10,272.01","-50,010.41","-55,993.18"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"89,605,438.08","1,120,886.88","393,428.48",,"23,445.00","23,445.00","207,755.00","1,560,566.98","284,017,962.64","428,263,128.01","571,124,193.28","172,161,060.59","316,563,781.68","422,511,008.70","502,960,803.12","60,555,726.00","306,372,719.73","588,185,161.78"
五、现金及现金等价物净增加额,"-31,449,469.31","166,623,487.55","-3,116,050.01","-88,309,765.74","-192,194,749.05","505,122,154.76","230,963,839.45","-46,764,816.87","-265,234,013.80","-331,410,091.38","-61,393,553.60","-72,634,025.94","-263,103,899.28","-138,594,276.81","213,860,927.67","-280,368,975.77","-380,586,667.70","-506,558,572.46"
购建固定资产、无形资产和其他长期资产支付的现金,"18,798,906.60","73,633,635.48","114,378,030.54","20,255,197.48","70,867,342.32","36,007,407.45","54,826,722.62","31,826,254.88","33,220,829.08","35,405,456.38","49,303,178.48","7,984,620.80","31,231,643.93","36,937,732.65","57,619,708.85","18,140,481.10","29,146,443.40","41,606,481.00"
期初现金及现金等价物余额,"222,777,497.21","191,328,027.90","357,951,515.45","354,835,465.44","354,835,465.44","354,835,465.44","354,835,465.44","585,799,304.89","598,120,932.77","598,120,932.77","585,799,304.89","524,405,751.29","524,405,751.29","530,263,203.29","524,405,751.29","738,266,678.96","738,266,678.96","738,266,678.96"
投资支付的现金,"88,500,000.00",,,,,"22,840,000.00","162,840,000.00",,"554,996,288.03","724,996,288.03","591,400,000.00","140,000,000.00","235,000,000.00","310,000,000.00","391,685,000.00","174,000,000.00","459,000,000.00","815,471,607.68"
期末现金及现金等价物余额,"191,328,027.90","357,951,515.45","354,835,465.44","266,525,699.70","162,640,716.39","859,957,620.20","585,799,304.89","539,034,488.02","332,886,918.97","266,710,841.39","524,405,751.29","451,771,725.35","261,301,852.01","391,668,926.48","738,266,678.96","457,897,703.19","357,680,011.26","231,708,106.50"
