科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,848,652.43","27,534,854.85","26,891,697.80","111,189,368.21","97,500,607.56","108,261,577.22","98,136,969.95","109,015,718.91","107,846,258.61","100,844,038.46","105,088,378.82","90,714,332.84","82,189,009.59","80,488,809.57","118,742,841.18","107,365,523.84","122,793,040.90","67,749,023.39","73,895,248.57","81,489,029.85","98,424,377.20","40,659,761.26","26,448,079.25","48,882,469.83","10,416,878.32","9,687,294.98","17,736,748.88","13,287,817.60","18,734,091.69","14,002,595.24","47,262,698.68","29,261,454.29","46,935,166.79","91,820,957.53","97,853,610.87","101,506,053.88","112,585,970.46","122,631,341.27","133,749,302.27","135,118,152.84","130,904,911.49","108,708,999.28","55,418,033.84","72,732,597.08","29,395,083.22","27,873,364.64","33,868,182.20","38,257,036.03"
短期借款,"2,000,000.00","8,000,000.00","8,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,052,356.16",,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,937,939.25","17,483,315.00","34,216,388.96","28,591,642.79","38,634,900.30","39,840,172.15","55,865,803.97","39,887,320.46","36,623,525.14","47,216,946.26","52,811,641.96","60,828,426.12","60,281,785.36","84,172,294.72","90,221,728.10","81,066,171.03","53,133,079.33","70,766,045.46","138,825,457.66","75,275,335.33","49,497,648.95","64,911,623.95","90,148,494.40","58,833,467.76","72,187,163.84","46,639,541.44","72,408,169.63","65,939,671.58","81,883,653.71","116,223,795.04","95,275,033.55","89,726,872.99","96,637,302.45","74,864,029.07","73,582,336.88","62,847,399.78","65,184,181.35","62,538,369.52","55,898,765.12","46,879,621.62","46,043,118.57","54,536,478.10","71,155,137.26","58,041,000.32","39,815,333.31","42,660,991.63","41,669,790.61","38,228,833.89"
应付票据,"26,740,000.00","22,510,000.00","22,610,000.00","24,269,000.00","34,199,000.00","42,410,000.00","39,350,000.00","40,180,000.00","38,146,000.00","28,976,000.00","31,662,066.26","32,362,335.25","33,564,614.63","35,356,193.07","41,500,319.14","52,934,408.05","43,878,844.36","32,499,373.60","58,449,001.43","37,017,368.80","35,708,428.39","25,889,356.28","31,175,115.98","41,827,442.20","37,332,512.24","16,406,236.11","23,815,060.45","25,185,070.30","29,170,815.87","57,969,061.63","55,971,555.53","36,477,974.89","40,423,681.27","35,605,183.22","39,372,961.35","32,872,329.76","36,435,237.22","32,002,497.48","31,889,626.03","42,639,283.69","38,720,454.78","29,465,925.70","29,557,144.81","31,695,307.99","25,641,787.36",,"26,657,134.85",
应收账款,"48,162,148.66","45,374,149.18","52,043,965.77","53,451,655.28","48,832,571.85","39,532,518.08","44,694,577.70","29,476,368.15","38,341,039.63","45,616,224.10","56,507,054.16","48,765,571.10","55,826,188.08","54,779,456.85","53,050,427.93","55,263,498.15","60,466,114.53","66,833,951.38","46,452,335.15","42,410,727.81","60,940,285.02","79,284,268.97","90,682,221.55","76,943,667.10","84,258,235.06","86,198,214.05","80,035,979.55","74,599,950.36","81,354,493.61","71,324,805.09","81,244,629.97","66,041,849.86","58,346,169.72","42,874,935.41","52,208,634.43","47,545,662.03","38,914,485.75","34,083,871.50","42,727,698.76","33,626,596.74","47,111,242.59","49,786,874.99","32,772,426.64","28,409,758.72","38,047,441.91","33,974,249.00","30,591,039.21","27,608,732.34"
应付账款,"17,667,702.69","18,521,930.62","39,240,229.48","26,590,691.46","36,453,647.93","24,792,429.71","22,010,807.20","12,900,332.12","20,348,755.37","33,841,778.18","39,523,145.30","33,042,153.16","40,440,954.95","41,753,919.30","53,736,667.51","40,215,708.46","44,894,880.07","38,838,105.53","46,002,217.52","23,098,863.14","38,129,461.68","41,192,454.97","49,142,936.22","37,968,502.89","41,539,864.33","42,952,300.98","59,470,090.15","38,275,696.93","56,545,355.60","65,193,593.19","47,508,630.73","44,595,744.05","36,583,566.95","28,854,659.29","31,769,289.46","36,253,712.48","25,943,790.28","27,430,783.46","35,781,596.45","22,263,397.11","23,993,173.86","24,968,040.31","22,516,849.78","21,024,769.81","24,855,139.82",,"20,576,579.56",
预付款项,"3,878,339.00","5,595,903.00","4,808,245.84","4,347,064.00","3,474,556.80","3,443,762.50","1,553,657.98","2,838,658.25","1,985,626.34","2,728,127.40","187,684.15","321,359.85","1,761,574.75","1,231,186.85","604,362.80","1,290,106.29","2,570,327.19","4,680,001.60","2,041,792.44","4,572,449.82","5,158,655.89","5,146,081.50","3,648,912.19","2,172,936.76","2,650,736.91","2,367,078.77","1,480,450.75","1,112,957.46","1,222,966.12","1,492,173.54","793,852.16","2,244,602.20","1,890,659.93","1,099,615.33","418,893.50","390,769.29","338,151.00","334,422.72","292,915.02","272,659.42","406,447.77","484,550.26","416,859.85","372,141.65","183,498.62","225,034.34","1,127,923.38","4,931,326.68"
预收款项,"237,884.62","553,401.13","666,328.06","150,630.00","210,944.00","215,959.01","394,245.01","225,931.01","732,337.01","804,077.01","997,803.81","606,283.01","922,011.01","4,914,805.01","1,240,700.01","980,211.01","328,471.01","1,389,475.01","532,229.21","97,456.01","558,166.01","457,866.01","579,816.01","1,050,960.01","1,497,516.01","718,201.01","2,176,760.69","393,492.32","777,681.31","1,289,746.01","265,229.20","286,385.00","787,382.00","3,011,240.74","303,808.00","1,768,022.00","1,948,565.72","360,561.72","1,051,343.22","1,253,567.22","429,240.02","383,431.72","2,455,796.68","1,808,335.63","91,708.22","724,821.22","668,186.10","870,961.41"
