科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"300,088,057.66","342,294,175.36","299,785,848.67","69,629,333.51","148,706,880.27","166,881,863.67","232,666,225.37","65,454,969.28","187,428,058.64","261,937,531.22","380,370,139.53","89,074,008.72","180,069,324.83","282,266,962.31","713,594,295.79","109,700,552.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"347,860,525.80",,,,"55,544,939.12",
收到的税费返还,,,,,,,,,,,,"19,214.01","72,200.40","1,263,984.65","38,314.57","54,290.06"
支付其他与投资活动有关的现金,,"4,478,000.00",,,,,"120,000,000.00","140,000,000.00","140,000,080.00",,"243,495,669.90",994.64,"30,008,571.87","14,974.84","1,900,000.00","1,001,950.33"
收到其他与经营活动有关的现金,"7,786,911.77","2,066,865.02","8,267,742.62","6,720,749.24","9,535,895.36","3,548,028.22","3,893,239.42","2,449,174.27","7,216,555.03","5,238,328.06","8,815,517.56","23,129,540.62","3,015,034.08","5,823,051.86","54,099,775.54","10,363,760.08"
投资活动现金流出小计,"18,778,647.79","30,048,580.83","44,763,117.69","1,409,871.03","3,022,727.44","8,221,629.14","146,273,279.49","146,787,847.52","267,653,541.17","584,591,262.25","620,303,633.07","6,965,081.25","50,368,499.51","28,057,339.05","99,944,823.82","2,817,776.93"
经营活动现金流入小计,"307,874,969.43","344,361,040.38","308,053,591.29","76,350,082.75","158,242,775.63","170,429,891.89","236,559,464.79","67,904,143.55","194,644,613.67","267,175,859.28","389,185,657.09","112,222,763.35","183,156,559.31","289,353,998.82","767,732,385.90","120,118,602.40"
投资活动产生的现金流量净额,"-18,307,640.22","-25,048,380.83","-39,714,247.69","-1,409,871.03","-672,360.44","-6,221,629.14","-144,034,279.49","44,662,399.05","-5,505,627.93","-151,834,759.59","-254,238,694.26","-6,722,466.44","-48,991,856.29","-27,375,547.68","-97,146,093.86","-2,542,696.59"
购买商品、接受劳务支付的现金,"173,689,828.06","196,392,466.47","174,866,892.85","48,070,147.60","100,620,188.98","77,455,108.15","101,768,374.69","35,214,017.80","121,384,857.32","164,044,562.58","223,406,378.79","56,634,588.99","79,490,274.51","132,073,517.73","494,935,140.17","66,304,803.99"
吸收投资收到的现金,,,,,,"199,423,415.15","203,250,000.00",,,"307,077,343.90","304,377,343.90",,,,,
支付给职工以及为职工支付的现金,"29,754,825.56","34,608,131.48","31,839,895.20","8,825,683.02","17,406,708.61","26,830,612.44","35,491,893.88","10,003,154.04","20,196,003.00","33,425,054.14","54,370,021.30","23,929,243.48","45,937,742.52","64,608,799.87","96,100,164.66","27,999,103.55"
取得借款收到的现金,,,,,,,,,"4,661,758.50","19,545,451.98","19,661,758.50","19,712,264.30","54,670,387.80","105,880,332.50","65,213,660.36","15,000,000.00"
支付的各项税费,"33,035,854.15","29,938,183.63","29,125,491.94","7,914,788.47","13,241,425.86","25,645,152.27","29,706,607.79","7,616,065.74","21,220,470.88","31,267,950.69","42,095,266.65","20,622,664.43","44,733,705.88","55,994,636.62","60,026,435.48","16,488,884.48"
收到其他与筹资活动有关的现金,,,,,,,,,"4,706.71","10,490.22",,"11,238.09","21,040,966.82","21,376,608.28",,"10,032,966.61"
支付其他与经营活动有关的现金,"37,252,266.88","40,743,716.37","26,962,174.73","7,159,685.84","13,074,786.59","9,274,709.18","27,944,765.35","8,213,316.78","16,059,009.99","19,894,894.58","44,611,647.98","24,579,932.79","34,198,304.21","50,515,461.18","62,835,144.47","39,835,323.48"
