科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,234,335,852.07","2,609,243,217.72","3,868,087,976.16","2,241,685,216.69","3,420,085,325.63","4,261,519,432.12","521,540,163.52","1,387,577,615.02","2,192,815,661.18","2,871,370,636.18","656,857,509.86","1,673,189,401.87","2,705,232,313.04","4,187,439,535.22","1,564,082,857.16","3,494,434,586.55","4,986,358,151.22","7,936,453,615.94","1,928,853,346.96","3,263,858,723.37","5,223,787,002.72","9,597,458,272.59","2,863,532,033.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"604,601,000.00",,"7,280,000.00","7,280,000.00",,
收到的税费返还,,,,,,,,,,,,,"351,005.39",,,,,,,,"408,599.80",,
支付其他与投资活动有关的现金,"218,845,736.84","207,064,599.03","218,320,000.00","196,420,514.37","202,553,140.12","584,044,318.91","145,713.72","1,992,972.33","16,455,589.57","478,143,622.00","104,865.82","7,579,616.35","13,018,027.97","299,984,948.00","6,273,822.51","2,894,142.87","3,271,287.73","2,007,022,080.71","1,332,154,386.06","1,333,967,164.94","2,192,884,244.16","2,186,808,589.42","216,008,261.66"
收到其他与经营活动有关的现金,"989,072,117.20","863,691,009.97","1,440,022,504.90","632,685,440.58","820,081,619.48","2,306,555,473.58","349,062,168.86","434,524,386.02","617,064,449.01","2,382,592,046.87","131,635,508.46","240,833,867.92","527,511,533.03","1,480,912,885.57","165,240,827.43","442,411,131.71","681,646,730.52","2,734,873,844.07","283,081,840.18","311,558,663.40","407,317,770.38","3,174,525,638.25","11,178,630.33"
投资活动现金流出小计,"1,265,106,722.11","1,339,645,140.75","365,712,912.52","230,192,752.87","282,769,497.21","785,903,963.78","130,184,268.75","175,112,382.39","197,497,042.62","653,382,948.49","85,023,165.10","115,907,437.14","171,200,131.41","573,856,168.60","20,614,252.81","36,199,216.23","45,257,708.84","2,943,397,791.20","1,350,443,246.13","1,470,917,955.48","2,449,366,242.21","2,706,745,467.34","616,747,880.94"
经营活动现金流入小计,"3,223,407,969.27","3,472,934,227.69","5,308,110,481.06","2,874,370,657.27","4,240,166,945.11","6,568,074,905.70","870,602,332.38","1,822,102,001.04","2,809,880,110.19","5,253,962,683.05","788,493,018.32","1,914,023,269.79","3,233,094,851.46","5,668,352,420.79","1,729,323,684.59","3,936,845,718.26","5,668,004,881.74","10,671,327,460.01","2,211,935,187.14","3,575,417,386.77","5,631,513,372.90","12,771,983,910.84","2,874,710,663.78"
投资活动产生的现金流量净额,"-1,228,152,811.61","-1,064,779,077.51","-167,399,809.53","-119,631,922.51","-170,543,666.85","-619,702,133.42","141,774,165.51","96,249,911.58","74,590,384.64","78,986,708.63","-80,023,165.10","-98,214,637.14","-135,567,331.41","-73,641,474.60","-19,064,252.81","-34,544,266.23","-41,931,042.84","-1,643,776,281.89","-1,147,714,972.16","-749,581,996.58","-58,591,117.79","63,742,338.30","-387,772,712.19"
购买商品、接受劳务支付的现金,"1,834,343,230.19","2,240,826,305.49","2,723,725,103.40","1,330,955,637.55","1,837,500,226.46","3,911,004,463.66","726,319,883.52","978,797,360.30","1,737,679,613.61","2,493,764,420.03","363,320,935.86","982,217,884.17","1,916,239,148.88","2,580,140,355.34","1,092,945,621.71","2,761,863,315.25","3,665,145,720.88","5,965,405,755.81","1,851,201,193.67","2,707,487,502.05","4,296,030,017.32","8,171,931,082.72","2,586,121,402.05"
吸收投资收到的现金,"196,000,000.00",,,,,"1,852,600,000.00",,,,,,,,,,,,"2,425,748,151.88",,,,,
支付给职工以及为职工支付的现金,"97,211,215.88","185,502,340.68","238,686,998.21","123,465,232.57","213,603,442.75","299,222,824.30","67,353,653.90","134,176,850.66","206,371,727.54","334,714,462.08","53,414,995.44","109,368,993.10","160,034,403.70","236,366,625.90","94,880,664.44","183,913,426.36","256,071,984.38","333,164,892.06","81,643,332.65","165,221,235.98","288,115,759.62","391,235,630.70","94,027,754.31"
取得借款收到的现金,"951,000,000.00","1,252,500,000.00","1,720,000,000.00","952,766,083.33","1,432,766,083.33","1,982,766,083.33","355,000,000.00","580,000,000.00","1,427,000,000.00","1,759,770,000.00","165,000,000.00","205,000,000.00","1,088,000,000.00","1,448,000,000.00","270,000,000.00","320,000,000.00","1,095,000,000.00","1,298,000,000.00","285,000,000.00","465,000,000.00","760,000,000.00","1,168,000,000.00","364,500,000.00"
支付的各项税费,"208,473,512.66","156,968,758.01","193,391,731.26","46,916,430.52","75,764,719.28","109,261,170.12","32,787,688.16","71,306,508.50","82,674,216.53","95,762,946.12","12,323,624.66","23,511,505.02","55,220,555.85","81,036,132.40","49,955,073.82","86,697,031.07","118,593,996.28","167,508,273.43","17,985,038.28","50,707,647.57","104,999,046.00","239,085,217.57","62,342,379.60"
收到其他与筹资活动有关的现金,"999,980,000.00","531,147,404.00","100,000,000.00","549,000,000.00","629,708,694.59","1,155,884,167.23","490,733.36","497,007.99","510,473.04","33,091,158.40","2,716.31","8,318,971.03","8,320,754.71","270,000,000.00","7,356,583.47","7,214,958.39","107,381,758.16","893,990,504.67","200,159,882.17","300,283,264.79","800,309,048.73","1,059,739,762.60","2,093.35"
支付其他与经营活动有关的现金,"911,689,776.58","746,744,329.70","2,033,262,143.54","1,245,947,655.02","2,017,164,407.23","3,164,305,648.87","489,767,613.85","419,041,541.09","541,663,193.91","2,386,979,717.70","255,110,737.23","250,213,787.32","583,972,902.35","2,071,488,666.27","307,054,345.82","486,843,869.48","1,112,798,474.30","3,528,004,597.47","252,424,578.96","576,527,814.54","912,400,561.01","3,498,575,236.75","130,525,940.02"
筹资活动现金流入小计,"2,146,980,000.00","1,783,647,404.00","1,820,000,000.00","1,501,766,083.33","2,062,474,777.92","4,991,250,250.56","355,490,733.36","580,497,007.99","1,427,510,473.04","1,792,861,158.40","165,002,716.31","213,318,971.03","1,096,320,754.71","1,718,000,000.00","277,356,583.47","327,214,958.39","1,202,381,758.16","4,617,738,656.55","485,159,882.17","765,283,264.79","1,560,309,048.73","2,227,739,762.60","364,502,093.35"
经营活动现金流出小计,"3,051,717,735.31","3,330,041,733.88","5,189,065,976.41","2,747,284,955.66","4,144,032,795.72","7,483,794,106.95","1,316,228,839.43","1,603,322,260.55","2,568,388,751.59","5,311,221,545.93","684,170,293.19","1,365,312,169.61","2,715,467,010.78","4,969,031,779.91","1,544,835,705.79","3,519,317,642.16","5,152,610,175.84","9,994,083,518.77","2,203,254,143.56","3,499,944,200.14","5,601,545,383.95","12,300,827,167.74","2,873,017,475.98"
