科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"70,223,296.88","161,716,854.51","203,571,090.43","93,513,465.30","109,260,556.61","499,057,545.77","416,444,643.02","334,729,241.75","274,035,027.56","255,738,951.60","176,891,241.07","183,372,094.76","131,368,958.12","440,585,369.97","308,600,848.62"
短期借款,"65,119,305.00","106,000,000.00","135,000,000.04","88,000,000.00","75,000,000.00","84,000,000.00",,,,"20,000,000.00",,"40,000,000.00","88,000,000.00","157,000,000.00","107,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,"4,000,000.00","4,747,819.52","19,667,217.80","40,084,039.92","42,013,203.44","17,185,700.66","29,406,208.19","43,654,676.00","74,943,264.11","68,020,999.93","38,359,973.22","18,599,197.57","23,829,432.36","10,937,625.90"
应付票据,"80,582,047.50","20,529,200.00","37,321,125.76","51,420,200.61","63,223,633.35","61,637,170.29","59,870,913.14","57,775,242.61","147,224,790.52","160,416,743.61","134,908,047.81","130,802,902.97",,"157,900,402.91",
应收账款,"370,264,917.66","232,511,839.25","301,062,864.15","312,620,227.80","390,256,335.23","257,346,454.32","167,371,958.71","324,807,259.88","451,029,432.59","338,442,861.81","260,331,881.37","471,705,025.79","653,590,753.49","266,676,925.31","266,559,078.03"
应付账款,"274,405,802.57","268,058,520.36","217,842,817.38","203,167,834.25","226,267,761.51","128,351,032.00","49,399,551.43","184,140,053.53","172,007,573.02","234,413,254.51","252,343,647.77","342,475,499.28",,"409,912,735.11",
预付款项,"15,613,058.99","6,548,681.84","9,036,655.80","6,224,744.22","6,336,783.57","5,632,391.51","7,234,507.90","23,597,866.18","62,577,869.94","13,687,564.06","14,336,527.10","45,675,324.71","51,298,979.67","9,811,460.59","64,468,898.18"
预收款项,"1,165,066.67","12,238,892.44","3,252,986.43","241,544.25","1,181,343.23","205,649.18","205,649.18","7,592,616.67","18,306,481.67","27,669,707.05","27,669,707.05","61,140,929.05","26,459,044.34","12,697,481.95","48,850,821.95"
