科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"118,615,254.24","276,278,951.85","592,750,335.22","250,098,690.33","504,057,288.67","737,687,597.22","971,517,350.44","183,334,160.62","417,282,535.42","502,805,057.42","724,521,892.46","123,075,341.94","420,754,744.90","666,562,592.06","1,072,755,233.91","224,023,904.65","610,468,703.10","1,028,635,466.00","1,515,881,574.52","402,707,501.65","779,409,366.84","1,063,515,338.40","1,384,017,745.25","316,726,993.28","620,524,034.30","1,000,787,469.74","1,349,007,585.29","186,076,630.98","1,049,992,507.76","1,819,650,696.42","2,504,851,150.69","670,120,549.92","1,575,271,262.91","2,303,081,451.43","4,359,536,505.50","1,611,001,438.15","4,228,600,865.26","6,039,332,378.20","8,925,187,920.02","2,448,715,940.47","4,958,132,662.48","7,096,079,883.78","12,869,539,610.80","3,105,297,165.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"823,860,087.54",,,,"18,835,200.00","26,000,000.00",,,"297,998,787.40",
收到的税费返还,,,,,,,,,,,"187,419.46",,"313,909.99","313,909.99","313,909.99",,,,,,,"288,550.40","288,550.40",,"636,866.02","742,917.58","807,007.49",,"1,538,033.98","3,981,271.60","18,693,670.27","4,421,941.71","4,423,400.04","9,447,344.75","29,703,171.27","24,365,588.05","46,845,784.53","83,885,330.23","138,248,413.30","62,052,344.38","100,857,444.92","128,851,923.65","129,525,491.27","18,654,850.84"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"37,668,000.00",,,,,,,,,,,"225,000,000.00","979,000,000.00",,,,,610.00,"1,450,670.00","87,214,130.00","479,204,000.00","15,000,000.00","26,000,000.00","46,071,412.12","461,000,000.00","669,158,255.33"
收到其他与经营活动有关的现金,"777,982.86","11,345,018.51","11,526,901.14","6,236,877.67","2,738,877.34","27,447,621.35","9,798,299.04","17,930,730.91","30,937,938.84","36,089,484.58","27,247,104.64","8,464,271.51","10,482,295.16","66,958,741.17","39,895,773.69","73,983,577.82","26,838,813.92","22,133,834.21","27,820,514.77","4,535,158.61","9,475,288.62","7,013,496.11","13,555,940.84","8,245,590.48","6,327,693.92","12,111,159.10","21,140,198.37","4,885,581.19","28,443,759.91","37,108,468.29","40,485,970.87","24,885,821.28","54,011,186.16","59,502,201.45","122,287,225.36","95,294,391.70","111,038,207.77","209,770,424.76","203,744,717.28","246,264,709.76","430,053,333.82","796,267,213.60","348,939,452.71","216,500,434.94"
投资活动现金流出小计,"41,295,003.20","48,361,147.49","91,354,650.96","21,139,838.51","47,011,311.65","66,472,774.73","165,799,225.67","24,891,752.65","97,484,041.18","146,085,385.45","274,910,130.25","101,797,950.79","168,416,179.26","221,151,277.28","479,539,258.39","25,098,222.39","63,808,596.30","102,480,898.31","349,397,145.24","138,685,859.16","178,436,028.75","269,802,075.19","310,302,567.70","83,575,925.06","109,588,542.56","177,233,774.33","171,288,967.93","30,449,854.28","86,919,148.06","727,108,721.13","1,235,380,212.39","149,094,704.42","225,010,382.47","252,731,635.27","1,011,832,968.02","146,180,955.88","545,349,352.97","788,246,186.93","1,066,277,573.51","1,025,206,133.31","1,556,493,989.22","2,069,216,550.91","3,291,633,924.18","1,593,189,683.43"
经营活动现金流入小计,"119,393,237.10","287,623,970.36","604,277,236.36","256,335,568.00","506,796,166.01","765,135,218.57","981,315,649.48","201,264,891.53","448,220,474.26","538,894,542.00","751,956,416.56","131,539,613.45","431,550,950.05","733,835,243.22","1,112,964,917.59","298,007,482.47","637,307,517.02","1,050,769,300.21","1,543,702,089.29","407,242,660.26","788,884,655.46","1,070,817,384.91","1,397,862,236.49","324,972,583.76","627,488,594.24","1,013,641,546.42","1,370,954,791.15","190,962,212.17","1,079,974,301.65","1,860,740,436.31","2,564,030,791.83","699,428,312.91","1,633,705,849.11","2,372,030,997.63","4,511,526,902.13","1,730,661,417.90","4,386,484,857.56","6,332,988,133.19","9,267,181,050.60","2,757,032,994.61","5,489,043,441.22","8,021,199,021.03","13,348,004,554.78","3,340,452,451.05"
投资活动产生的现金流量净额,"-41,274,303.20","-44,148,048.16","-83,785,273.19","-21,096,843.31","-46,952,635.35","-66,414,098.43","-164,506,092.67","-23,289,652.95","-91,448,443.88","-137,378,148.04","-266,022,707.16","-101,797,950.79","-168,260,664.02","-220,937,440.04","-256,124,084.07","-25,098,222.39","-59,183,002.81","-97,148,961.06","-236,117,582.00","-58,269,511.94","-55,687,199.12","-144,919,589.55","-182,030,207.47","-38,244,543.55","-62,367,181.83","-129,110,485.64","-120,642,951.49","119,917,611.77","79,639,102.19","-298,740,617.86","-124,410,642.87","-149,094,704.42","-205,203,657.53","-109,422,620.12","-967,531,264.70","-111,849,724.02","-177,452,856.22","-292,735,905.75","-359,572,306.64","-888,105,274.39","-1,380,171,084.09","-1,776,722,608.90","-2,733,925,015.68","-900,184,865.97"
购买商品、接受劳务支付的现金,"86,030,725.61","200,189,224.92","410,655,017.98","160,108,927.76","296,138,450.03","491,795,367.94","576,323,653.50","143,318,906.24","304,630,481.93","358,379,322.30","501,669,643.77","86,156,822.46","286,997,951.54","478,449,346.66","738,740,560.48","148,135,551.16","430,560,460.54","811,091,433.63","1,159,596,659.10","326,680,326.08","630,958,997.31","796,046,579.52","1,069,895,369.72","275,245,930.79","479,350,475.47","778,447,242.08","1,075,277,297.35","190,376,967.63","907,323,443.39","1,653,357,563.23","2,201,889,017.23","460,360,954.06","1,120,996,027.12","1,445,432,297.62","3,322,916,453.49","1,283,398,561.40","3,332,614,313.52","5,057,502,023.71","6,815,934,316.58","2,341,045,953.49","3,826,881,717.65","6,062,898,704.39","9,618,614,305.89","2,773,824,344.29"
吸收投资收到的现金,,,,"334,976,120.00","338,476,120.00","346,976,120.00","346,976,120.00",,,,,,,,,,,,,,,,,,,,,,"279,247,104.80","279,247,104.80","279,247,104.80",,"980,000.00","980,000.00","855,783,325.90",,"1,750,000.00","1,750,000.00","2,611,602,999.90",,,"10,810,700.00","10,810,700.00",
