科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"705,067.81","5,940,263.50","69,225,201.99","40,030,863.72","31,924,648.37","684,899,007.58","605,810,774.42","516,771,653.73","484,503,814.20","491,451,037.11","501,827,711.69","421,375,427.32","458,709,629.28","419,846,955.58","371,652,949.37","319,795,341.68","254,318,547.01","190,676,961.83","184,627,231.55","195,245,136.27","202,921,407.89","164,475,635.61","271,497,517.04","238,265,244.90","324,929,386.86","289,869,342.21","514,772,759.41","431,273,454.61","402,147,875.79","694,054,181.51","455,959,380.90","471,398,572.92","376,714,100.10","422,909,788.53"
短期借款,"14,200,000.00","15,000,000.00","63,200,000.00","41,470,000.00","66,000,000.00","56,000,000.00",,"10,000,000.00","40,000,000.00","60,000,000.00","80,000,000.00","10,000,000.00",,,,"40,551,823.83","72,348,813.16","82,306,728.15","65,356,823.53","83,209,293.24","129,551,894.40","215,031,370.52","304,656,523.52","294,913,190.04","350,532,618.89","337,516,591.38","304,577,871.51","251,718,232.03","154,544,455.21","226,248,193.53","318,970,044.54","421,052,913.43","474,450,457.76","590,561,550.70"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,342,607.50","2,248,351.68"
应收票据,"864,245.00","53,000.00","8,064,428.78","280,000.00","2,080,000.00","4,609,123.91","4,150,000.00","6,465,333.40","22,475,563.80","21,188,810.96","10,761,726.96","28,825,000.00","50,035,349.29","33,278,960.47","31,182,900.47","15,548,086.00","23,629,276.00","21,191,190.00","11,290,000.00","9,485,844.00","23,839,000.00","19,455,705.13","16,902,165.13","32,439,376.00","25,412,051.85","31,703,818.88","102,992,141.07","135,408,752.28","80,415,225.42","73,853,730.21","105,804,229.63","59,199,244.65","41,304,755.20","40,060,973.69"
应付票据,,,,"11,734,090.00","680,625.00","680,625.00",,,,,,"29,993,000.00","59,983,864.00","78,717,371.00","80,623,707.00","78,730,286.00","58,222,636.00","13,788,400.00","69,320,000.00","111,000,000.00","102,035,510.00","75,844,210.00","78,928,440.00","85,653,440.00","116,803,224.50","102,279,034.50","92,636,262.40","119,068,726.40","179,557,595.15","163,785,092.75","121,079,780.00","70,766,780.00",,"15,288,393.24"
应收账款,"10,631,928.57","34,981,759.05","55,355,722.29","89,777,149.53","118,284,860.89","107,760,206.87","133,594,607.88","160,712,930.61","189,798,901.72","194,740,093.98","256,201,308.59","296,800,421.55","311,648,408.80","324,693,898.51","393,911,484.98","449,253,178.26","501,580,662.94","467,941,410.16","496,497,095.71","489,456,152.95","514,244,734.62","515,419,555.93","597,387,897.28","582,287,785.62","600,018,690.61","646,698,439.73","615,653,970.85","618,160,453.57","726,363,881.51","649,360,208.35","644,671,919.35","679,154,297.69","719,485,562.45","673,528,203.94"
应付账款,"10,219,844.06","21,570,772.16","25,712,100.33","11,718,985.32","9,461,977.03","4,621,074.76","5,285,912.04","39,682,600.27","30,785,732.42","26,916,278.38","21,048,559.58","21,682,217.00","28,037,651.94","18,257,257.02","63,345,514.53","24,201,065.86","50,678,638.89","44,514,615.54","84,471,115.64","144,906,055.15","122,865,171.49","89,622,254.92","131,866,110.43","150,749,057.98","168,294,479.25","128,974,661.19","132,960,685.93","127,656,397.37","141,640,147.94","140,539,629.03","194,980,778.94","191,881,581.35","263,593,011.44","247,028,961.81"
预付款项,"2,941,128.72","11,661,940.01","6,018,452.03","6,514,983.34","6,439,905.11","17,771,172.46","15,496,934.25","42,534,000.00","29,268,645.70","36,881,796.66","24,994,769.58","25,880,465.33","17,941,072.58","32,501,601.99","46,180,450.99","40,165,769.39","12,896,037.18","14,672,037.20","34,002,071.63","43,648,626.46","13,703,377.34","40,038,659.11","36,724,462.71","57,865,931.95","35,053,298.16","61,554,344.38","23,075,252.85","36,509,256.06","3,410,792.91","13,335,969.08","33,710,628.24","37,651,927.10","18,329,842.36","35,608,291.44"
预收款项,"550,000.00","673,298.00","13,919,182.75","17,065,142.40","14,159,497.20","14,214,091.92","26,629,743.48","15,519,964.88","958,477.54","1,576,892.00","349,596.40","690,843.22","3,346,716.78","2,816,083.68","4,012,334.20","12,145,203.18","9,706,078.03","10,734,078.30","28,282,343.94","48,171,877.99","22,772,955.29","30,584,263.46","52,560,429.29","70,201,229.39","38,759,333.90","105,090,549.21","22,922,969.25","48,733,482.03","28,891,919.21","53,295,887.58","69,584,296.13","78,786,243.21","16,101,386.75","12,930,121.96"
其他应收款,"2,718,829.47","4,179,222.88","2,438,050.96","1,494,281.83","3,955,490.55","4,653,892.34","3,500,766.30","4,412,075.47","4,717,834.25","5,809,631.69","14,371,712.66","37,868,071.36","14,947,382.72","40,468,730.16","40,187,941.86","22,806,792.90","20,468,866.51","20,047,988.31","16,218,231.79","21,308,388.70","22,613,600.25","29,274,458.39","28,866,783.76","27,057,738.07","24,431,835.53","30,451,883.18","18,001,928.38","31,445,779.93","34,178,809.25","51,707,472.34","145,379,197.75","151,889,623.33","154,890,898.50","178,113,770.25"
应付职工薪酬,"37,855.80","371,454.44","1,407,762.67","1,337,768.69","1,873,186.36","1,039,353.03","2,119,060.25","2,655,529.27","4,404,606.75","1,896,276.49","2,796,992.78","2,895,587.25","5,199,250.77","2,371,891.86","2,211,749.40","3,457,387.14","6,370,069.56","2,683,346.04","3,902,307.92","4,240,131.83","8,803,397.56","3,337,782.90","4,205,850.83","5,351,939.45","14,213,016.16","9,645,983.31","8,827,518.11","8,620,632.07","15,469,895.04","8,590,238.99","5,359,455.84","4,440,513.59","12,582,430.69","7,646,052.64"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,059,059.00","7,578,278.91","4,515,303.67","7,184,489.28","10,620,682.99","4,588,041.87","6,119,404.95","8,842,977.07","3,938,385.06","3,472,696.71","3,457,259.81","10,621,617.16","10,368,063.44","11,743,353.45","16,669,413.87","13,843,180.63","19,335,931.98","16,322,278.39","11,507,602.98","2,470,129.03","10,208,773.62","5,620,361.85","17,180,050.61","-2,486,903.76","24,894,102.01","21,125,949.59","12,598,017.00","17,049,163.14","28,827,212.52","26,950,983.60","43,258,225.28","37,286,919.34","66,287,236.35","45,717,074.73"
应收利息,,,,,,,"1,654,609.09","4,453,192.43","6,385,826.62","8,986,065.52","1,670,022.02","3,986,536.61","3,956,766.87","5,645,226.02","1,676,672.56","1,290,284.71","551,437.04","164,953.24","506,043.00","763,258.23","456,060.00","217,676.71","67,374.25","412,440.80","780,821.24","1,872,566.93","727,730.86","21,416.67","306,779.76","814,831.83","405,645.83","338,895.82",,
应付利息,,,,,,,,,,,"17,972.60","18,222.22",,,,,,,,,"687,709.59","819,215.64","447,242.75","679,444.21","1,258,531.34","1,365,173.47","856,896.54","674,452.18","857,215.17","561,780.67","517,389.83","3,952,664.91","3,144,983.30","3,143,655.74"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"16,185,232.74","13,276,055.10","16,435,245.59","18,717,033.58","16,450,609.11","17,761,046.36","24,175,903.46","29,216,356.26","45,725,562.05","49,490,103.19","48,994,163.20","35,791,374.09","46,440,908.26","57,327,255.30","81,119,067.29","65,319,144.56","49,082,765.65","61,652,006.00","85,654,754.66","120,118,122.22","120,055,468.35","116,444,719.93","187,514,785.04","206,450,590.60","202,851,596.48","190,462,783.24","190,648,346.56","197,350,817.21","180,630,180.91","229,663,958.49","222,900,452.50","226,196,842.92","232,368,091.58","280,530,569.62"
其他应付款,"10,366,155.79","9,415,814.18","4,503,787.92","660,271.57","353,857.83","7,852,617.81","6,225,044.29","3,051,662.59","1,192,641.20","777,605.99","864,795.79","741,107.87","1,183,593.12","1,106,055.22","1,646,583.50","2,608,436.17","9,306,927.99","12,416,377.07","17,723,361.53","10,037,856.25","35,230,775.10","25,618,447.42","26,286,318.07","20,698,605.28","28,079,439.98","34,273,248.76","20,476,358.09","31,590,306.81","32,576,244.50","45,217,335.44","28,406,810.04","37,896,838.99","68,571,048.73","75,049,009.06"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","30,000,000.00","35,000,000.00","30,000,000.00","40,070,000.00","50,000,000.00","61,071,000.00","50,000,000.00","50,000,000.00"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,"12,543,706.16",,"13,434,040.42","8,145,386.93","14,122,861.32","9,947,068.46","10,637,799.34","30,196,205.43","42,785,095.64","40,842,655.49","51,119,680.73","55,771,294.71"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"34,046,432.31","70,092,240.54","157,537,101.64","156,814,312.00","179,135,514.03","837,454,449.52","788,383,595.40","764,565,541.90","782,876,148.34","808,547,539.11","858,821,414.70","850,527,296.26","903,679,517.80","913,762,628.03","965,911,467.52","914,178,597.50","862,527,592.33","776,346,546.74","828,795,428.34","880,025,528.83","897,833,648.45","885,326,410.81","1,151,504,691.37","1,144,779,107.94","1,226,911,721.15","1,260,758,565.48","1,479,994,991.30","1,460,116,998.79","1,438,091,344.89","1,742,986,557.24","1,651,616,549.84","1,666,672,059.92","1,594,212,930.92","1,686,522,892.18"
流动负债合计,"38,432,914.65","54,609,617.69","113,258,137.34","91,170,747.26","103,149,826.41","88,995,804.39","46,379,165.01","79,752,734.08","81,279,842.97","94,639,749.57","108,535,176.96","76,642,594.72","108,119,140.05","115,012,012.23","168,509,302.50","175,537,382.81","225,969,095.61","182,765,823.49","280,563,555.54","404,035,343.49","432,156,187.05","446,477,906.71","616,130,965.50","625,760,002.59","762,834,746.03","760,271,191.41","625,856,578.83","640,111,392.03","612,364,684.74","705,259,141.59","832,156,780.60","907,135,454.82","965,073,162.52","1,049,613,171.56"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","100,000,000.00","80,000,000.00","80,000,000.00","95,777,000.00","97,902,634.00","115,629,924.00","347,430,000.00","302,465,000.00","291,394,000.00","327,430,000.00","364,060,297.22"
持有至到期投资,,,"18,036,700.00","19,336,700.00","19,336,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,"24,236,700.00","24,687,928.15","24,787,928.15","6,370,578.74","4,969,131.15","5,714,398.34","5,863,574.73","6,418,660.61","25,975,011.61","64,679,121.36","124,314,015.81","177,608,857.62","234,682,987.11","295,702,957.37","327,283,878.94","282,145,263.07","306,243,048.65","320,999,516.42","324,628,386.26","339,177,690.12","334,574,722.20","317,242,427.44","302,617,887.33","326,774,140.30","297,482,002.67","310,730,719.87","301,311,691.20","379,158,387.18","336,971,904.55"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000,000.00","30,817,167.25"
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,"8,803,959.88","14,847,790.08","14,681,016.23","14,984,275.56","15,417,539.18","84,005,968.23","82,000,438.90","100,779,880.22","298,475,017.25","295,862,766.79","271,558,970.50","263,334,148.59"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400,000.00","6,400,000.00","6,400,000.00","6,400,000.00",,
固定资产,"14,020,032.00","33,817,164.14","63,896,046.95","69,191,526.35","71,545,427.17","70,767,622.31","84,276,684.65","162,157,605.61","162,542,446.25","161,293,297.58","160,548,959.97","170,840,611.42","180,382,152.16","176,965,420.46","173,663,411.88","170,458,246.57","178,211,408.51","177,001,172.87","200,347,445.53","236,811,921.11","287,756,319.00","283,078,950.21","282,638,954.39","287,884,879.89","290,532,078.81","283,880,218.79","278,595,682.31","277,645,760.28","273,840,619.40","289,408,349.62","348,429,521.29","360,221,565.20","375,242,646.55","367,691,331.21"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,"348,081.86","348,081.86","348,081.86","348,081.86","507,069.64","507,069.64","542,738.94","542,738.94","595,211.69","595,211.69","595,211.69","595,211.69","528,157.40","528,157.40"
在建工程,"1,263,842.30","53,546.00","4,813,486.70","1,707,213.53","4,830,307.00","10,226,259.41","26,394,721.10","1,097,191.53","17,498,926.83","23,232,270.18","23,921,456.75","19,498,357.87","11,475,612.74","11,495,612.74","21,327,724.53","25,822,115.91","50,376,199.47","62,273,503.72","41,235,370.00","19,394,684.91","2,614,292.10","5,353,562.28","1,177,438.68","602,307.70","5,813,488.71","7,744,481.58","71,505,914.34","83,898,792.28","113,477,886.12","110,471,170.96","56,752,168.01","99,067,562.07","36,046,065.10","37,623,591.04"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,"323,981.90",,,,,,,,,,,,,
工程物资,,,,,,,"214,366.89",,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,,,,,"672,063.76","672,063.76","100,443,274.17","100,348,081.86","80,683,992.72","80,683,992.72","96,446,662.02","98,572,296.02","124,929,985.70","357,437,061.70","312,020,861.70","300,498,661.70","381,470,704.66","412,434,688.90"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"38,432,914.65","54,609,617.69","113,258,137.34","91,170,747.26","103,149,826.41","88,995,804.39","46,379,165.01","79,752,734.08","81,279,842.97","94,639,749.57","108,535,176.96","76,642,594.72","108,119,140.05","115,012,012.23","168,509,302.50","175,537,382.81","225,969,095.61","182,765,823.49","280,563,555.54","404,035,343.49","432,828,250.81","447,149,970.47","716,574,239.67","726,108,084.45","843,518,738.75","840,955,184.13","722,303,240.85","738,683,688.05","737,294,670.44","1,062,696,203.29","1,144,177,642.30","1,207,634,116.52","1,346,543,867.18","1,462,047,860.46"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"10,000,000.00","60,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","92,000,000.00","92,000,000.00","138,000,000.00","138,000,000.00","138,000,000.00","139,220,000.00","208,830,000.00","208,777,500.00","208,777,500.00","209,038,410.00","209,155,850.00","209,248,456.00","209,296,206.00","208,718,250.00","417,436,500.00","415,876,500.00","415,876,500.00","415,876,500.00","415,876,500.00","415,876,500.00","415,876,500.00","468,885,700.00","1,031,548,540.00","1,031,548,540.00","1,031,548,540.00","1,031,548,540.00","1,031,548,540.00","1,031,548,540.00","1,031,548,540.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"1,195,035.70","27,025,035.70","27,025,035.70","27,025,035.70","674,851,535.70","674,851,535.70","628,851,535.70","628,851,535.70","628,851,535.70","638,075,535.70","569,456,135.70","570,142,174.45","570,777,775.45","573,413,519.05","575,312,714.45","575,462,189.83","575,975,979.83","571,333,261.37","362,615,011.37","360,812,888.37","360,812,888.37","360,812,888.37","363,387,042.57","360,812,888.37","360,812,888.37","702,960,690.86","140,297,850.86","140,297,850.86","140,297,850.86","140,297,850.86","140,297,850.86","140,297,850.86","140,297,850.86"
无形资产,"3,780,450.00","12,326,081.47","12,320,255.18","15,471,742.46","17,242,395.85","17,149,555.93","17,163,776.98","17,327,503.64","17,325,782.56","17,220,432.23","17,214,413.43","17,103,867.13","17,317,497.84","17,239,364.43","17,125,558.36","16,977,094.46","16,861,719.35","16,728,148.70","16,594,578.05","16,461,007.40","16,328,986.42","32,384,303.19","32,398,737.89","32,544,913.35","36,197,420.62","54,700,481.59","54,514,618.57","54,859,888.28","56,132,444.09","57,020,092.40","56,865,846.80","56,640,326.94","56,392,184.30","56,103,564.23"
盈余公积,"684,411.40","184,748.07","4,642,931.63","4,642,931.63","9,292,784.30","9,292,784.30","9,292,784.30","9,292,784.30","15,928,699.99","15,928,699.99","15,928,699.99","15,928,699.99","24,649,660.53","24,649,660.53","24,649,660.53","24,649,660.53","32,431,490.62","32,431,490.62","32,431,490.62","32,431,490.62","37,135,477.97","37,135,477.97","37,135,477.97","37,135,477.97","37,135,477.97","37,135,477.97","37,272,021.20","37,135,477.97","37,135,477.97","37,135,477.97","37,135,477.97","37,135,477.97","38,169,486.67","38,169,486.67"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,"528,260.27",,,"3,436,790.28","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75","88,540,863.75"
未分配利润,"4,226,954.17","1,008,856.05","43,342,402.65","71,758,419.24","84,960,842.65","95,951,799.69","120,042,548.98","115,838,312.96","124,895,524.81","138,356,667.61","167,740,213.60","197,164,817.77","213,197,580.84","232,370,662.93","273,659,521.97","273,222,634.53","276,294,269.34","294,909,859.42","319,060,790.66","295,655,596.13","300,122,562.31","303,155,750.92","315,603,636.31","305,377,335.68","318,565,401.03","344,367,587.01","336,540,099.81","347,313,783.11","378,274,751.99","364,106,866.18","395,030,511.08","403,078,567.95","438,104,743.85","444,749,275.23"
