科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,812,915,527.16","3,421,417,600.21","3,689,170,674.70",,"1,734,828,096.55","2,784,355,609.44","2,999,759,556.98","978,833,352.12","1,927,634,400.33","3,025,277,973.38","4,271,790,990.07","932,769,671.80","2,112,341,825.27","3,518,293,512.91","4,996,567,647.91"
取得子公司及其他营业单位支付的现金净额,,,"39,800,010.14",,,,,,,,,,,,
收到的税费返还,,"2,460,395.98","4,496,204.73",,"2,413,901.73","4,260,563.61","1,581,805.16",,"58,583.33","797,779.90","1,485,236.61","15,349,456.92","20,099,424.05","37,002,190.68","45,088,054.06"
支付其他与投资活动有关的现金,"3,200,000.00",,,,"2,475,007.83","2,951,099.41","1,242.10","12,708,768.91","12,708,768.91","12,708,799.91",231.00,,,,
收到其他与经营活动有关的现金,"68,682,781.78","35,608,995.50","56,793,572.53",,"6,842,951.87","18,131,555.10","22,281,071.23","14,906,003.15","22,133,328.99","35,687,964.21","9,686,842.36","23,317,231.33","21,936,276.17","84,570,327.06","33,371,242.04"
投资活动现金流出小计,"735,904,207.38","386,671,292.94","601,933,366.17",,"119,465,207.31","417,389,105.73","699,122,054.97","268,030,660.63","573,443,295.42","809,694,798.54","1,005,009,090.08","65,222,479.96","281,996,881.77","318,442,345.51","387,482,527.09"
经营活动现金流入小计,"2,881,598,308.94","3,459,486,991.69","3,750,460,451.96",,"1,744,084,950.15","2,806,747,728.15","3,023,622,433.37","993,739,355.27","1,949,826,312.65","3,061,763,717.49","4,282,963,069.04","971,436,360.05","2,154,377,525.49","3,639,866,030.65","5,075,026,944.01"
投资活动产生的现金流量净额,"-713,239,338.47","-372,205,106.58","-601,810,397.94","-35,273,600.00","-104,139,694.61","-401,636,630.13","-551,671,338.77","-265,466,577.18","-499,936,118.00","-350,555,525.24","-486,052,137.11","37,786,652.57","-48,584,482.58","-63,275,304.81","-67,589,863.14"
购买商品、接受劳务支付的现金,"2,497,195,330.22","2,448,010,074.33","2,934,551,165.68",,"1,313,711,756.24","2,046,119,725.66","2,107,429,925.97","770,524,758.92","1,539,667,930.36","2,405,007,404.34","3,506,216,509.71","992,170,467.50","1,950,219,444.19","3,129,963,180.67","4,188,319,086.09"
吸收投资收到的现金,"495,748,245.33",,"33,153,571.14",,"602,666,564.00","602,666,564.00","588,932,641.14",,,,,,,,
支付给职工以及为职工支付的现金,"124,569,043.83","175,206,266.85","213,169,224.94",,"104,808,034.41","148,064,225.16","223,587,357.03","55,805,309.17","99,024,352.43","142,781,387.55","226,939,992.72","59,933,678.03","102,431,761.07","148,012,240.15","229,140,561.19"
