科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,016,249,539.65","1,167,999,222.94","1,596,696,819.38","981,652,654.48","1,368,124,701.08","206,075,391.46","499,963,163.19","725,644,730.26","1,007,113,801.52","177,418,093.61","448,947,671.45","626,964,838.92","900,917,068.03","191,301,738.28","544,505,948.38","880,690,371.99","1,253,630,516.62","247,811,648.16","658,366,799.66"
二、营业利润,"238,869,533.20","294,497,857.40","263,063,586.47","145,321,351.34","233,545,005.12","34,692,623.29","79,011,037.01","99,591,570.21","127,893,846.92","25,018,011.82","64,137,509.70","78,565,932.99","90,740,520.97","18,760,393.19","73,715,439.80","99,386,870.65","164,107,666.75","38,808,304.94","103,472,962.96"
减:营业成本,"455,035,057.12","545,385,177.47","1,008,804,682.18","631,686,125.41","865,465,225.93","116,014,085.49","291,312,027.89","449,514,428.94","628,089,729.02","105,909,992.26","282,339,957.85","385,916,448.68","532,361,983.00","115,112,928.05","336,560,495.95","560,917,054.75","798,714,486.87","155,987,898.56","414,684,957.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,911,912.82","7,773,443.10","8,403,669.06","4,548,599.96","6,556,466.20","1,257,261.17","3,442,243.08","4,754,305.77","7,267,214.95","1,407,684.74","2,784,498.01","4,447,483.59","10,375,789.47","1,638,589.56","4,672,120.42","7,024,490.17","12,282,286.11","1,544,000.32","4,867,801.12"
营业外收入,"15,787,511.12","21,246,121.38","40,181,355.46","32,625,061.15","49,125,942.52","8,263,026.80","12,172,584.76","22,536,172.57","24,775,425.65","4,313,387.87","9,398,807.52","14,499,883.18","20,674,368.70","14,042,990.44","14,002,677.77","14,702,234.35","11,769,014.48","7,622,477.88","11,267,463.76"
销售费用,"124,396,774.42","157,182,180.26","154,701,229.32","87,726,438.00","108,593,985.14","11,248,622.08","33,201,784.00","54,613,926.91","71,286,197.43","10,341,412.39","24,257,307.26","37,241,501.35","71,166,978.97","13,913,818.34","42,784,099.68","75,300,491.07","132,362,767.86","30,308,184.63","72,383,477.61"
减:营业外支出,"171,287.92","1,025,971.63","367,424.35","590,946.61","701,774.85",197.50,"100,197.50","134,080.56","202,580.95","5,334.60","10,607.80","118,308.68","119,853.86","10,015.66","96,333.08","111,623.01","4,442,063.20","314,602.37","824,207.81"
管理费用,"153,913,551.70","117,115,280.93","113,419,797.61","83,052,899.16","110,953,034.96","28,572,799.06","58,038,114.05","82,842,462.14","101,094,005.22","25,444,657.00","55,830,771.83","80,766,356.34","105,931,560.02","29,700,326.23","64,315,135.15","108,534,462.72","111,044,998.84","34,295,924.68","63,628,785.91"
其中:非流动资产处置净损失,,,,,"222,848.85",197.50,197.50,"15,729.34","16,999.73","5,334.60","10,607.80","21,031.90","22,441.52",,126.00,"3,627.13",,,
