科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"5,354,411,339.02","4,179,588,245.11","4,625,268,183.41","1,056,528,742.67","1,799,058,171.52","2,797,537,010.94","3,671,471,967.20","888,922,333.74","1,849,885,539.60","2,763,046,288.56","3,732,730,081.73","1,043,746,759.23","2,017,257,221.78","3,240,570,342.26","4,321,703,473.16","1,204,522,335.57","2,555,485,181.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"16,688,308.65","15,040,515.73","5,489,592.41",,"1,068,266.57","3,771,511.65","3,980,338.78",,"4,379,088.57","11,348,323.18","11,541,192.02","5,499,174.67","6,373,353.13","19,814,498.03","20,723,410.53","990,854.01","990,854.01"
支付其他与投资活动有关的现金,,,,,,,"2,900,000.00",,,"7,200,000.00",,"18,018.02",,,"250,000.00",,
收到其他与经营活动有关的现金,"15,441,138.86","5,977,900.00","27,898,825.71","1,440,652.88","25,769,563.17","43,292,266.83","45,455,403.76","5,598,901.45","9,090,516.33","22,415,498.91","22,761,237.37","3,792,959.09","19,766,463.00","28,700,961.25","29,016,408.89","25,698,964.48","48,358,561.48"
投资活动现金流出小计,"31,909,502.04","110,312,150.79","158,099,961.83","28,172,963.64","73,798,876.01","727,012,005.17","927,439,724.28","162,783,801.74","384,854,826.60","436,553,638.56","893,285,444.19","59,780,461.21","161,393,718.64","564,602,505.74","1,096,007,212.49","58,984,314.42","375,274,336.90"
经营活动现金流入小计,"5,386,540,786.53","4,200,606,660.84","4,658,656,601.53","1,057,969,395.55","1,825,896,001.26","2,844,600,789.42","3,720,907,709.74","894,521,235.19","1,863,355,144.50","2,796,810,110.65","3,767,032,511.12","1,053,038,892.99","2,043,397,037.91","3,289,085,801.54","4,371,443,292.58","1,231,212,154.06","2,604,834,596.65"
投资活动产生的现金流量净额,"-17,818,033.04","-99,868,618.34","-147,163,905.27","-23,677,287.54","-66,394,650.43","-717,070,678.68","-914,017,996.62","-159,831,044.03","-266,290,063.90","-159,003,005.45","-262,430,772.14","100,600,444.43","60,915,120.06","-283,139,633.69","-458,447,122.62","326,820,173.37","236,551,117.96"
购买商品、接受劳务支付的现金,"4,898,699,341.32","3,710,279,826.86","3,983,549,772.25","801,708,722.48","1,761,129,548.71","2,637,817,343.49","3,375,971,978.31","651,900,292.64","1,476,484,775.44","2,349,601,852.83","3,220,862,206.87","884,464,067.86","1,761,893,882.26","2,731,949,411.03","3,575,763,835.01","1,098,650,672.99","2,234,881,176.70"
吸收投资收到的现金,,,,,"997,801,500.00","997,801,500.00","1,018,100,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"76,976,758.35","79,816,247.43","87,184,670.45","44,323,511.89","61,024,194.60","79,246,620.66","95,809,657.66","42,443,789.66","61,962,614.42","80,930,816.04","96,816,223.45","51,298,337.28","74,037,352.35","93,484,152.63","113,502,831.16","53,211,966.42","84,442,360.61"
取得借款收到的现金,"582,499,379.25","336,483,169.93","400,253,057.16","22,075,101.26","22,075,101.26","22,075,101.26","22,075,101.26",,,,,,,,,"104,445,577.41","298,008,815.42"
支付的各项税费,"186,383,314.25","180,200,223.43","286,338,290.89","80,686,241.95","109,402,273.23","125,918,004.44","153,543,719.88","56,589,890.29","92,803,563.29","127,591,907.21","149,239,508.34","70,337,669.70","131,596,909.41","199,474,130.78","276,091,137.15","158,152,774.80","263,049,513.29"
收到其他与筹资活动有关的现金,"50,000,000.00",,"38,000,000.00",,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"42,040,979.31","47,241,065.24","51,871,258.21","12,284,219.20","22,668,247.57","33,943,506.66","49,223,354.43","9,834,738.42","29,550,717.39","49,301,964.23","64,822,540.85","29,302,891.32","34,283,736.28","53,737,247.12","83,620,721.97","25,455,953.51","33,810,294.34"
筹资活动现金流入小计,"632,499,379.25","336,483,169.93","438,253,057.16","22,075,101.26","1,019,876,601.26","1,019,876,601.26","1,040,175,101.26",,,,,,,,,"104,445,577.41","298,008,815.42"
经营活动现金流出小计,"5,204,100,393.23","4,017,537,362.96","4,408,943,991.80","939,002,695.52","1,954,224,264.11","2,876,925,475.25","3,674,548,710.28","760,768,711.01","1,660,801,670.54","2,607,426,540.31","3,531,740,479.51","1,035,402,966.16","2,001,811,880.30","3,078,644,941.56","4,048,978,525.29","1,335,471,367.72","2,616,183,344.94"
偿还债务支付的现金,"704,720,460.33","516,675,070.14","454,742,637.16","11,977,382.69","22,075,101.26","22,075,101.26","22,075,101.26",,,,,,,,,,"4,445,577.41"
经营活动产生的现金流量净额,"182,440,393.30","183,069,297.88","249,712,609.73","118,966,700.03","-128,328,262.85","-32,324,685.83","46,358,999.46","133,752,524.18","202,553,473.96","189,383,570.34","235,292,031.61","17,635,926.83","41,585,157.61","210,440,859.98","322,464,767.29","-104,259,213.66","-11,348,748.29"
分配股利、利润或偿还利息支付的现金,"61,971,983.85","46,636,443.35","50,955,469.66","52,525,128.63","52,599,002.76","52,599,002.76","52,599,002.76",,"37,925,500.00","40,000,000.00","40,000,000.00",,"46,800,000.00","46,800,000.00","46,800,000.00",,"362,427,972.47"
收回投资收到的现金,,,,,,,,"1,363,013.72","100,000,000.00","250,000,000.00","600,000,000.00","150,000,000.00","200,000,000.00","250,000,000.00","551,514,790.96","379,000,000.00","581,156,476.50"
支付其他与筹资活动有关的现金,"50,397,150.83",,,,,,"15,004,160.38",,,,,,,,,,
取得投资收益收到的现金,"3,584,000.00","2,912,000.00","3,531,000.00","3,531,000.00","3,531,000.00","3,531,000.00","5,326,068.49",,"13,023,287.70","20,561,472.64","22,497,089.07","6,300,905.64","18,226,289.19","21,020,481.28","24,925,689.33","4,853,146.74","10,169,966.34"
筹资活动现金流出小计,"817,089,595.01","563,311,513.49","505,698,106.82","64,502,511.32","74,674,104.02","74,674,104.02","89,678,264.40",,"37,925,500.00","40,000,000.00","40,000,000.00",,"46,800,000.00","46,800,000.00","46,800,000.00",,"366,873,549.88"
处置固定资产、无形资产和其他长期资产收回的现金净额,"92,545.49","2,458,602.55","2,164,682.01",575.76,"4,988.38","96,069.09","103,845.22","29,824.14","29,824.14","29,824.14","149,084.32",,"2,549.51","6,362,390.77","24,439,609.58","1,951,341.05","7,130,662.02"
筹资活动产生的现金流量净额,"-184,590,215.76","-226,828,343.56","-67,445,049.66","-42,427,410.06","945,202,497.24","945,202,497.24","950,496,836.86",,"-37,925,500.00","-40,000,000.00","-40,000,000.00",,"-46,800,000.00","-46,800,000.00","-46,800,000.00","104,445,577.41","-68,864,734.46"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,307,521.01","1,900,362.76","-922,673.97","-1,036,910.75","-2,061,866.53","-846,865.03","998,119.78","13,701.62","669,190.48","-708,563.69","2,717,449.83","-259,720.78","-758,364.35","-936,029.41","-2,484,304.19","-1,178,731.67","-117,873.62"
收到其他与投资活动有关的现金,"10,414,923.51","5,072,929.90","5,240,374.55","964,100.34","3,868,237.20","6,314,257.40","7,991,813.95","1,559,919.85","5,511,650.86","6,959,336.33","8,208,498.66","4,080,000.00","4,080,000.00","4,080,000.00","36,680,000.00",,"13,368,350.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"14,091,469.00","10,443,532.45","10,936,056.56","4,495,676.10","7,404,225.58","9,941,326.49","13,421,727.66","2,952,757.71","118,564,762.70","277,550,633.11","630,854,672.05","160,380,905.64","222,308,838.70","281,462,872.05","637,560,089.87","385,804,487.79","611,825,454.86"
五、现金及现金等价物净增加额,"-22,275,376.51","-141,727,301.26","34,180,980.83","51,825,091.68","748,417,717.43","194,960,267.70","83,835,959.48","-26,064,818.23","-100,992,899.46","-10,327,998.80","-64,421,290.70","117,976,650.48","54,941,913.32","-120,434,803.12","-185,266,659.52","325,827,805.45","156,219,761.59"
购建固定资产、无形资产和其他长期资产支付的现金,"31,909,502.04","97,402,150.79","103,109,961.83","22,292,963.64","56,060,876.01","103,002,005.17","299,524,449.96","62,783,801.74","134,854,826.60","159,753,638.56","271,979,762.74","59,762,443.19","104,566,118.64","143,240,577.74","215,395,284.49","48,984,314.42","185,274,336.90"
期初现金及现金等价物余额,"661,054,079.11","638,778,702.60","497,051,401.34","531,232,382.17","531,232,382.17","531,232,382.17","531,232,382.17","615,068,341.65","615,068,341.65","615,068,341.65","615,068,341.65","550,647,050.95","550,647,050.95","550,647,050.95","550,647,050.95","365,380,391.43","365,380,391.43"
投资支付的现金,,"12,910,000.00","54,990,000.00","5,880,000.00","17,738,000.00","624,010,000.00","625,015,274.32","100,000,000.00","250,000,000.00","269,600,000.00","621,305,681.45",,"56,827,600.00","421,361,928.00","880,361,928.00","10,000,000.00","190,000,000.00"
期末现金及现金等价物余额,"638,778,702.60","497,051,401.34","531,232,382.17","583,057,473.85","1,279,650,099.60","726,192,649.87","615,068,341.65","589,003,523.42","514,075,442.19","604,740,342.85","550,647,050.95","668,623,701.43","605,588,964.27","430,212,247.83","365,380,391.43","691,208,196.88","521,600,153.02"
