科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"276,438,085.69","305,217,413.05","339,595,325.93","396,597,235.87","1,831,656,248.28","1,976,230,090.02","1,988,000,243.99","2,023,604,453.37","1,966,762,702.98","2,075,612,178.50","2,105,318,801.21","2,034,390,259.67","1,714,716,919.27","1,535,141,329.96","1,935,945,019.02","1,577,257,967.22","1,629,384,693.25","1,422,470,723.57","1,848,822,428.31","1,682,264,026.97","1,622,351,765.36","1,445,734,135.47","1,731,909,839.46","1,302,155,419.14","1,184,221,070.15","1,263,617,556.37","1,779,476,180.80","1,545,379,158.59","1,588,316,309.29","1,670,216,355.71","1,724,246,122.81","5,245,449,157.94","4,635,665,451.96","3,417,239,907.27","3,443,447,257.54","2,824,942,417.90"
短期借款,"3,000,000.00","6,000,000.00","100,000.00",,,,,,,,,,,,,"22,183,128.55",,,"42,094,500.00","105,758,750.00","103,505,418.00","96,234,417.00","92,449,440.00","83,044,040.00","85,186,760.00","88,523,600.00","34,766,480.00","35,922,880.00","22,125,000.00","22,464,000.00","21,920,400.00","22,116,300.00",,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"2,940,000.00","90,000.00","185,000.00","1,556,000.00","24,000.00","24,000.00","427,882.05","381,000.00","3,553,000.00","4,903,478.10","3,500,000.00","6,015,000.00","2,675,000.00","3,475,000.00","870,000.00","7,820,776.80","5,430,276.80","13,008,720.00","10,726,185.00","15,507,937.00","27,029,000.00","49,529,673.82","21,775,658.00","38,865,465.84","60,754,001.45","41,856,136.24","55,630,597.96","54,726,880.85","69,203,627.60","75,310,849.76","63,256,843.18","101,274,757.52","87,602,410.55"
应付票据,,,,,,,,,,,,,,,,,,,,,"880,500.00","880,500.00",,"735,000.00","735,000.00","735,000.00",,,,,"771,579.00","2,298,779.00","5,497,200.00","6,120,200.00","5,724,911.00","2,015,711.00"
应收账款,"25,623,454.65","29,561,411.85","62,574,219.82","57,089,762.21","70,169,639.45","45,181,579.12","25,597,413.44","94,493,236.46","136,409,745.39","95,983,743.56","60,065,376.45","113,401,873.84","171,442,851.79","206,310,723.66","214,152,754.54","180,713,023.99","182,624,126.85","222,014,441.58","231,113,501.11","242,237,849.74","257,808,788.59","268,294,756.38","200,556,181.44","277,573,192.42","306,373,873.99","265,594,951.21","390,432,619.47","350,079,762.51","342,073,294.70","366,816,264.85","411,107,244.03","460,804,399.68","456,448,746.55","505,356,821.57","626,954,316.42","360,417,510.32"
应付账款,"3,264,126.88","5,032,061.59","12,986,097.82","16,050,047.52","24,188,630.02","25,113,238.95","16,939,636.24","47,249,408.11","58,327,823.62","50,672,074.95","36,619,943.56","41,148,500.53","42,807,673.46","56,092,352.63","66,191,480.00","82,463,566.14","87,237,067.22","82,661,022.38","80,947,469.81","62,331,480.21","68,893,701.48","58,229,738.93","68,326,613.14","83,895,416.18","123,716,918.64","102,351,278.64","107,791,983.02","118,094,674.24","97,495,668.66","91,198,191.41","114,287,355.93","137,109,164.70","106,110,956.15","93,304,858.73","116,651,648.93","82,620,312.91"
预付款项,"794,091.19","4,622,734.41","8,955,959.20","8,469,577.35","9,800,412.96","12,045,074.89","10,012,154.35","13,123,335.68","8,887,766.39","12,056,785.24","10,653,896.88","9,157,706.67","12,929,633.69","15,552,330.38","11,077,186.33","13,807,834.44","13,035,094.29","125,249,064.21","22,814,364.11","15,994,985.84","16,675,439.19","13,144,481.04","17,312,476.86","16,858,704.43","15,474,404.86","15,463,647.05","26,007,062.25","36,266,416.19","42,223,818.25","37,968,531.07","28,603,273.75","35,683,462.55","39,472,342.46","41,338,385.86","35,646,837.96","38,653,792.42"
预收款项,"7,345,174.80","9,916,638.35","7,930,931.78","14,740,442.07","32,636,006.85","60,239,849.40","30,360,681.98","33,591,132.12","35,307,619.12","32,434,203.80","39,942,760.71","42,396,052.39","46,277,245.84","48,764,445.24","49,210,877.07","52,292,567.93","63,575,535.63","69,401,798.87","67,478,495.21","60,714,545.47","80,470,771.22","80,951,522.14","75,545,456.89","67,346,791.33","62,390,011.63","63,380,981.42","73,632,341.08","77,689,780.54","73,014,771.53","72,091,808.83","57,485,537.41","61,675,080.63","59,633,058.04","61,907,430.67","42,104,914.52","43,558,687.49"
其他应收款,"8,133,246.47","9,193,535.90","16,895,152.86","17,544,466.72","16,509,325.31","20,819,466.43","16,219,425.14","18,232,594.67","21,832,889.69","28,534,095.88","68,969,340.37","107,050,918.42","24,536,985.54","25,605,406.99","24,222,945.64","53,648,659.32","29,232,274.15","89,887,093.05","31,820,698.56","40,077,446.54","32,680,938.60","48,375,111.55","56,078,784.81","41,194,702.49","41,317,071.97","43,210,196.14","51,208,374.40","60,937,330.14","53,452,869.11","65,392,294.53","40,778,474.53","44,223,458.19","63,939,250.03","43,626,763.22","30,249,616.83","55,941,724.71"
应付职工薪酬,"21,709,003.87","29,400,511.46","28,759,530.75","17,717,539.75","19,109,900.89","29,784,810.59","45,987,309.79","26,129,262.09","33,404,223.73","38,472,117.47","62,225,024.40","40,080,854.46","42,170,812.80","39,990,454.54","73,111,673.60","40,850,068.34","39,590,653.29","41,492,467.47","90,814,306.46","57,760,039.56","53,426,602.82","60,075,332.91","97,557,036.70","80,452,845.96","107,221,072.11","125,514,438.87","126,587,597.54","89,827,083.38","88,637,119.20","90,022,748.07","156,149,911.39","165,270,650.79","168,183,741.12","198,080,669.48","296,719,642.27","212,302,305.39"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,450,511.75","3,103,046.82","15,408,158.31","17,640,684.89","13,508,779.66","22,851,015.16","-171,428.77","12,835,100.54","27,041,784.67","41,157,652.31","36,473,832.89","43,649,824.62","21,854,234.24","26,849,518.87","45,153,908.13","7,187,106.48","17,086,066.81","10,790,287.87","25,726,331.30","19,384,428.59","18,280,556.23","16,196,235.34","33,600,700.65","25,329,263.14","33,417,794.06","23,052,676.66","53,390,233.55","48,440,769.67","51,691,516.71","39,822,239.36","56,749,881.18","54,651,526.54","33,744,298.61","52,409,270.89","73,607,218.16","80,495,062.62"
应收利息,,,,,,,"7,371,838.38","433,125.00",,"8,997,500.00","7,211,888.81","14,328,962.00","8,041,333.50","14,643,376.42","11,125,161.77","12,619,116.88","10,116,028.03","11,529,154.59","11,359,136.10","11,749,213.92","9,766,115.84","12,033,573.83","9,280,267.82","7,228,552.72","6,124,471.36","6,974,018.71","8,854,696.64","6,630,079.54","5,020,360.97","5,981,890.55","7,340,196.63","12,712,004.33","21,923,770.51","27,831,972.05","35,500,706.76","8,329,840.88"
应付利息,,,,,,,,,,,,,,,,,,,,,,,"990,000.12",,"1,006,629.30","2,066,754.78","159,925.81",,"616,869.31","193,452.83","327,710.00","319,033.77",,,"320,547.95","1,060,273.98"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,924,933.06",
