科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"91,414,737.07","154,957,783.55","122,717,589.99","64,581,100.88","65,487,150.88","134,110,343.43","9,437,403.17","28,082,564.46","57,198,085.83","95,046,271.98","36,739,882.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"10,669.18","20,725.29",,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"578,176.26","221,920.55","682,068.26","110,863.94","6,130,412.80","6,149,333.95","223,286.25","1,405,621.89","3,262,282.84","3,638,862.93","103,026.58"
投资活动现金流出小计,"16,662,366.61","7,800,136.71","3,599,014.53","2,487,312.69","8,480,818.51","8,844,777.82","1,663,132.88","111,054,358.60","215,138,793.97","120,980,710.77","1,326,217.84"
经营活动现金流入小计,"92,003,582.51","155,200,429.39","123,399,658.25","64,691,964.82","71,617,563.68","140,259,677.38","9,660,689.42","29,488,186.35","60,460,368.67","98,685,134.91","36,842,908.60"
投资活动产生的现金流量净额,"-16,662,366.61","-7,770,136.71","-3,599,014.53","-2,487,312.69","-8,480,818.51","-8,844,777.82","-1,663,132.88","-111,054,358.60","-114,396,711.78","-119,329,395.70","-401,826.06"
购买商品、接受劳务支付的现金,"47,759,978.62","20,960,151.48","40,525,757.47","36,257,939.05","40,087,508.92","50,317,872.46","26,450,422.60","48,316,797.34","65,794,897.67","74,655,147.12","19,678,059.66"
吸收投资收到的现金,,,,,,"251,799,000.00",,,,,
支付给职工以及为职工支付的现金,"19,401,840.64","19,748,044.62","22,114,007.70","15,405,157.33","21,075,299.65","27,345,086.51","11,195,708.02","17,281,906.37","22,958,589.97","30,614,471.34","12,729,879.71"
取得借款收到的现金,"73,300,000.00",,"18,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,
支付的各项税费,"28,641,028.65","37,039,494.41","30,875,944.75","18,535,158.66","25,522,748.94","37,337,838.17","10,748,743.50","16,752,422.65","25,370,407.51","32,138,369.41","9,189,123.39"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"8,713,983.18","10,695,822.27","12,801,296.64","5,099,261.49","10,119,133.17","10,058,303.22","3,455,093.24","5,527,401.49","8,961,781.52","11,405,656.38","2,537,911.82"
筹资活动现金流入小计,"73,300,000.00",,"18,000,000.00","10,000,000.00","10,000,000.00","261,799,000.00",,,,,
经营活动现金流出小计,"104,516,831.09","88,443,512.78","106,317,006.56","75,297,516.53","96,804,690.69","125,059,100.36","51,849,967.36","87,878,527.85","123,085,676.67","148,813,644.25","44,134,974.58"
偿还债务支付的现金,"33,300,000.00","49,000,000.00","18,000,000.00",,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
经营活动产生的现金流量净额,"-12,513,248.58","66,756,916.61","17,082,651.69","-10,605,551.71","-25,187,127.01","15,200,577.02","-42,189,277.94","-58,390,341.50","-62,625,308.00","-50,128,509.34","-7,292,065.98"
分配股利、利润或偿还利息支付的现金,"1,363,328.34","2,917,386.66","633,283.42","213,995.84","341,837.51","468,289.59","38,908.33","9,530,908.33","9,530,908.33","9,530,908.33",
收回投资收到的现金,,,,,,,,,"100,000,000.00",,
支付其他与筹资活动有关的现金,,,,,,"350,000.00",,"187,934.94","187,934.94","4,366,000.00",
取得投资收益收到的现金,,,,,,,,,"742,082.19","1,651,315.07","924,191.78"
筹资活动现金流出小计,"34,663,328.34","51,917,386.66","18,633,283.42","213,995.84","341,837.51","818,289.59","10,038,908.33","19,718,843.27","19,718,843.27","23,896,908.33",
处置固定资产、无形资产和其他长期资产收回的现金净额,,"30,000.00",,,,,,,,,200.00
筹资活动产生的现金流量净额,"38,636,671.66","-51,917,386.66","-633,283.42","9,786,004.16","9,658,162.49","260,980,710.41","-10,038,908.33","-19,718,843.27","-19,718,843.27","-23,896,908.33",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,,"30,000.00",,,,,,,"100,742,082.19","1,651,315.07","924,391.78"
五、现金及现金等价物净增加额,"9,461,056.47","7,069,393.24","12,850,353.74","-3,306,860.24","-24,009,783.03","267,336,509.61","-53,891,319.15","-189,163,543.37","-196,740,863.05","-193,354,813.37","-7,693,892.04"
购建固定资产、无形资产和其他长期资产支付的现金,"11,332,366.61","7,800,136.71","3,599,014.53","2,487,312.69","8,480,818.51","8,844,777.82","1,663,132.88","11,054,358.60","15,138,793.97","20,980,710.77","1,326,217.84"
期初现金及现金等价物余额,"10,983,086.46","20,444,142.93","27,513,536.17","40,363,889.91","40,363,889.91","40,363,889.91","307,700,399.52","307,700,399.52","307,700,399.52","307,700,399.52","214,345,586.15"
投资支付的现金,"5,330,000.00",,,,,,,"100,000,000.00","200,000,000.00","100,000,000.00",
期末现金及现金等价物余额,"20,444,142.93","27,513,536.17","40,363,889.91","37,057,029.67","16,354,106.88","307,700,399.52","253,809,080.37","118,536,856.15","110,959,536.47","114,345,586.15","206,651,694.11"
