科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"82,714,799.05","81,517,055.08","124,721,727.80","93,036,408.01","126,528,765.19","26,383,504.23","60,626,518.75","107,643,951.86","156,082,020.51","27,647,066.77","61,194,391.69","101,157,502.32","137,888,691.58","29,227,838.99","65,270,053.71","113,778,086.17","153,510,609.87","42,489,526.46","129,704,797.71","219,065,192.99","281,635,077.48","57,046,530.27","113,764,587.21","191,201,488.02","267,528,398.27","45,436,267.20","119,624,336.95","183,454,608.79","275,966,575.69","89,861,579.37","187,349,878.96","311,902,560.96","448,041,433.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"51,170,000.00",,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"4,787,189.11","12,170,952.09","8,701,355.89","12,547,204.81","2,954,159.34","4,826,014.11","9,123,574.33","13,966,338.36","2,417,742.89","5,925,680.65","9,904,926.64","12,964,165.84","2,621,411.72","5,864,264.02","9,505,550.94","13,550,336.06","2,816,912.55","6,201,569.35","9,240,189.54","11,861,695.43","1,646,783.74","5,480,751.76","8,269,016.52","10,897,033.28","7,929,749.56","10,780,057.26","13,560,695.01","16,748,745.65","1,652,598.70","4,968,338.85","7,258,714.48","11,993,814.15"
支付其他与投资活动有关的现金,"566,711.95","131,827.54",,,,"-2,573,834.14",,,"120,000,000.00","73,905,000.00","69,045,000.00","46,345,000.00","67,785,000.00","35,368,968.13","10,000,000.00","19,640,000.00","6,164,000.00",,"20,000,000.00","103,620,000.00","76,000,000.00","407,759.66","25,484,759.66","83,345,644.63","80,268,644.63","7,000,000.00","34,192,343.37","45,000,000.00","145,982,542.58","15,000,000.00","35,000,000.00","77,337,788.88","142,924,739.65"
收到其他与经营活动有关的现金,"727,672.71","4,402,922.49","3,197,212.34","1,315,794.51","1,679,413.17","1,866,363.56","2,229,984.22","8,481,930.45","7,849,999.60","89,122.25","4,302,710.83","4,811,245.65","5,949,063.00","1,650,626.42","3,150,314.04","2,541,714.68","2,763,587.48","6,395,864.59","6,444,679.45","7,351,182.60","9,761,598.59","763,418.71","6,133,082.09","3,542,776.34","6,904,176.23","1,868,068.67","4,110,792.15","5,540,805.92","6,506,295.96","661,884.01","1,895,612.40","2,580,253.29","5,677,301.06"
投资活动现金流出小计,"38,040,273.05","73,171,806.36","145,666,202.93","46,764,619.31","49,037,063.59","23,497,307.02","218,965,212.20","159,899,520.99","309,901,526.96","157,834,504.41","142,440,712.48","159,082,763.82","207,175,079.21","69,818,306.60","90,162,061.64","159,928,082.69","208,814,537.00","35,726,529.79","91,558,542.48","253,367,244.18","276,425,073.97","83,862,248.15","165,340,295.02","249,445,658.45","239,528,168.48","46,515,455.06","115,855,455.20","152,455,083.98","261,276,088.22","33,600,787.54","60,410,606.22","115,351,087.87","197,512,935.52"
经营活动现金流入小计,"83,442,471.76","90,707,166.68","140,089,892.23","103,053,558.41","140,755,383.17","31,204,027.13","67,682,517.08","125,249,456.64","177,898,358.47","30,153,931.91","71,422,783.17","115,873,674.61","156,801,920.42","33,499,877.13","74,284,631.77","125,825,351.79","169,824,533.41","51,702,303.60","142,351,046.51","235,656,565.13","303,258,371.50","59,456,732.72","125,378,421.06","203,013,280.88","285,329,607.78","55,234,085.43","134,515,186.36","202,556,109.72","299,221,617.30","92,176,062.08","194,213,830.21","321,741,528.73","465,712,548.98"
投资活动产生的现金流量净额,"-36,892,242.57","-72,958,493.00","-127,974,623.97","-44,460,086.21","-35,238,627.86","-23,273,179.27","-215,299,392.57","-70,907,487.19","-176,888,267.65","-155,239,437.84","-137,610,003.64","-152,502,869.86","-199,207,304.49","-47,411,589.69","-42,642,703.43","-106,613,349.79","-96,725,073.52","-5,393,560.64","-6,101,671.76","-172,697,570.08","-169,790,830.32","-51,857,044.03","-103,389,987.37","-181,333,732.64","-123,203,363.27","23,894,645.10","-77,215,265.69","-85,523,790.49","-62,503,066.17","-17,994,352.29","9,822,372.17","-89,598,043.07","-43,715,207.16"
购买商品、接受劳务支付的现金,"12,483,869.26","22,440,614.28","30,487,240.82","19,344,936.59","29,107,790.00","9,166,319.25","22,905,939.31","33,954,426.85","39,308,903.73","10,413,247.28","18,913,887.25","31,151,507.31","42,839,418.20","10,649,918.98","25,913,035.36","47,058,484.81","59,651,441.61","16,997,615.80","52,331,239.58","94,807,794.84","119,136,800.46","23,033,787.56","48,217,442.45","67,368,548.74","87,919,094.80","8,386,338.51","48,314,759.45","69,309,123.64","107,533,062.16","34,482,318.16","76,634,002.37","121,864,426.85","171,757,624.18"
吸收投资收到的现金,"26,300,008.89","14,501,435.00","48,004,000.00",,,"488,400,000.00","488,400,000.00","488,400,000.00","488,400,000.00","51,170,000.00",,,,,,,,,,"14,000,000.00","14,000,000.00",,,,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,
支付给职工以及为职工支付的现金,"3,895,690.23","7,368,205.51","11,743,771.21","9,384,571.03","12,459,428.91","4,054,828.11","7,825,328.42","10,937,383.62","15,396,481.21","5,328,110.44","9,364,138.11","13,623,316.51","18,377,173.67","6,130,161.46","10,847,989.64","17,423,059.85","23,047,790.44","8,638,974.02","15,307,969.57","22,852,892.52","31,105,924.93","10,133,684.95","18,441,931.48","27,141,664.88","37,686,919.50","10,170,910.31","19,233,791.67","30,467,697.87","41,822,871.69","13,540,965.80","25,419,430.02","38,793,432.38","53,872,663.32"
取得借款收到的现金,"32,500,000.00","60,000,000.00","74,000,000.00","90,000,000.00","90,000,000.00","30,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00",,,"8,000,000.00","48,000,000.00","30,000,000.00","50,000,000.00","120,000,000.00","130,000,000.00","28,000,000.00","78,000,000.00","78,000,000.00","128,200,000.00","50,000,000.00","170,000,000.00","170,000,000.00","170,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,"30,000,000.00","130,000,000.00","130,000,000.00"
支付的各项税费,"11,725,487.30","12,513,244.41","17,302,043.08","16,013,470.66","20,073,947.07","4,940,302.74","9,110,539.98","15,827,695.89","27,421,659.86","7,660,447.80","14,380,697.13","19,596,248.18","26,253,424.11","4,165,512.02","10,651,230.13","16,824,571.26","23,745,789.03","3,456,798.95","15,028,705.79","22,252,868.57","28,920,354.30","3,138,182.49","12,134,645.25","17,777,919.73","22,688,297.58","4,307,116.86","10,152,643.53","17,359,789.32","23,557,184.85","5,615,769.76","12,675,513.88","21,695,495.21","30,803,845.45"
收到其他与筹资活动有关的现金,,"5,000,000.00","28,543,788.92","3,000,000.00",,"-2,573,834.14",,,,,,,,,,,,,,,,,,,"77,230,000.00",,,,,,,,
支付其他与经营活动有关的现金,"20,558,257.98","28,028,057.33","29,700,174.32","25,176,491.99","31,768,258.18","8,258,813.71","15,748,034.19","29,148,266.72","48,049,806.64","8,105,991.88","16,318,595.41","26,337,047.40","32,787,443.65","8,039,503.72","16,095,665.88","25,506,984.34","32,564,022.31","8,083,794.14","17,901,648.31","31,727,291.08","47,759,800.22","10,983,843.33","24,200,235.41","36,956,772.03","51,428,898.93","10,008,092.69","19,760,426.58","33,560,643.97","43,153,670.24","11,977,471.25","25,644,323.04","41,697,234.60","57,326,255.41"
