科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"38,608,786.07","65,301,493.65","43,234,111.34","32,633,595.60","35,412,950.61","78,543,676.91","47,597,648.07","60,063,414.47","45,391,785.84","66,950,127.71","76,050,746.34","108,728,648.85","82,906,640.36","760,413,906.65","274,602,690.17","472,118,630.24","253,902,673.94","503,377,298.34","185,370,579.21","191,832,858.81","147,039,506.25","145,160,290.11","232,327,377.14","179,235,249.59","147,180,767.54","184,342,739.55","175,355,854.79"
短期借款,,"30,000,000.00","114,079,832.00","150,950,000.00","167,950,000.00","191,500,000.00","190,000,000.00","218,000,000.00","227,350,000.00","234,750,000.00","255,150,000.00","263,175,846.41","278,100,000.00","268,260,000.00","152,260,000.00","199,000,000.00","25,000,000.00","25,000,000.00",,"12,000,000.00","12,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"25,054,027.00","60,152,693.51","137,538,266.04","81,397,773.44","68,924,821.13","117,298,613.04","119,369,884.93","113,657,378.56","133,885,550.74","107,726,195.93","95,866,453.70","98,631,845.26","78,932,920.13","110,001,880.87","97,945,906.01","117,543,694.19","103,782,010.88","92,274,842.99","117,296,024.38","155,035,076.48","154,788,320.62","162,714,933.93","154,364,621.90","136,542,768.42","134,640,877.46","114,302,216.24","159,982,475.24"
应付票据,"4,823,000.00","14,730,000.00","14,771,590.00","1,450,000.00","10,966,125.93","19,849,353.45","13,032,606.00","24,232,400.00","20,711,400.00","39,542,300.00","45,525,900.00","47,188,600.00","49,580,000.00","65,791,655.53","52,180,099.97","34,965,087.14","47,791,856.06","74,239,657.73","80,841,577.83","47,376,642.08","49,313,279.18","118,716,837.78","139,845,002.52","91,639,132.34","120,893,212.27","105,976,263.36","102,114,312.72"
应收账款,"110,214,890.93","127,888,570.64","203,618,895.42","290,961,741.25","317,814,877.08","285,788,006.40","335,272,538.30","322,730,049.86","300,842,274.41","278,671,401.35","300,639,224.67","306,955,513.93","332,474,781.33","328,448,994.53","319,122,487.15","299,249,171.89","267,757,413.77","326,067,978.19","364,244,067.26","378,633,551.42","347,616,373.37","398,849,055.72","372,658,788.89","410,536,051.19","407,252,753.30","512,761,243.71","456,735,591.20"
应付账款,"83,913,454.35","119,447,751.59","165,119,836.40","147,546,555.20","133,019,458.32","163,609,486.56","174,749,567.19","201,792,317.54","210,671,170.47","182,042,731.52","177,411,121.05","194,338,068.67","196,117,281.43","237,195,243.19","221,626,397.95","218,609,739.72","210,644,473.10","233,827,116.38","247,094,913.55","301,786,726.81","312,002,221.02","340,234,033.23","334,483,104.90","306,847,407.70","288,846,676.76","391,592,296.47","405,231,322.70"
预付款项,"5,393,155.05","6,971,004.76","6,354,952.61","5,897,000.27","13,467,732.35","7,492,521.04","9,331,465.84","10,125,699.33","13,516,886.28","6,645,582.97","7,632,542.07","4,940,815.57","7,718,053.79","10,618,954.07","8,892,961.43","6,539,428.23","11,950,998.54","6,530,189.97","11,588,122.29","5,143,052.15","6,989,422.35","4,851,250.24","6,041,844.32","4,836,856.15","7,509,339.58","7,004,776.38","8,763,846.86"
预收款项,"3,087,848.07","1,104,151.26","2,235,262.83","2,185,791.79","1,882,683.61","2,280,342.43","2,050,449.65","2,888,877.89","3,769,593.96","4,591,550.94","3,633,005.71","3,630,801.96","5,934,193.25","4,886,192.92","5,775,705.40","4,627,018.64","4,733,603.44","6,044,129.53","3,909,718.20","5,837,766.54","5,399,758.73","5,358,989.68","4,305,807.83","5,166,439.88","6,099,183.33","3,382,424.14","3,923,358.82"
其他应收款,"2,382,114.45","3,914,239.70","9,216,366.98","11,355,742.96","13,204,988.72","8,858,237.88","7,697,111.33","7,037,366.01","7,854,952.75","14,656,634.69","13,278,908.99","13,932,880.70","5,533,239.50","6,348,421.04","7,206,593.36","6,033,728.12","6,181,352.33","3,230,857.02","2,804,270.92","3,170,078.63","6,870,020.86","6,244,280.21","6,372,445.39","7,091,599.04","7,546,878.10","6,468,067.86","8,815,457.02"
应付职工薪酬,"6,000,017.81","8,737,908.35","3,524,754.51","4,310,215.34","3,454,741.00","4,214,108.09","4,349,894.52","5,285,565.59","5,014,090.85","6,935,081.29","5,358,043.29","7,683,876.56","7,806,284.15","13,657,975.74","8,378,938.43","10,127,003.02","10,118,686.51","14,757,240.75","9,859,862.33","11,981,883.73","12,404,557.46","18,917,105.69","12,379,237.40","10,758,119.29","11,751,133.06","15,671,079.38","14,659,455.24"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"14,566,856.59","12,958,662.68","5,743,037.16","-379,443.33","1,376,429.58","-2,571,272.18","1,721,034.32","-5,376,234.17","-6,884,594.58","6,442,301.09","10,792,145.28","5,118,361.60","3,331,748.87","6,053,251.21","8,937,762.68","6,551,045.24","6,264,267.92","7,039,167.52","9,828,187.66","8,310,973.48","6,226,846.54","11,124,131.47","7,178,333.69","6,642,286.02","10,239,550.74","8,252,072.77","1,234,236.06"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,
