科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,333,768,220.71","2,479,011,105.32","1,159,887,917.90","2,546,816,566.73","408,567,411.01","1,255,046,904.88","1,606,263,497.83","2,824,165,962.74","412,654,791.19","1,313,885,950.93","1,896,400,581.72","3,614,905,933.44","675,688,493.66","1,317,748,826.87","1,950,322,516.69","3,701,892,467.86","535,824,795.61","1,699,385,449.63","2,563,148,105.99","4,602,757,448.16","797,208,849.83","2,298,651,348.18","3,521,967,484.04","5,745,941,637.43","935,150,990.43","3,188,421,112.15","4,379,223,668.94","6,907,538,626.31","1,172,091,588.15","3,078,772,320.20","4,794,208,817.39","8,193,462,610.93","1,139,154,337.06","3,270,693,908.53","5,088,067,153.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152,575,145.68",,,,,,,
收到的税费返还,"63,529,624.47","8,737,897.55","1,071,658.32","7,957,119.93","8,727,593.42","17,032,987.68","22,596,855.49","28,657,721.74","926,626.91","926,627.91","1,030,286.22","12,721,047.30","5,663,808.53","30,559,101.53","44,497,157.45","50,794,958.79",,"230,000.00","699,949.92","980,949.92","10,702,456.31","39,514,626.82","67,415,040.82","98,541,033.12","2,038,307.17","2,040,037.39","2,054,482.55","6,008,343.73",,"735,137.54","735,137.54","602,953.70",,,"25,674.68"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"2,518,825.40",,,,,,,,,,,,,,,"12,405,575.51"
收到其他与经营活动有关的现金,"46,625,924.16","50,837,106.09","19,272,311.61","42,867,413.43","11,293,373.06","19,859,552.59","39,025,487.52","46,474,074.87","13,107,133.34","34,592,866.05","49,932,333.63","70,604,961.41","15,328,177.12","39,793,651.42","62,942,665.25","80,664,430.34","22,005,416.56","41,853,759.36","67,035,821.73","115,801,622.82","42,212,268.35","54,115,527.81","84,680,541.27","142,563,050.04","39,527,561.37","50,990,950.81","106,724,713.66","155,618,288.25","44,314,462.54","68,257,798.51","99,317,452.31","184,826,879.48","55,052,777.23","68,347,630.10","208,054,576.30"
投资活动现金流出小计,"197,489,815.16","90,371,671.70","23,344,318.52","52,693,545.88","15,903,024.19","26,167,412.27","37,367,097.36","50,548,253.03","25,480,776.77","46,068,978.38","773,228,895.12","2,445,048,847.01","1,237,199,588.71","1,841,650,505.21","2,447,817,385.45","2,760,650,682.30","1,082,823,033.80","2,298,588,665.35","2,603,963,469.74","3,310,905,954.52","349,661,344.09","946,190,860.35","1,807,563,802.29","1,988,106,709.75","28,735,604.85","1,548,765,557.86","1,890,433,072.92","2,363,736,605.42","223,910,624.69","607,623,637.09","787,579,860.45","2,125,864,754.26","609,281,992.41","1,742,811,111.59","2,732,268,704.51"
经营活动现金流入小计,"2,443,923,769.34","2,538,586,108.96","1,180,231,887.83","2,597,641,100.09","428,588,377.49","1,291,939,445.15","1,667,885,840.84","2,899,297,759.35","426,688,551.44","1,349,405,444.89","1,947,363,201.57","3,698,231,942.15","696,680,479.31","1,388,101,579.82","2,057,762,339.39","3,833,351,856.99","557,830,212.17","1,741,469,208.99","2,630,883,877.64","4,719,540,020.90","850,123,574.49","2,392,281,502.81","3,674,063,066.13","5,987,045,720.59","976,716,858.97","3,241,452,100.35","4,488,002,865.15","7,069,165,258.29","1,216,406,050.69","3,147,765,256.25","4,894,261,407.24","8,378,892,444.11","1,194,207,114.29","3,339,041,538.63","5,296,147,404.91"
投资活动产生的现金流量净额,"-95,786,934.42","-63,349,222.83","-5,056,941.95","-15,671,976.74","-6,111,282.42","4,674,111.56","3,751,534.37","-3,008,940.28","-18,036,415.35","-15,279,699.06","-631,595,632.22","-716,843,959.03","-257,560,228.35","-393,399,026.01","-665,842,284.11","-632,642,479.88","-102,100,075.04","-517,970,213.30","-419,430,874.84","47,709,455.37","-128,641,330.42","-602,796,350.73","-520,114,246.59","-23,130,298.86","328,755,290.69","-941,932,380.76","-650,402,970.03","277,457,135.79","154,978,237.84","266,087,038.31","93,588,643.38","-155,735,096.39","25,972,113.99","-55,082,520.32","-438,593,238.11"
购买商品、接受劳务支付的现金,"1,830,692,895.81","1,576,973,532.89","1,087,107,446.88","1,913,796,119.44","357,861,397.34","716,165,325.03","1,265,325,981.60","1,928,898,002.33","451,049,617.14","979,121,632.04","1,449,325,849.24","2,588,143,462.13","292,682,675.66","776,424,730.28","1,286,089,994.92","2,514,890,253.29","378,690,176.43","1,273,293,962.80","1,943,163,899.60","3,537,421,386.17","515,294,050.84","1,781,066,549.11","2,982,244,637.81","4,599,412,114.79","742,019,053.41","2,488,212,984.06","3,675,194,650.40","5,671,074,583.23","862,560,398.77","2,396,867,917.50","4,041,530,887.30","6,729,198,169.44","972,290,744.99","2,911,271,368.98","4,817,559,804.06"
吸收投资收到的现金,,"7,000,000.00",,,"1,258,060,000.00","1,258,060,000.00","1,258,060,000.00","1,318,600,909.17","1,100,057.02","1,100,057.02","1,100,057.02","1,000,000.00",,"6,750,000.00","6,750,000.00","14,250,000.00","6,500,000.00","6,750,000.00","6,750,000.00","6,750,000.00",,,"4,500,000.00","4,500,000.00","1,029,000.00","1,029,000.00","1,029,000.00","1,029,000.00",,,"1,967,449,991.34","1,971,387,017.59","400,000.00","400,000.00","400,000.00"
