科目,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,"904,749,867.49",,"20,538,501.43","178,710,741.43","985,027,197.91","403,743,354.87","392,221,322.65","392,221,322.65","247,849,238.56","38,940,376.38","610,434,379.04","605,797,966.25","874,004,838.73","420,240.73","127,977,879.70","278,561,877.13","35,200,000.00","505,369,086.80","31,129,600.00","578,000,000.00",,"636,260,483.98","2,579,303,813.81","222,857,384.65",,"452,888,382.99",,,"712,511,533.28",,"3,106,041,211.31","3,424,495,590.69"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,"50,213,538.65","50,213,538.65","50,337,194.45",,"61,676,469.39","123,141,696.97","61,676,469.39","69,438,306.74","122,261,844.53","243,693,159.74","71,370,008.01","68,913,286.95","66,350,039.29","66,350,039.29","39,288,299.09","1,112,725.43","5,899,005.49","10,229,504.36","346,121,539.67","1,087,400.59","154,946,437.47","282,564,387.84","380,407,626.90","365,363,681.76","515,581,890.02","819,451,101.83","832,823,962.14","278,307,476.27","138,301,839.19","324,329,126.43","488,820,833.61","8,023,021.17","182,697,270.23","217,205,101.41"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"21,805,910.33",,,,"194,889.99",,,,"8,985,955.90",,,"19,594,924.11",,"50,114,347.38","140,506.40","502,083.84","66,070,793.64","1,000.00","57,537.34","57,537.34",,,"201,049.72","30,866,455.45","597,389.13","132,930.86","282,463.55","508,118.99","3,040,896.12","1,006,380.29","2,692,334.54","1,954,854.53"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"50,213,538.65","50,213,538.65","976,892,972.27",,"82,214,970.82","301,852,438.40","1,046,898,557.29","473,181,661.61","514,483,167.18","635,914,482.39","328,205,202.47","107,853,663.33","676,784,418.33","691,742,929.65","913,293,137.82","51,647,313.54","134,017,391.59","289,293,465.33","447,392,333.31","506,457,487.39","186,133,574.81","860,621,925.18","380,407,626.90","1,001,624,165.74","3,095,086,753.55","1,073,174,941.93","833,421,351.27","731,328,790.12","138,584,302.74","324,837,245.42","1,204,373,263.01","9,029,401.46","3,291,430,816.08","3,643,655,546.63"
收取利息、手续费及佣金的现金,"247,588,805.29","613,581,687.38","1,022,604,067.07","1,407,867,221.67","310,861,089.49","632,829,356.84","975,061,320.22","1,487,725,417.58","473,984,885.14","794,143,985.62","1,195,422,809.81","1,490,975,406.20","228,436,164.20","574,529,316.14","744,229,060.77","1,150,411,952.05","489,551,156.55","781,312,698.80","1,152,572,211.37","1,571,499,970.69","893,656,101.72","1,309,457,652.37","2,173,366,373.48","3,073,416,667.36","1,358,082,897.82","4,001,755,224.71","5,768,502,943.62","7,034,750,640.99","1,350,750,628.62","2,376,526,439.00","3,531,510,890.02","5,175,034,109.27","1,043,470,168.31","1,661,362,482.23","2,527,007,660.96"
投资支付的现金,,,,"699,999,998.40","200,000,000.00","308,700,000.00","328,720,400.00","1,409,349,269.20","306,762,168.47","322,638,133.77","165,965,684.79",,"1,136,360,923.46","1,449,600,000.00","1,180,000,000.00","1,447,538,259.80","527,415,295.60","1,282,060,906.69","2,021,222,038.50","2,778,663,201.39","2,808,381,186.11","2,876,466,848.77","2,429,639,796.77","3,183,151,096.93","402,215,417.68","25,783,652.59","6,770,349,113.80","2,693,017,164.49","4,249,553,052.44","1,523,796,974.59","1,750,976,542.70","1,332,840,730.44","175,960,153.33",,
处置交易性金融资产净增加额,"93,431,661.03","239,193,923.20","255,515,322.26",,"634,402,251.09","524,981,221.13",,,,,,,"36,378,651.85",,,"-366,126,037.67","-1,656,074,622.14","-2,767,169,284.89","-5,187,950,241.06","-7,551,092,575.50","3,328,749,306.47","4,140,171,819.77","1,228,924,845.92","-121,243,783.26","-2,502,556,465.15",,,,,,,,"1,451,028,871.49",,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"11,572,916.58","2,772,394.15","168,481,420.31","202,271,961.17","78,746,670.89","84,414,903.04","91,495,464.07","133,859,655.44","21,564,519.42","31,343,834.57","43,722,107.30","42,700,866.12","5,637,032.59","7,712,091.03","28,691,961.75","43,709,069.43","3,060,347.68","5,464,164.62","28,815,533.82","61,576,789.90","20,462,702.73","42,671,653.01","64,361,376.27","192,054,352.89","52,891,441.22","119,175,402.00","162,459,446.97","274,002,580.33","54,827,093.73","80,812,107.37","145,343,345.13","235,138,098.05","39,943,227.48","95,447,533.16","124,052,932.78"
回购业务资金净增加额,,,,,,,,,"2,281,740,789.26","3,601,365,899.11","3,345,164,462.23","3,651,509,770.72","684,515,802.96","863,899,880.32","850,816,179.66","640,969,079.88","1,576,441,571.78","4,191,847,886.41","5,714,519,491.49","7,271,068,861.78","-2,954,527,015.08","-1,702,729,962.18","1,738,311,031.00","5,148,775,963.86","5,420,180,485.88","6,186,353,982.38",,,"555,363,527.08",,,,,"604,271,107.87","546,447,534.91"
