科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"27,686,023.65","34,671,949.25","79,565,062.64","44,422,069.86","475,630,922.27","429,175,685.99","454,651,407.78","398,086,317.76","370,719,839.02","328,245,758.84","321,121,397.00","236,443,785.60","249,680,096.61","177,918,164.49","198,306,020.52","169,909,945.84","72,460,293.35","92,475,610.98","558,291,002.31","336,606,894.20","408,373,810.81","309,368,502.17","341,282,922.95","366,400,102.69","134,242,562.39","199,446,063.86","381,697,726.52","292,812,771.58","250,127,684.19"
短期借款,"5,000,000.00","10,000,000.00","43,200,000.00","54,200,000.00","33,900,000.00","11,000,000.00","11,000,000.00","29,000,000.00","49,000,000.00","69,000,000.00","69,000,000.00","110,000,000.00","90,000,000.00","40,000,000.00","141,300,000.00","198,520,000.00","240,020,000.00","408,020,000.00","380,120,000.00","237,575,427.40","338,200,904.31","466,519,904.31","466,519,904.31","419,999,904.31","376,671,000.00","344,863,605.00","368,863,605.00","293,908,149.85","329,322,104.65"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"10,985,645.86","12,204,384.90","8,201,965.35","15,292,000.00","6,000,000.00","6,160,000.00","8,940,000.00","100,000.00","9,500,000.00","10,860,000.00","21,106,028.22","8,522,924.53","6,980,000.00","15,616,000.00","12,609,440.00","14,685,772.36","8,385,592.00","6,570,767.50","10,502,343.18","12,729,055.00","14,928,800.00","17,497,570.34","3,284,221.36","11,944,517.04","12,689,504.40","31,901,444.63","47,491,080.86","19,525,900.00","24,107,559.52"
应付票据,"1,762,386.46",,"2,312,632.39","1,621,728.19","1,650,234.00","2,703,412.00","2,043,178.00","1,791,550.00","4,704,044.00","19,011,155.73","15,991,327.40","5,127,264.00","19,303,796.00","10,162,131.09","7,936,098.40","7,371,293.80","8,631,833.63","12,586,021.29","21,100,493.68","30,743,317.64","6,719,832.00","527,532.00","21,476,591.75","26,408,365.35","13,375,374.20","41,088,198.50","78,740,545.66","44,388,113.76","733,580.00"
应收账款,"29,462,369.46","30,926,323.33","57,453,580.20","56,651,791.91","67,868,018.14","55,466,770.84","127,434,200.29","114,616,998.31","132,793,403.59","109,769,404.06","266,307,719.39","229,301,297.85","265,029,051.64","263,931,055.24","284,767,668.63","241,245,740.53","245,924,027.04","234,970,673.57","333,717,473.02","329,845,203.95","405,451,129.46","394,555,215.18","330,104,728.06","345,723,754.83","462,052,885.55","354,935,803.94","336,519,027.68","369,899,567.41","342,577,361.69"
应付账款,"16,542,956.07","21,682,106.19","38,888,231.91","32,701,701.98","30,281,753.46","14,030,341.31","97,080,785.43","73,969,032.91","67,706,525.91","35,967,624.08","112,590,731.37","112,797,102.12","124,798,911.86","172,523,126.46","154,411,907.37","145,227,542.21","141,602,883.10","147,117,951.35","176,513,157.86","134,826,630.50","142,761,154.91","156,233,559.91","247,741,357.13","300,584,691.06","291,733,086.65","582,448,470.72","288,841,249.64","277,578,209.28","292,564,080.70"
预付款项,"5,210,549.60","6,334,284.09","10,314,034.06","10,521,280.31","15,252,650.15","5,201,047.28","23,427,193.47","9,156,997.69","19,281,889.34","30,118,769.97","43,322,768.25","63,094,078.42","72,737,839.99","43,276,092.06","54,625,410.89","66,685,357.66","95,467,532.40","123,994,455.79","181,629,564.74","199,079,533.56","181,992,140.59","206,071,987.22","93,078,797.25","111,897,458.37","73,663,962.14","335,231,324.96","94,143,293.86","129,229,121.56","115,237,218.51"
预收款项,"1,479,380.30","3,544,494.78","6,586,664.38",,,,"7,249,943.70","338,389.90","1,467,066.25","907,255.31","10,715,062.52","5,342,122.26","4,090,763.85","5,571,784.22","8,094,912.06","10,514,654.04","14,918,806.17","9,274,440.00","18,925,821.40","12,787,226.09","19,715,188.07","9,789,879.13","13,375,075.22","29,653,622.90","27,540,309.62","33,328,905.40","49,214,036.45","46,675,621.60","78,669,389.40"
其他应收款,"1,254,886.92","3,543,125.68","170,611.25","1,917,042.00","1,091,154.39","5,395,137.83","3,722,576.88","3,133,462.88","4,783,213.83","4,240,889.74","15,791,816.54","118,298,783.86","19,749,690.96","8,185,968.12","27,306,318.10","32,279,447.46","31,141,788.77","17,102,169.54","9,280,681.29","36,734,011.49","8,605,706.80","9,769,012.35","74,036,225.59","85,024,863.77","89,852,151.70","108,771,032.57","98,882,648.77","71,902,904.86","71,032,088.78"
应付职工薪酬,,,,,,,"61,539.57","74,196.86",,,"129,517.30","181,168.89","181,106.17","172,679.79","166,859.00","190,577.74","215,647.99","326,076.49","377,876.39","521,405.55","529,334.80","631,408.43","783,944.18","769,305.08","1,259,928.35","1,471,614.27","1,188,639.23","972,932.72","1,497,211.64"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,368,739.50","10,526,341.44","15,590,454.74","4,895,653.48","4,243,642.90","5,044,821.45","30,420,427.67","9,431,178.42","7,975,766.88","13,070,405.11","30,113,931.29","8,218,032.36","-3,138,612.47","8,735,514.98","38,317,914.53","12,379,042.66","-2,742,209.34","-1,166,454.50","25,550,575.07","3,779,897.60","4,029,818.14","-12,950,861.57","29,471,263.50","10,368,985.56","5,172,971.83","15,230,043.88","10,086,206.78","8,124,118.44","14,971,219.76"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,344,000.00","1,344,000.00","2,016,000.00"
