科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,323,610,365.41","1,474,801,271.97","1,846,521,286.64","407,746,756.50","1,047,012,899.93","1,634,790,968.43","2,299,825,371.59","738,551,715.66","1,542,488,306.73","2,261,811,018.98","3,145,859,007.22","772,127,707.85","1,681,027,933.88","2,575,996,599.45","3,376,910,575.13","847,130,400.91","1,875,445,189.95","2,772,083,601.15","3,696,495,786.63","781,950,797.90","1,638,745,470.52","2,544,268,319.36","3,680,626,411.43","950,627,846.75","1,844,246,923.52","2,834,710,635.65","4,195,786,294.08","1,154,909,141.58","2,291,355,240.98","3,361,506,496.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,"269,700,000.00",,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"1,236,399.81","3,028,196.25","4,624,326.86","4,624,326.86","6,057,141.70","6,057,141.70",,,,,,,,,,,,,,,,,,,,,,,"2,448,691.91"
支付其他与投资活动有关的现金,,,,,"102,768,336.07",,,,,,,,,"3,269,462.78",,,,,,,,,"100,000.00",,"11,453.00","301,000.00","2,500,000.00",,,
收到其他与经营活动有关的现金,"24,158,151.17","6,423,105.73","18,363,102.99","3,118,966.64","16,033,322.42","26,279,312.54","3,262,454.22","3,101,463.00","5,357,240.41","3,486,921.92","7,337,316.00","7,524,777.90","10,690,542.33","14,487,655.40","10,416,211.42","4,871,422.24","8,323,865.72","11,959,633.85","19,967,852.14","2,951,153.93","2,876,092.04","9,640,099.20","11,638,343.03","2,794,462.55","6,054,154.24","11,347,608.02","11,976,056.83","4,113,266.12","5,826,749.21","7,504,324.71"
投资活动现金流出小计,"104,881,303.55","140,696,353.38","244,810,655.76","50,368,676.78","102,768,336.07","130,674,202.65","421,294,717.61","103,821,838.00","217,243,808.93","249,257,382.18","474,979,473.51","137,493,666.38","216,414,342.25","383,972,058.70","376,083,158.07","124,432,366.48","326,648,018.90","652,129,681.23","790,258,844.68","202,953,937.70","222,901,533.28","423,714,413.63","623,514,204.62","40,781,582.04","560,507,764.50","993,865,848.15","1,839,215,792.69","432,056,955.46","3,347,916,546.79","6,220,511,095.85"
经营活动现金流入小计,"1,347,768,516.58","1,482,460,777.51","1,867,912,585.88","415,490,050.00","1,067,670,549.21","1,667,127,422.67","2,309,144,967.51","741,653,178.66","1,547,845,547.14","2,265,297,940.90","3,153,196,323.22","779,652,485.75","1,691,718,476.21","2,590,484,254.85","3,387,326,786.55","852,001,823.15","1,883,769,055.67","2,784,043,235.00","3,716,463,638.77","784,901,951.83","1,641,621,562.56","2,553,908,418.56","3,692,264,754.46","953,422,309.30","1,850,301,077.76","2,846,058,243.67","4,207,762,350.91","1,159,022,407.70","2,297,181,990.19","3,371,459,513.31"
投资活动产生的现金流量净额,"-104,672,259.47","-140,450,225.67","-231,581,204.77","-50,279,521.30","-102,605,357.04","-129,789,500.08","-419,104,459.11","-102,559,068.67","-208,983,527.08","-239,268,151.94","-463,193,340.61","-134,048,225.06","-208,138,337.15","-335,127,791.81","-243,380,442.88","-60,200,848.89","-198,627,244.71","-479,405,502.55","-506,124,170.45","-119,142,917.42","-128,521,243.91","-201,805,265.45","-282,052,812.10","166,145,662.94","-260,212,147.17","-268,529,781.08","-898,341,903.49","-160,382,508.10","216,177,378.50","-126,479,227.82"
购买商品、接受劳务支付的现金,"1,079,285,501.29","1,162,255,748.54","1,457,332,324.49","436,084,295.01","946,748,517.12","1,525,397,790.07","2,098,605,008.66","610,118,409.73","1,269,906,256.87","1,876,038,477.10","2,527,890,687.29","632,142,418.21","1,321,788,046.56","2,018,496,082.31","2,772,098,311.43","709,404,627.20","1,442,326,721.19","2,094,152,278.73","2,905,262,505.20","590,410,188.04","1,126,665,988.69","1,769,678,912.95","2,729,940,836.92","676,568,464.34","1,141,121,004.71","1,822,115,829.18","2,746,717,952.65","791,132,198.24","1,642,956,012.42","2,317,678,465.79"
吸收投资收到的现金,"10,000.00",,"190,000,000.00",,,"676,839,730.13","687,237,500.00",,,,,,,,,,,"32,400,000.00","32,400,000.00",,,,,,,"184,691.36",,,,
