科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,"276,366,259.26",,"1,076,593,659.91","1,623,408,739.01","2,782,417,465.48","9,755,818,476.65","2,922,320,540.06","3,303,395,796.09","3,396,252,918.00","2,720,667,483.70","2,520,729,777.50","2,305,431,720.00","1,702,994,580.00","2,028,757,077.98","8,626,314,060.67","9,012,651,410.98","9,660,145,590.98","8,478,120,376.52","5,796,394,068.62","10,866,339,624.96","14,505,832,112.61","10,848,780,722.15","15,161,746,221.41","31,886,993,248.15","22,602,886,934.31","21,606,711,242.35","24,253,519,917.76","34,046,063,129.65","34,792,980,598.61","36,544,608,246.11","38,564,767,181.01","36,761,999,670.11","29,920,844,683.30","33,018,276,904.13","30,712,830,026.17","39,396,574,079.14","37,719,377,336.57","36,167,098,917.20","36,916,638,377.39","45,823,674,054.40"
货币资金,"45,867,478,355.18","46,835,157,300.13","80,275,733,478.37","74,806,205,800.27","53,798,816,405.10","56,518,375,793.20","57,182,014,577.57","69,199,131,232.90","62,931,393,057.39","76,491,141,126.29","88,431,756,475.45","91,554,303,537.68","75,285,664,798.96","68,387,444,231.60","58,318,115,177.24","68,465,824,808.20","51,497,584,005.91","52,391,390,552.08","50,897,753,070.33","56,440,809,611.64","60,449,746,516.41","57,996,662,917.17","52,312,050,077.53","53,029,982,247.52","54,242,312,705.40","43,587,293,464.82","52,936,223,269.13","49,601,676,935.75","57,812,278,748.37","71,144,155,670.50","86,088,084,196.97","100,778,500,134.18","233,899,226,266.11","217,495,727,646.69","165,012,537,050.77","171,974,317,244.57","142,582,689,617.72","122,740,867,918.00","121,024,751,374.94","114,177,823,942.60","115,034,523,853.78","99,851,137,659.70","103,795,726,857.30","117,352,939,577.92","102,061,060,197.85","102,715,948,935.07","100,842,455,792.90","116,963,362,335.18"
其中：质押借款,,,,,,,,,,,"724,401,659.91","1,100,272,839.01","1,037,637,465.48","1,565,507,370.00","2,071,922,371.31","2,290,077,750.00","2,355,147,840.00","1,806,904,240.00","1,676,527,600.00","1,387,798,560.00","855,981,000.00","1,072,979,840.00","1,714,947,750.00","1,663,594,200.00","2,086,961,000.00","2,336,224,359.11",,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"43,499,119,876.86","43,385,355,785.35","50,160,787,476.86","41,606,903,051.94","51,641,715,586.58","30,878,769,602.86","30,893,958,335.75","34,538,194,630.70","32,206,756,525.76","49,689,307,545.82","59,525,446,762.19","62,262,744,491.25","51,324,573,278.41","44,785,112,798.69","41,419,017,298.96","44,165,972,636.73","40,499,776,259.65","33,124,308,304.53","32,539,747,260.05","30,869,968,354.72","28,721,361,224.67","26,429,847,184.65","29,812,481,437.47","29,747,373,074.50","29,280,960,142.38","29,514,220,600.59","33,777,586,692.65","33,111,955,845.24","38,102,848,445.08","49,359,254,892.35","62,592,457,810.84","85,740,272,778.34","155,509,869,467.03","110,702,911,569.00","112,066,660,923.25","102,509,418,715.55","94,915,846,313.99","81,691,909,176.57",,"81,658,523,991.95",,,,"70,294,200,252.57",,,"62,319,468,186.68","83,346,651,539.97"
拆入资金,,,,,,,,,,,,,,,,,,"400,000,000.00",,"2,500,000,000.00","1,500,000,000.00","3,000,000,000.00","2,150,000,000.00","2,700,000,000.00","5,340,000,000.00","3,040,000,000.00","1,120,000,000.00","4,220,000,000.00","4,120,000,000.00","7,770,000,000.00","14,270,000,000.00","6,270,000,000.00","8,480,000,000.00","5,828,976,102.76","7,260,351,781.63","6,137,639,021.27","9,150,807,745.05","7,855,627,058.89","8,809,461,725.51","6,876,188,966.98","8,744,537,458.01","8,416,216,013.27","11,811,638,917.40","17,484,340,515.23","21,648,983,219.70","16,362,237,758.13","14,724,096,061.46","10,138,233,315.28"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,"951,746.12","7,566,084.59","5,280,838.72","5,665,133.60",,,,"6,454,711,766.31","7,652,347,176.21","8,907,709,986.86","9,861,815,647.22",,,,,,,"38,046,283,756.90","34,479,026,211.61","38,639,631,004.32","41,803,046,686.37","29,390,220,864.46","27,328,623,538.81","20,743,499,166.70","18,439,489,468.54",,,,
结算备付金,"4,328,150,176.62","3,369,936,942.19","3,556,623,900.61","4,326,022,593.95","33,506,654,344.63","3,476,274,979.30","2,670,733,750.15","3,939,452,749.33","3,559,168,937.85","5,360,996,172.06","5,511,975,253.02","3,657,382,842.37","3,406,463,006.41","4,397,303,726.81","19,652,582,721.13","3,734,741,409.16","3,726,400,736.17","4,000,317,915.11","3,952,038,278.34","6,798,185,048.59","4,717,830,909.82","4,183,041,017.97","3,045,330,168.92","5,046,572,219.93","5,606,179,060.15","5,411,946,670.55","5,751,052,655.07","6,257,454,139.37","5,925,373,550.35","5,648,987,655.46","14,818,875,553.95","14,785,835,587.20","28,458,208,591.97","17,908,360,393.42","15,747,115,792.65","10,802,527,464.12","9,947,913,620.77","8,218,228,400.03","12,191,899,273.79","7,420,370,735.11","8,864,545,306.98","9,997,998,627.24","7,982,728,644.47","7,242,948,931.56","8,328,607,966.97","7,716,619,632.60","7,646,561,080.06","10,556,799,643.90"
衍生金融负债,"408,952,622.00","661,201,233.30","376,960,000.00","455,040,000.00",,,,,,,,,,,,,,,,,,,,,"6,438,901.57","13,608,830.13","51,800,385.09","22,236,684.85","19,804,985.21","37,194,804.51","246,986,084.48","132,645,429.24","339,377,965.86","4,563,320,677.34","3,718,116,288.86","3,970,835,545.24","4,911,393,942.23","3,043,461,857.26","2,594,009,281.96","2,567,235,988.42","2,787,065,945.34","3,757,768,000.93","3,495,454,278.20","3,187,821,086.91","2,492,299,697.25","2,322,496,833.67","2,218,774,485.86","2,083,396,790.47"
