科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"84,591,019.24","117,000,162.92","67,111,494.56","605,039,140.47","474,144,914.10","428,039,359.66","427,671,941.08","367,468,887.36","376,916,825.25","365,628,604.73","425,850,239.99","387,722,829.75","345,307,416.97","345,607,210.64","328,806,204.90","354,244,983.90","345,581,435.30","275,217,825.79","322,414,909.74","329,971,970.71","298,877,845.21","282,650,029.23","319,049,465.77","360,353,567.83","267,791,830.89","234,790,109.30","289,055,737.82","469,199,887.70","435,490,636.00","401,101,695.75","417,065,086.84","408,436,049.94","423,219,441.59","243,813,046.89","305,277,249.39"
短期借款,"105,150,000.00","126,150,000.00","88,000,000.00","94,000,000.00","15,000,000.00","15,000,000.00","13,000,000.00","47,835,792.00","71,186,574.00","87,889,440.00","35,000,000.00","28,507,512.50","58,966,711.00","33,500,000.00","15,000,000.00","15,000,000.00",,,,,,"3,990,000.00",,,,,,"126,470,156.41","130,000,000.00","138,000,000.00","128,000,000.00","108,000,000.00","32,000,000.00","20,255,626.21","20,000,000.00"
交易性金融资产,,,,,,,"749,100.00","210,100.00",,,"960,600.00","326,500.00",,,"745,300.00","280,700.00",,,"1,902,000.00","1,163,300.00","164,200.00","79,300.00",,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,411,981.11","6,694,652.00","7,920,083.24","6,229,499.13","11,739,798.23","14,680,111.93","31,309,759.60","36,732,831.61","38,254,556.40","94,874,693.67","88,945,965.80","70,165,040.98","60,354,022.53","129,182,804.70","138,273,202.18","107,657,898.62","86,917,896.75","141,273,084.50","156,326,862.32","86,439,028.72","67,206,802.34","90,299,217.92","153,755,809.65","161,871,089.33","116,667,897.37","151,139,495.34","153,015,202.22","141,352,057.70","135,104,626.95","151,646,958.20","165,622,906.03","162,151,190.79","206,309,807.61","261,441,845.93","220,082,092.12"
应付票据,"31,500,000.00","72,222,560.00","22,128,544.19","45,690,192.70","53,426,517.12","35,661,319.32","44,016,004.72","32,398,000.00","46,398,000.00","95,290,000.00","133,830,000.00","80,048,000.00","28,019,000.00","49,073,000.00","73,199,400.00","48,508,200.00","18,180,800.00","20,339,404.00","26,681,104.00","26,415,000.00","26,650,032.00","20,333,225.00","66,293,789.17","134,057,639.17","104,448,600.00","100,963,325.00","116,544,525.00","99,243,039.08","106,056,107.31","103,685,242.08","104,112,245.80","95,525,948.00","91,388,750.00","88,509,500.00","89,150,000.00"
应收账款,"110,646,975.48","153,095,870.57","164,831,853.34","165,606,351.88","187,626,114.28","194,096,350.81","211,979,999.60","201,195,979.24","265,786,120.88","273,432,035.37","295,821,313.07","272,668,802.99","329,316,202.13","318,509,262.04","305,295,589.48","289,944,055.03","312,263,387.30","285,338,388.15","305,643,154.72","329,341,446.22","349,913,116.75","322,189,904.27","329,621,305.80","342,253,815.85","366,479,740.28","392,762,170.69","346,959,317.86","826,834,576.69","753,169,681.65","736,250,812.17","605,441,550.61","628,872,958.71","370,675,845.73","353,287,429.10","378,338,322.55"
应付账款,"60,252,502.89","72,381,958.03","85,585,016.37","60,447,433.95","61,253,336.11","66,599,442.83","118,332,701.13","99,152,946.86","143,152,865.91","150,761,777.08","161,910,282.77","93,252,584.74","140,223,465.52","150,469,333.52","167,075,943.87","166,579,595.53","166,861,565.84","166,388,055.76","166,494,344.50","150,268,153.62","174,778,971.25","163,749,127.48","173,127,501.60","130,310,021.21","155,827,570.43","119,728,247.77","110,824,955.10","231,615,767.02","249,823,780.46","261,064,367.07","239,937,835.62","255,894,256.63","137,454,366.75","135,611,115.63","166,179,469.46"
预付款项,"7,552,334.06","15,992,437.21","23,271,781.55","10,871,675.15","22,466,904.47","39,907,925.47","29,846,843.72","24,698,093.07","13,799,979.00","19,192,298.70","33,453,246.84","28,084,495.00","59,173,140.25","38,718,975.00","20,106,107.52","9,848,024.58","7,926,927.33","22,368,467.53","9,610,448.72","41,818,395.73","27,094,174.20","30,127,863.44","9,206,338.03","12,488,844.55","17,391,692.25","15,585,854.79","7,483,626.69","63,089,774.26","38,314,433.88","58,732,010.58","56,103,896.82","64,270,900.72","20,432,682.39","29,746,878.07","17,594,792.65"
预收款项,"13,345,307.78","15,366,140.97","29,330,229.53","14,802,926.52","12,272,298.79","14,973,277.39","30,498,061.24","8,373,096.77","4,365,715.47","25,788,153.14","36,915,404.87","48,023,094.45","53,559,006.47","79,673,862.01","47,056,973.73","59,472,243.20","70,443,376.71","72,818,952.57","55,176,735.20","88,780,314.05","52,630,247.86","48,229,579.90","38,275,144.17","56,115,049.64","53,575,331.22","50,490,082.24","38,308,912.64","142,289,739.49","82,830,511.59","87,369,396.26","78,255,608.68","113,147,551.53","71,780,086.91","76,175,449.25","63,179,850.05"
