科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,656.25","22,656.25","22,656.25","22,656.25","22,656.25","22,656.25"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,356,790.00","7,356,790.00","7,356,790.00","7,356,790.00","7,356,790.00","7,356,790.00","7,356,790.00","7,356,790.00"
存货,"2,327,188.85","2,402,205.44","1,466,492.47","6,789,851.21","8,116,345.00","8,346,739.90","2,586,252.43","9,227,570.77","14,370,598.85","16,430,037.93","1,864,275.39","14,294,568.64","23,155,141.00","27,322,244.74","51,379,637.45","60,447,376.84","78,955,204.82","88,829,688.20","41,089,024.60","78,586,084.66","61,716,266.97","62,853,797.13","46,745,287.17","88,591,834.67","84,350,164.98","82,894,625.46","47,173,400.55","71,947,911.51","201,026,324.70","190,111,485.16","168,630,732.61","225,520,141.41","227,961,170.14","261,277,966.21","185,730,598.74","276,428,461.50"
其他应付款,"139,650.22","794,386.99","327,635.36","301,537.36","393,465.68","452,173.20","414,916.78","394,926.54","436,598.34","488,694.43","904,472.10","1,367,423.82","2,039,702.79","1,205,154.17","62,528,907.72","24,895,719.38","29,609,816.84","28,509,046.66","28,231,946.08","14,104,139.75","13,266,237.34","13,226,278.50","5,498,199.30","4,114,185.43","7,971,270.14","9,156,970.40","13,081,090.00","13,570,228.03","21,424,654.80","17,643,217.47","355,944,151.20","367,296,851.95","352,698,330.67","318,774,608.06","339,021,678.69","337,924,121.22"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,533,130.26","34,872,838.26","37,901,487.11","34,835,824.65","52,402,548.77","51,374,161.85","50,512,007.47","49,821,793.20","46,315,598.92","45,467,922.84"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"193,404,659.75","9,804,659.75","1,975,564.97","2,695,931.32","9,138,880.23","6,648,911.87","6,648,911.87",,"1,664,008.26",
其他流动资产,,,,,,,,,,,,,,,,,,,"3,236,105.13",,"10,606,616.50",,"68,426,481.29","57,628,372.48","50,721,061.32","51,763,670.34","12,297,128.99",,"671,764.56","12,499.39","12,013,681.99","17,137,055.96","15,175,905.19","14,051,201.38","5,554,722.87","5,368,094.50"
