科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他应收款,"21,758,594.99","54,590,730.23","71,260,632.59","272,538,730.83","286,335,105.85","284,509,390.86","269,759,875.91","409,505,284.68","303,701,678.29","617,588,366.27","59,746,274.91","86,375,169.01","60,194,048.94","59,749,405.50","159,495,534.28","140,587,643.72","460,521,302.95","146,246,120.89","161,565,822.06","166,011,295.20","44,804,959.47","43,551,514.85","73,485,918.72","93,577,171.21","41,214,545.15","52,096,985.55","70,963,692.63","217,610,535.77","1,322,844,602.61","79,920,768.98","83,660,708.95","109,172,993.57","81,102,130.68","76,575,851.45","60,865,001.91","84,081,522.92","88,649,680.99","105,828,694.50","95,726,262.13","78,922,572.56","109,970,147.63","165,716,013.56","135,408,968.45","489,328,361.07","57,559,910.69","79,936,102.72","122,034,935.13","83,955,556.18","464,741,736.16"
应付职工薪酬,"5,387,010.20","5,908,130.86","4,680,665.88","2,344,102.24","2,138,917.90","1,710,044.00","1,644,928.91","1,562,630.66","1,287,095.34","1,171,418.08","1,252,655.10","2,046,572.00","1,747,020.05","1,511,730.81","1,901,819.03","2,891,504.10","1,841,026.80","1,621,371.25","1,924,810.52","3,057,247.71","2,397,468.30","2,148,917.42","2,019,924.87","6,035,667.57","5,047,984.93","6,139,652.94","5,457,021.79","6,241,792.16","5,310,416.81","5,712,332.71","6,078,372.23","8,001,415.95","7,281,209.04","7,962,507.58","7,919,637.23","10,719,883.15","9,686,217.11","15,185,719.85","12,130,051.72","13,759,855.19","13,934,223.83","14,993,957.41","15,306,481.94","17,849,716.50","15,965,509.76","16,860,418.61","17,050,976.59","19,306,497.01","18,824,125.23"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"16,668,254.74","69,865,401.78","61,334,358.03","98,806,427.81","72,564,264.64","107,312,207.59","129,563,797.68","288,676,207.70","229,694,184.81","182,448,047.34","136,916,622.65","105,267,738.63","39,545,036.89","-12,979,747.14","-50,642,528.25","308,779,830.46","290,282,195.45","239,445,968.62","359,714,492.99","818,850,340.53","887,661,313.68","571,791,158.66","479,043,742.85","588,028,703.95","557,070,234.93","810,615,069.64","910,683,567.12","974,504,159.65","1,047,181,964.33","908,527,760.75","898,247,785.87","1,196,555,452.63","1,008,051,037.81","1,077,957,720.81","1,016,844,762.35","1,480,554,493.04","1,465,604,329.59","1,123,879,926.37","1,183,020,705.40","1,192,637,198.39","1,631,844,607.36","1,575,475,459.10","1,514,662,915.68","1,660,493,994.83","1,618,593,368.08","1,807,668,851.30","2,060,393,827.92","2,576,239,289.57","2,397,458,542.90"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,438,356.16","23,294,432.27","40,747,749.19","6,407,965.16","16,065,080.77","55,064,481.58","86,309,366.92","121,577,570.22","14,947,293.63","53,194,961.39","87,056,045.86","122,052,820.98","15,257,120.64","69,983,887.43","105,895,768.89","142,752,461.36","36,401,604.33","59,624,389.25","107,886,814.99"
应收股利,,,,,,,,,,,,,,,,,,"8,400,000.00","8,400,000.00","23,100,000.00","23,100,000.00","37,965,310.00","37,800,000.00",,,"144,050.40",,,,,,,,"76,105,200.00",,,,,,,"1,077,570.00","30,000,000.00",,,,,"685,273.60",,
应付股利,"2,277,548.27","2,277,548.27","8,096,700.21","3,006,423.73","6,490,321.54","7,954,871.60","9,533,818.97","9,533,818.97","9,533,818.97","10,039,573.88","22,773,493.84","19,094,546.47","93,880,357.59","95,923,748.42","95,923,747.95","107,475,287.38","71,576,664.14","69,888,979.63","62,039,454.89","62,039,454.89","62,039,454.89","82,473,462.13","27,562,880.08","56,307,035.30","56,307,035.30","137,739,070.57","68,332,072.24","48,972,712.24","48,972,712.24","48,972,712.24","56,412,712.24","5,842,374.32","5,572,712.24","52,729,048.64","42,599,738.42","42,599,738.42","39,099,738.42","52,898,863.02","29,540,086.04","5,690,086.04","5,690,086.04","17,764,225.86","20,902,225.86","11,602,225.86","8,464,225.86","25,749,813.64","11,793,193.64","11,793,193.64","19,293,193.64"
存货,"2,576,600,477.19","3,115,724,452.14","3,193,966,811.70","3,931,860,925.31","4,537,415,810.02","4,784,788,558.53","4,905,069,815.45","4,627,373,344.46","4,887,089,571.25","5,060,738,658.83","5,790,854,132.19","6,155,150,266.23","6,588,928,218.46","7,614,640,701.43","8,061,208,594.62","5,919,653,967.35","6,196,855,728.01","6,414,504,445.85","6,559,059,467.65","5,767,703,371.79","5,862,574,400.46","5,607,751,788.09","5,849,333,301.96","9,256,047,019.53","8,552,859,232.81","8,366,358,227.94","8,740,503,694.96","10,888,239,868.71","11,191,649,897.96","11,031,726,994.84","11,206,026,222.64","10,904,325,821.19","11,233,774,222.56","11,137,049,967.97","11,168,006,723.18","10,231,883,893.02","10,095,508,029.64","9,887,042,397.75","9,281,887,125.84","9,294,109,281.49","9,379,706,524.70","11,483,863,902.26","11,605,497,441.45","11,435,092,727.86","12,741,206,882.17","13,434,110,083.63","13,914,263,211.83","13,563,376,778.83","13,462,319,922.51"
其他应付款,"80,951,992.24","216,670,516.63","244,127,159.21","169,594,160.32","204,248,499.33","172,955,823.17","384,538,732.82","270,571,592.21","357,070,942.84","472,764,704.77","754,742,201.29","553,112,864.78","540,069,682.43","594,975,303.14","468,250,936.33","406,568,250.84","422,159,156.72","207,572,995.50","324,386,379.18","341,266,972.45","330,602,151.34","387,477,852.11","670,012,151.33","1,358,571,962.10","686,867,305.34","602,097,450.00","610,188,881.46","625,030,154.70","613,390,166.23","469,536,416.58","697,478,395.94","371,150,989.59","482,768,471.92","428,079,739.74","396,125,390.74","413,542,994.86","415,900,347.73","641,898,975.62","529,553,203.63","1,330,228,397.99","1,327,902,230.92","710,526,065.23","1,357,649,394.17","1,164,231,531.81","785,450,379.11","762,477,419.67","992,728,997.42","1,022,068,801.87","1,166,166,630.14"
