科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"256,100,283.02","267,705,134.34",,"352,754,312.36","158,340,775.96",,"392,435,503.72","41,868,686.65","104,469,206.87","175,401,453.14","388,287,547.53","91,832,195.08","154,500,753.98","202,182,239.78","415,312,953.88","60,262,683.94","232,912,598.85","373,485,071.51","685,152,338.12","57,867,610.10","145,621,970.62","304,495,319.41","737,666,409.96","72,237,134.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"33,449,247.51",
收到的税费返还,"11,004,809.86","8,343,254.26",,"6,167,448.67","3,736,613.11",,"9,502,603.16","3,375,847.27","5,163,845.32","8,238,405.10","8,235,465.79","2,393,022.04","6,053,151.88","7,277,082.44","12,379,290.81","834,184.64","2,766,714.83","5,607,910.32","9,569,200.38","2,923,686.48","6,046,939.48","8,395,793.76","14,395,044.59","3,627,162.50"
支付其他与投资活动有关的现金,,,,,,,,"3,091.00","230,870.00","64,870.00",,,,,,492.00,,,"30,000,000.00",,,,,
收到其他与经营活动有关的现金,"41,481,291.58","37,230,289.89",,"60,923,260.15","15,575,215.66",,"54,030,433.69","13,650,315.78","25,232,064.05","53,298,808.82","96,718,752.67","18,363,342.84","33,654,694.22","72,756,723.95","67,953,373.42","11,388,134.40","35,213,132.75","68,490,284.27","78,924,166.15","16,972,887.64","39,010,567.91","110,635,855.60","77,590,292.49","19,407,153.32"
投资活动现金流出小计,"102,294,590.55","40,872,050.98",,"70,017,275.04","56,290,042.92",,"73,189,983.37","201,613,225.79","258,514,475.26","412,960,250.16","652,185,433.26","262,348,587.10","444,093,927.20","525,747,754.18","694,280,001.73","349,616,736.35","853,868,595.88","1,403,068,342.27","2,034,111,606.46","281,887,331.67","1,143,025,128.60","1,284,988,153.57","1,525,641,893.29","112,053,418.74"
经营活动现金流入小计,"308,586,384.46","313,278,678.49",,"419,845,021.18","177,652,604.73",,"455,968,540.57","58,894,849.70","134,865,116.24","236,938,667.06","493,241,765.99","112,588,559.96","194,208,600.08","282,216,046.17","495,645,618.11","72,485,002.98","270,892,446.43","447,583,266.10","773,645,704.65","77,764,184.22","190,679,478.01","423,526,968.77","829,651,747.04","95,271,450.12"
投资活动产生的现金流量净额,"-20,246,843.94","-40,751,050.98",,"-70,017,275.04","-30,694,084.02",,"-27,081,206.57","-161,497,498.19","-192,675,279.05","-295,195,260.66","-147,475,103.55","-157,428,395.33","-183,596,744.40","-199,992,456.57","-151,367,657.36","-108,194,722.19","-192,075,433.56","-203,091,660.22","-199,976,307.26","154,217,281.50","-322,857,332.24","33,997,579.34","37,001,695.69","-111,992,247.43"
购买商品、接受劳务支付的现金,"180,616,387.10","139,950,960.63",,"185,341,077.02","87,811,294.47",,"190,392,214.14","76,024,685.31","143,537,417.96","195,394,252.12","252,744,620.07","70,342,543.09","187,019,426.25","243,412,729.95","319,707,605.93","65,709,287.37","112,037,160.72","201,215,635.70","345,195,921.10","148,363,574.54","395,480,058.22","530,069,504.71","739,356,161.48","200,633,209.91"
吸收投资收到的现金,"1,500,000.00","3,382,576.70",,,,,"363,792,423.30","10,000,000.00","10,000,000.00","10,000,000.00","14,900,000.00",,"766,400.00","2,670,000.00","67,364,468.00","800,000.00","1,616,600.00","1,616,600.00","5,510,100.00","653,184,394.30","654,249,394.30","654,787,294.30","654,787,294.30","6,490,000.00"
