科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,844,023,358.67","2,901,924,315.63","3,123,916,143.98","1,167,778,544.76","1,567,029,736.89","2,125,045,551.64","267,319,004.96","773,039,110.39","1,479,907,346.04","2,009,608,421.14","412,727,735.98","1,114,433,423.17","1,562,119,278.14","1,969,050,635.88","293,692,606.74","809,958,568.94","1,083,257,965.43","1,487,964,449.72","287,317,187.86","499,317,217.85","694,958,950.39","380,373,277.07","609,749,783.81","879,783,799.24","1,280,361,020.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"829,771,905.14","883,531,905.14",,,,,,,
收到的税费返还,,,,,,,,,,,,"66,869.87","66,869.87","66,869.87",,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"45,747,011.86","11,639,535.82","6,423,611.36","11,773,424.54","26,494,217.04","35,492,377.32","1,069,863.13","2,441,003.04","3,087,958.35","13,372,205.54","18,119,025.39","24,933,676.67","28,150,952.36","48,404,827.87","2,532,672.78","3,380,326.39","9,544,065.87","43,528,610.27","5,792,233.77","12,069,722.15","18,892,131.94","1,869,851.95","72,000,828.37","82,054,784.97","99,271,562.62"
投资活动现金流出小计,"184,360,937.97","118,023,596.99","52,098,854.20","22,804,277.52","30,240,160.41","39,492,940.74","4,128,720.74","11,234,066.91","16,622,497.12","29,874,264.73","1,687,573.44","34,060,493.48","43,008,731.96","46,660,713.75","7,291,810.89","11,810,729.26","859,884,439.24","918,886,432.98","10,068,488.42","31,768,159.32","271,259,450.82","209,848,513.09","221,606,064.04","224,090,459.90","228,336,335.36"
经营活动现金流入小计,"1,889,770,370.53","2,913,563,851.45","3,130,339,755.34","1,179,551,969.30","1,593,523,953.93","2,160,537,928.96","268,388,868.09","775,480,113.43","1,482,995,304.39","2,022,980,626.68","430,846,761.37","1,139,433,969.71","1,590,337,100.37","2,017,522,333.62","296,225,279.52","813,338,895.33","1,092,802,031.30","1,531,493,059.99","293,109,421.63","511,386,940.00","713,851,082.33","382,243,129.02","681,750,612.18","961,838,584.21","1,379,632,583.06"
投资活动产生的现金流量净额,"-184,360,937.97","-71,772,572.74","-25,529,454.20","-22,504,277.52","-4,725,160.41","-13,977,940.74","-4,123,220.74","-11,228,566.91","-16,616,997.12","-29,867,264.73","-1,187,573.44","-33,560,493.48","-42,508,731.96","-45,960,713.75","-7,291,810.89","-11,810,729.26","-859,884,439.24","-914,136,432.98","-10,068,488.42","-31,758,399.32","-231,447,777.18","-209,848,513.09","-221,606,064.04","-169,561,931.34","-88,466,330.58"
购买商品、接受劳务支付的现金,"1,872,566,715.96","2,568,740,259.52","2,930,337,133.13","1,088,745,673.58","1,761,722,970.36","2,384,087,392.98","549,556,454.88","1,141,578,184.73","1,747,254,663.38","2,594,344,558.76","365,879,018.04","925,512,059.96","1,335,308,197.64","1,846,418,259.97","333,605,339.12","582,403,823.02","957,025,244.97","1,140,535,297.32","173,910,276.27","448,056,412.19","788,871,962.11","365,270,991.38","681,800,145.41","1,373,433,702.20","2,071,957,523.88"
吸收投资收到的现金,"72,000,000.00","22,500,000.00",,,"477,208,000.00","477,208,000.00",,,,,,,,,,,"1,073,599,998.92","1,073,599,998.92",,,,,"440,000,000.00","440,000,000.00","442,450,000.00"
