科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,158,296.78","4,031,000.53","6,667,045.61","9,003,147.60","-1,804,218.63","-3,542,351.13","-4,882,047.09","-4,316,218.87","4,850,605.72","8,631,166.56","11,787,833.79","13,869,391.08","2,681,158.41","4,257,447.60","5,368,441.20","6,556,588.02","173,286.14","11,486,633.31","15,574,586.35","20,678,378.31","2,933,207.92","13,404,259.20","22,790,703.21","28,299,191.05","7,683,581.65","11,417,101.85","15,786,671.99","21,353,177.34","7,890,256.15","17,544,489.28","23,011,118.45","23,567,088.11","6,987,933.15","15,076,147.45","27,038,889.75","40,258,206.59","12,976,893.39","23,181,944.25","34,197,212.91","47,674,321.43","9,481,931.12","23,579,018.92","40,218,651.09","69,106,909.90","18,687,975.35","31,300,883.82"
三、利润总额,"112,738,672.19","277,967,582.60","422,528,619.37","554,787,557.96","69,844,395.42","124,462,395.91","133,005,213.40","76,081,621.38","-25,900,384.30","9,985,428.00","71,946,366.48","123,617,853.59","91,633,722.44","209,847,830.62","280,115,652.84","371,322,815.61","84,616,608.84","113,742,813.14","97,245,891.30","56,418,859.50","-27,353,795.38","-30,996,520.67","19,812,027.74","26,497,591.09","22,676,655.92","90,511,951.98","193,891,884.21","312,030,714.80","109,644,913.05","248,984,406.16","355,020,155.23","474,411,777.06","110,144,412.21","219,130,413.41","298,168,945.89","316,267,857.58","29,283,815.40","-404,443,246.35","-345,711,718.50","-280,551,960.07","116,532,687.23","225,415,427.38","329,577,832.72","445,391,393.08","130,450,350.41","294,104,116.92"
资产减值损失,,"1,509,832.56","1,509,832.56","3,540,443.67",,"-2,073,757.31","-1,481,720.18","13,759,159.52","-8,008,535.13","-15,835,317.15","-15,554,577.17","2,503,009.82","-302,295.56","2,226,067.67","2,270,857.33","1,932,926.32","343,745.04","1,325,158.19","2,652,325.56","9,993,376.98","-1,518,150.43","2,013,001.85","2,702,951.89","2,421,090.22","297,643.92","3,412,523.70","3,937,911.14","-723,220.91","3,043,651.85","6,182,071.04","3,843,936.62","-1,662,829.41","3,430,477.07","10,464,176.56","15,235,615.27","22,047,005.89","3,999,089.60","452,059,358.38","439,695,711.84","437,260,589.41","686,060.95","5,496,161.54","7,758,081.80","37,610,873.91","8,361,388.68","15,400,135.12"
减:所得税,"37,345,009.58","91,917,658.95","139,622,801.08","174,325,175.56","17,419,002.63","-31,657,577.17","-58,561,033.71","-87,555,599.26",,"1,497,814.20","6,240,054.27","16,252,261.98","13,745,058.37","31,477,174.60","42,017,347.94","51,516,109.17","12,692,491.33","17,061,421.98","17,061,421.98","5,632,688.98","4,290.39","-274,102.27","-274,102.27","8,094,682.21","3,819,206.66","10,297,812.46","26,378,771.93","35,268,343.06","16,609,172.33","38,447,476.16","53,331,064.13","63,741,534.95","15,622,658.58","32,084,475.27","44,420,433.52","62,141,339.54","5,681,730.86","8,762,095.22","15,941,065.44","23,256,812.84","18,151,432.82","32,882,471.39","48,814,092.26","59,895,830.87","20,071,341.18","45,971,923.33"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-553,723.45",,"553,723.45","553,723.45","553,723.45",,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"946,917.82","1,485,479.46","604,167.95","973,323.96","3,523,019.64","451,152.44","3,715,558.05","5,452,495.08","10,237,720.39","6,962,310.99","12,237,330.43","17,295,425.02","20,525,524.32","6,473,770.49","14,481,322.63"
四、净利润,"75,393,662.61","186,049,923.65","282,905,818.29","380,462,382.40","52,425,392.79","156,119,973.08","191,566,247.11","163,637,220.64","-25,900,384.30","8,487,613.80","65,706,312.21","107,365,591.61","77,888,664.07","178,370,656.02","238,098,304.90","319,806,706.44","71,924,117.51","96,681,391.16","80,184,469.32","50,786,170.52","-27,358,085.77","-30,722,418.40","20,086,130.01","18,402,908.88","18,857,449.26","80,214,139.52","167,513,112.28","276,762,371.74","93,035,740.72","210,536,930.00","301,689,091.10","410,670,242.11","94,521,753.63","187,045,938.14","253,748,512.37","254,126,518.04","23,602,084.54","-413,205,341.57","-361,652,783.94","-303,808,772.91","98,381,254.41","192,532,955.99","280,763,740.46","385,495,562.21","110,379,009.23","248,132,193.59"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-881,311.51","-512,155.50","2,037,540.18","451,152.44","3,715,558.05","6,435,573.11","10,237,720.39","6,962,310.99","12,237,330.43","17,295,425.02","20,525,524.32","6,473,770.49","14,481,322.63"
归属于母公司所有者的净利润,"75,393,662.61","186,049,923.65","282,905,818.29","380,462,382.40","52,425,392.79","156,119,973.08","191,566,247.11","163,637,220.64","-25,900,384.30","8,487,613.80","65,706,312.21","107,365,591.61","77,888,664.07","178,370,656.02","238,098,304.90","319,806,706.44","71,924,117.51","96,681,391.16","80,184,469.32","50,786,170.52","-27,358,085.77","-30,722,418.40","20,086,130.01","18,402,908.88","18,857,449.26","80,214,139.52","167,513,112.28","276,762,371.74","93,035,740.72","210,536,930.00","301,689,091.10","410,670,242.11","94,521,753.63","187,045,938.14","253,748,512.37","254,126,518.04","23,602,084.54","-413,205,341.57","-361,652,783.94","-303,808,772.91","98,381,254.41","192,532,955.99","280,763,740.46","385,495,562.21","110,379,009.23","248,132,193.59"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
