科目,2007年1-3月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"27,704,279,000.00","43,141,260,000.00","29,564,353,000.00","13,470,722,000.00","25,684,849,000.00","113,759,502,000.00","136,299,782,000.00","17,148,477,000.00","38,160,629,000.00","84,381,067,000.00","159,404,732,000.00","49,972,694,000.00","106,396,869,000.00",,"278,387,672,000.00","32,445,920,000.00","69,833,820,000.00","61,681,341,000.00","79,784,978,000.00","8,671,395,000.00","53,070,478,000.00","34,755,112,000.00","148,943,216,000.00","27,990,973,000.00","36,538,480,000.00","65,871,030,000.00","106,908,473,000.00","11,992,290,000.00","140,872,000,000.00","198,006,000,000.00","356,396,000,000.00","69,437,000,000.00","147,080,000,000.00","211,519,000,000.00","286,331,000,000.00","66,240,000,000.00","147,967,000,000.00","213,129,000,000.00","212,876,000,000.00","159,365,000,000.00","100,810,000,000.00","358,248,000,000.00","216,861,000,000.00","86,906,000,000.00","199,981,000,000.00"
客户存款和同业存放款项净增加额,,"16,343,450,000.00","32,894,476,000.00","10,522,459,000.00","19,042,138,000.00","45,165,849,000.00","70,915,249,000.00","21,090,175,000.00","65,771,468,000.00","85,030,469,000.00","120,355,275,000.00","27,228,631,000.00","73,698,490,000.00","81,679,292,000.00","140,342,402,000.00",,"35,699,573,000.00","98,164,474,000.00","169,475,443,000.00","51,131,572,000.00","133,583,617,000.00","165,934,770,000.00","172,687,159,000.00","16,650,231,000.00","57,290,140,000.00","42,541,263,000.00","193,588,575,000.00","35,539,041,000.00","76,568,000,000.00","85,632,000,000.00","86,438,000,000.00","17,972,000,000.00",,"180,249,000,000.00",,,"44,750,000,000.00","76,087,000,000.00","85,005,000,000.00",,"89,182,000,000.00","69,466,000,000.00","69,984,000,000.00","56,212,000,000.00","131,009,000,000.00"
取得投资收益收到的现金,"183,144,000.00","1,218,593,000.00","2,224,061,000.00","488,067,000.00","1,841,497,000.00","2,612,404,000.00","3,869,043,000.00","716,431,000.00","2,087,432,000.00","2,650,028,000.00","3,500,519,000.00","710,792,000.00","2,057,812,000.00","3,148,073,000.00","4,226,076,000.00","685,417,000.00","2,247,090,000.00","3,737,741,000.00","5,080,880,000.00","1,173,824,000.00","3,559,922,000.00","5,548,961,000.00","7,985,027,000.00","1,364,888,000.00","5,310,914,000.00","8,258,903,000.00","10,821,579,000.00","2,661,673,000.00","6,974,000,000.00","10,933,000,000.00","14,336,000,000.00","3,756,000,000.00","9,149,000,000.00","14,690,000,000.00","18,870,000,000.00","4,111,000,000.00","9,886,000,000.00","15,427,000,000.00","20,530,000,000.00","6,173,000,000.00","14,978,000,000.00","24,032,000,000.00","31,898,000,000.00","8,209,000,000.00","19,646,000,000.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","10,000,000.00","20,115,000,000.00","9,985,000,000.00",,,,"35,995,000,000.00","13,985,000,000.00","1,996,000,000.00","32,986,000,000.00","8,500,000,000.00","4,990,000,000.00","4,999,000,000.00","10,479,000,000.00","6,000,000,000.00","20,000,000.00"
收到其他与投资活动有关的现金,"10,000.00","2,488,000.00","1,666,000.00",,,"495,000.00","997,000.00",,"149,000.00","238,000.00","1,690,000.00","6,000.00","33,992,000.00","181,458,083,000.00","1,041,000.00","18,133,000.00","35,937,000.00","55,522,000.00","203,331,000.00","284,000.00","415,000.00","-1,806,000.00","48,000.00",,"154,886,000.00","155,637,000.00","240,893,000.00","31,039,000.00",,"8,000,000.00","71,000,000.00","24,000,000.00","2,000,000.00","2,000,000.00","77,000,000.00","13,000,000.00","12,000,000.00","60,000,000.00","229,000,000.00","166,000,000.00","42,000,000.00","59,000,000.00","146,000,000.00","16,000,000.00","50,000,000.00"
向其他金融机构拆入资金净增加额,"3,349,675,000.00","2,782,546,000.00","27,902,415,000.00","2,182,715,000.00","547,411,000.00",,,"294,288,000.00","5,306,640,000.00","5,464,690,000.00",,"443,138,000.00","32,158,637,000.00","66,468,991,000.00","50,649,165,000.00",,"36,004,705,000.00",,"36,725,971,000.00","235,000,000.00",,,,,,,,"11,942,421,000.00","38,139,000,000.00","39,702,000,000.00","31,860,000,000.00","4,625,000,000.00",,,,,,"14,767,000,000.00","47,976,000,000.00","4,195,000,000.00",,,,,
投资活动现金流入小计,"27,887,433,000.00","44,362,341,000.00","31,790,080,000.00","13,958,789,000.00","27,526,346,000.00","116,372,401,000.00","140,169,822,000.00","17,864,908,000.00","40,248,210,000.00","87,031,333,000.00","162,906,941,000.00","50,683,492,000.00","108,488,673,000.00","184,606,156,000.00","282,614,789,000.00","33,149,470,000.00","72,116,847,000.00","65,474,604,000.00","85,069,189,000.00","9,845,503,000.00","56,630,815,000.00","40,302,267,000.00","156,928,291,000.00","29,355,861,000.00","42,004,280,000.00","74,285,570,000.00","117,970,945,000.00","14,685,002,000.00","147,846,000,000.00","208,947,000,000.00","370,803,000,000.00","73,217,000,000.00","156,231,000,000.00","226,211,000,000.00","305,278,000,000.00","70,364,000,000.00","157,865,000,000.00","228,616,000,000.00","233,635,000,000.00","165,704,000,000.00","115,830,000,000.00","382,339,000,000.00","248,905,000,000.00","95,131,000,000.00","219,677,000,000.00"
收取利息、手续费及佣金的现金,"2,156,845,000.00","6,912,077,000.00","10,126,720,000.00","3,408,762,000.00","9,178,056,000.00","11,271,141,000.00","15,176,764,000.00","3,247,458,000.00","6,792,504,000.00",,"14,590,589,000.00","4,244,761,000.00","8,908,608,000.00","13,975,210,000.00","19,353,457,000.00","6,766,760,000.00","14,478,985,000.00","23,033,592,000.00","32,157,015,000.00","10,746,294,000.00","22,932,947,000.00","34,835,969,000.00","46,940,255,000.00","13,202,632,000.00","24,992,014,000.00","37,700,484,000.00","50,842,948,000.00","15,469,532,000.00","31,342,000,000.00","47,189,000,000.00","62,671,000,000.00","16,977,000,000.00","33,419,000,000.00","49,849,000,000.00","65,856,000,000.00","17,439,000,000.00","34,282,000,000.00","51,065,000,000.00","66,145,000,000.00","19,148,000,000.00","37,816,000,000.00","44,365,000,000.00","71,930,000,000.00","18,789,000,000.00","39,200,000,000.00"
投资支付的现金,"26,769,315,000.00","52,887,235,000.00","43,459,621,000.00","13,176,844,000.00","35,746,139,000.00","111,592,870,000.00","129,620,480,000.00","26,764,236,000.00","52,060,283,000.00","110,216,336,000.00","189,912,466,000.00","73,700,211,000.00","131,224,769,000.00",,"314,510,005,000.00","37,920,206,000.00","82,132,525,000.00","90,302,820,000.00","115,488,630,000.00","13,135,440,000.00","70,460,445,000.00","72,482,081,000.00","208,604,231,000.00","30,190,950,000.00","44,763,294,000.00","78,753,526,000.00","132,907,783,000.00","29,204,683,000.00","164,271,000,000.00","233,973,000,000.00","422,629,000,000.00","90,347,000,000.00","186,347,000,000.00","268,589,000,000.00","346,991,000,000.00","84,636,000,000.00","199,695,000,000.00","287,970,000,000.00","427,721,000,000.00","227,197,000,000.00","238,654,000,000.00","484,908,000,000.00","371,368,000,000.00","108,842,000,000.00","231,669,000,000.00"
