科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"80,469,650.76","94,734,194.31","214,836,625.46","106,839,673.01","298,366,297.26","20,350,335.20","50,262,956.80","127,392,250.99","337,924,487.83","130,765,255.00","190,831,160.00","246,825,716.26","358,631,774.31","101,198,766.68","166,503,570.48","250,738,381.88","756,256,061.54","232,533,284.14","649,517,555.24","885,567,333.82","1,624,374,232.39","402,261,053.98","975,608,235.85","1,379,319,504.39","1,827,076,511.34","435,727,816.10","609,741,982.90","1,052,691,429.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"-1,759,905.71","-1,759,905.71","-1,759,905.71",,,,,"778,361,410.34",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"16,860.80",,,,,,,,,,"1,631.07","1,631.07","34,213,886.58",,,,"9,370,717.85",,"366,149.48","366,149.48"
收到其他与经营活动有关的现金,"9,246,196.01","32,362,967.97","8,891,120.96","1,063,060.53","21,757,196.10","1,358,236.24","3,786,823.29","46,286,586.39","65,261,543.85","7,497,586.83","13,131,611.80","18,112,046.88","28,396,781.82","6,813,208.22","29,769,827.16","44,157,382.16","69,383,742.37","15,120,876.55","31,400,410.85","47,000,367.23","64,571,159.95","9,182,615.87","36,337,669.45","69,606,501.31","84,739,026.16","149,993,045.34","226,661,560.64","230,819,127.42"
投资活动现金流出小计,"48,750.00","757,888.00","2,005,825.00","201,351.00","925,027.00","21,750.00","302,950.00","351,005.12","134,980.80","-1,575,603.71","20,162,718.29","20,327,268.29","23,134,095.00","12,100.00","95,745.00","580,581.00","779,352,569.34","261,211.32","42,565,446.32","44,127,206.32","101,425,022.80","1,070,477.48","17,752,813.29","18,095,528.89","446,033,784.08","600,411,986.00","1,949,753,502.65","2,780,895,333.75"
经营活动现金流入小计,"89,715,846.77","127,097,162.28","223,727,746.42","107,902,733.54","320,123,493.36","21,708,571.44","54,049,780.09","173,678,837.38","403,186,031.68","138,262,841.83","203,962,771.80","264,937,763.14","387,028,556.13","108,011,974.90","196,273,397.64","294,895,764.04","825,639,803.91","247,654,160.69","680,917,966.09","932,567,701.05","1,688,945,392.34","411,443,669.85","1,011,945,905.30","1,448,926,005.70","1,911,815,537.50","585,720,861.44","836,403,543.54","1,283,510,556.46"
投资活动产生的现金流量净额,"-48,750.00","-637,888.00","-2,005,825.00","-201,351.00","-925,027.00","-33,566.00","-314,922.80","-362,977.92","-134,980.80","1,575,603.71","-20,162,718.29","-20,327,268.29","-21,009,189.29","-12,100.00","-95,565.00","-580,401.00","-779,328,389.34","-261,211.32","-42,565,446.32","-44,127,206.32","-101,425,022.80","29,779,301.77","13,096,965.96","12,754,250.36","-409,833,399.08","-11,834,483.72","-449,559,555.06","-119,617,246.20"
购买商品、接受劳务支付的现金,"71,327,548.17","130,847,750.00","116,691,432.28","84,714,160.27","212,625,031.41","45,530,187.30","168,045,790.38","270,707,196.88","361,543,502.17","71,056,013.34","153,649,955.60","232,709,053.28","310,189,278.03","79,273,292.31","201,060,125.23","301,968,525.27","684,119,083.14","292,712,407.71","818,220,275.41","1,125,508,721.50","1,493,752,094.57","545,668,779.82","787,840,442.31","1,417,320,304.32","1,968,268,507.48","456,628,653.71","810,988,265.25","1,064,856,097.16"
吸收投资收到的现金,"25,000,000.00",,"2,450,000.00",,,"639,000,000.00","639,000,000.00","639,000,000.00","639,000,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00",,"4,900,000.00","4,900,000.00","804,349,997.44","4,900,000.00","4,900,000.00","4,900,000.00","4,900,000.00",,,"2,172,109,175.67","2,172,109,175.67",,,
