科目,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"589,899,339.74","657,582,994.93","300,154,454.44","650,818,965.89","112,686,896.83","343,386,630.18","546,294,934.25","765,464,220.41","228,034,985.19","428,214,605.90","780,763,833.43","1,218,136,119.80","429,681,744.50","681,227,391.72","1,009,509,395.77","1,409,454,294.16","319,699,253.04","790,595,609.66","1,244,517,584.12","1,378,611,608.42","321,736,143.44","520,776,819.53","912,365,527.26","1,634,537,148.93","275,940,528.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,417.26,"1,078,000.00",,,"453,812.42",
支付其他与投资活动有关的现金,,,,,,,,"5,000,000.00",,,,"79,000,000.00",,,,"307,139,014.84",,"64,000,000.00","64,000,000.00","3,686,257.77",,,,,
收到其他与经营活动有关的现金,"11,170,095.29","12,002,295.11","9,821,404.93","13,494,895.20","1,274,324.05","6,579,227.09","12,411,631.01","7,174,627.20","410,383.27","10,425,988.31","12,848,663.56","65,194,373.05","359,830.58","18,531,188.53","16,597,596.88","552,592,660.25","10,288,485.10","128,905,347.14","145,144,873.04","403,243,371.55","35,931,360.47","49,813,599.72","52,561,826.29","23,552,647.02","23,871,767.44"
投资活动现金流出小计,"976,240.38","3,100,088.35","189,984.00","398,837.00","130,139.00","432,395.00","497,188.30","7,110,130.67","129,767,187.00","161,561,763.79","299,402,353.79","339,471,856.45","97,223,254.88","137,358,565.66","434,281,725.68","441,102,441.30","83,524.00","73,741,306.21","74,662,162.30","20,473,917.71","64,090.00","2,088,190.00","24,088,190.00","27,969,119.44",
经营活动现金流入小计,"601,069,435.03","669,585,290.04","309,975,859.37","664,313,861.09","113,961,220.88","349,965,857.27","558,706,565.26","772,638,847.61","228,445,368.46","438,640,594.21","793,612,496.99","1,283,330,492.85","430,041,575.08","699,758,580.25","1,026,106,992.65","1,962,046,954.41","329,987,738.14","919,500,956.80","1,389,662,457.16","1,781,855,397.23","358,745,503.91","570,590,419.25","964,927,353.55","1,658,543,608.37","299,812,295.82"
投资活动产生的现金流量净额,"-976,240.38","-3,100,088.35","-189,984.00","-398,837.00","-130,139.00","-430,095.00","-494,888.30","-7,106,980.67","-129,767,187.00","-161,559,263.79","-299,399,853.79","-339,373,256.45","-18,139,354.88","-48,679,965.65","-345,603,125.67","-230,220,675.50","-21,524.00","88,658,572.49","87,951,616.40","-11,658,865.67","-64,090.00","-2,088,190.00","-24,088,190.00","54,031,540.56",
购买商品、接受劳务支付的现金,"490,122,209.92","578,626,496.36","267,611,262.31","544,155,232.90","124,485,049.21","335,787,301.30","561,861,091.64","707,112,838.98","243,666,837.96","380,360,458.56","672,480,609.31","1,251,896,003.59","336,267,672.71","581,116,990.51","680,652,389.04","1,153,858,298.55","277,276,348.32","717,916,622.42","1,179,795,071.59","1,458,182,376.65","246,788,450.28","434,277,235.41","897,071,784.43","1,420,986,173.18","654,413,736.93"
吸收投资收到的现金,,,,,,,"363,592,800.00","363,592,800.00",,,,,,,,"2,000,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"20,504,089.63","26,394,567.33","15,897,343.35","31,718,767.07","10,461,909.41","19,851,353.25","29,829,822.55","39,863,809.64","13,653,386.39","28,437,483.20","43,019,828.33","56,346,707.16","18,467,340.79","33,439,603.99","46,166,010.90","83,724,068.74","20,955,865.47","41,433,738.25","53,295,248.47","71,144,870.29","16,512,083.36","31,747,468.83","45,977,539.09","62,080,898.32","11,853,037.73"
取得借款收到的现金,,"20,000,000.00",,"20,000,000.00",,,,"20,000,000.00",,"30,000,000.00","30,000,000.00","250,000,000.00",,"30,000,000.00","114,600,000.00","330,000,000.00",,"160,000,000.00","220,000,000.00","420,000,000.00",,,"100,000,000.00","420,000,000.00","320,000,000.00"
支付的各项税费,"21,505,317.18","17,487,299.38","12,031,280.56","20,078,810.52","4,561,047.02","16,741,558.50","21,084,979.08","24,488,097.12","15,440,690.42","23,122,936.39","37,276,273.43","58,363,603.67","10,610,957.85","24,116,488.59","31,606,975.94","47,690,313.70","4,571,094.32","8,319,153.31","15,241,982.54","18,941,321.31","6,175,664.86","9,375,496.31","12,502,184.19","11,395,018.32","1,225,469.61"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"84,600,000.00",,,,,,,,"193,792,000.00",
支付其他与经营活动有关的现金,"28,456,463.33","35,070,507.50","11,509,980.12","21,166,485.12","7,220,447.82","11,265,497.20","23,765,141.82","32,566,968.17","7,674,309.95","16,187,012.37","28,568,968.26","55,560,892.90","15,807,281.17","35,681,294.14","30,962,895.27","682,289,436.44","13,880,636.21","155,469,368.23","179,637,643.27","281,319,057.40","58,521,178.22","78,761,986.24","95,445,614.74","82,089,628.19","13,606,170.78"
筹资活动现金流入小计,,"20,000,000.00",,"20,000,000.00",,,"363,592,800.00","383,592,800.00",,"30,000,000.00","30,000,000.00","250,000,000.00",,"30,000,000.00","114,600,000.00","416,600,000.00",,"160,000,000.00","220,000,000.00","420,000,000.00",,,"100,000,000.00","613,792,000.00","320,000,000.00"
经营活动现金流出小计,"560,588,080.06","657,578,870.57","307,049,866.34","617,119,295.61","146,728,453.46","383,645,710.25","636,541,035.09","804,031,713.91","280,435,224.72","448,107,890.52","781,345,679.33","1,422,167,207.32","381,153,252.52","674,354,377.23","789,388,271.15","1,967,562,117.43","316,683,944.32","923,138,882.21","1,427,969,945.87","1,829,587,625.65","327,997,376.72","554,162,186.79","1,050,997,122.45","1,576,551,718.01","681,098,415.05"
偿还债务支付的现金,,,,"20,000,000.00",,,,"20,000,000.00",,,,"50,000,010.00",,"37,141,628.25","120,441,235.92","190,000,000.00",,"178,449,539.46","226,409,174.41","362,885,007.74",,,,"420,000,000.00",
经营活动产生的现金流量净额,"40,481,354.97","12,006,419.47","2,925,993.03","47,194,565.48","-32,767,232.58","-33,679,852.98","-77,834,469.83","-31,392,866.30","-51,989,856.26","-9,467,296.31","12,266,817.66","-138,836,714.47","48,888,322.56","25,404,203.02","236,718,721.50","-5,515,163.02","13,303,793.82","-3,637,925.41","-38,307,488.71","-47,732,228.42","30,748,127.19","16,428,232.46","-86,069,768.90","81,991,890.36","-381,286,119.23"
分配股利、利润或偿还利息支付的现金,,"280,330.75","7,096,216.00","7,726,933.75","360,000.00","728,000.00","1,096,000.00","4,554,289.75","315,000.00","14,428,093.75","14,428,093.75","17,544,912.27","3,161,854.03",,"22,272,000.00","34,391,030.70","9,335,981.02","17,547,110.57","24,655,999.47","29,420,443.91","4,497,777.78","19,000,555.55","24,578,333.32","41,780,501.64","6,131,122.21"
收回投资收到的现金,,,,,,,,,,,,,"79,000,000.00","88,600,000.00","88,600,000.00",,,,,,,,,"17,784,878.44",
支付其他与筹资活动有关的现金,,,,,,,"8,934,750.00",,,,,,,,,"93,300,100.00",,,,,,,,"130,000,000.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,,"503,165.80",,"1,337,878.70","1,337,878.70","325,509.39",,,,"64,215,121.56",
筹资活动现金流出小计,,"280,330.75","7,096,216.00","27,726,933.75","360,000.00","728,000.00","10,030,750.00","24,554,289.75","315,000.00","14,428,093.75","14,428,093.75","67,544,922.27","3,161,854.03","37,141,628.25","142,713,235.92","317,691,130.70","9,335,981.02","195,996,650.03","251,065,173.88","392,305,451.65","4,497,777.78","19,000,555.55","24,578,333.32","591,780,501.64","6,131,122.21"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"2,300.00","2,300.00","3,150.00",,"2,500.00","2,500.00","98,600.00","83,900.00","78,600.01","78,600.01","78,600.00","62,000.00","62,000.00","275,900.00","585,570.00",,,,660.00,
筹资活动产生的现金流量净额,,"19,719,669.25","-7,096,216.00","-7,726,933.75","-360,000.00","-728,000.00","353,562,050.00","359,038,510.25","-315,000.00","15,571,906.25","15,571,906.25","182,455,077.73","-3,161,854.03","-7,141,628.25","-28,113,235.92","98,908,869.30","-9,335,981.02","-35,996,650.03","-31,065,173.88","27,694,548.35","-4,497,777.78","-19,000,555.55","75,421,666.68","22,011,498.36","313,868,877.79"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"1,000,000.00",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"210,300,000.00",,"161,000,000.00","161,000,000.00","6,903,972.65",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,"2,300.00","2,300.00","3,150.00",,"2,500.00","2,500.00","98,600.00","79,083,900.00","88,678,600.01","88,678,600.01","210,881,765.80","62,000.00","162,399,878.70","162,613,778.70","8,815,052.04",,,,"82,000,660.00",
五、现金及现金等价物净增加额,"39,505,114.59","28,626,000.37","-4,360,206.97","39,068,794.73","-33,257,371.58","-34,837,947.98","275,232,691.87","320,538,663.28","-182,072,043.26","-155,454,653.85","-271,561,129.88","-295,754,893.19","27,587,113.65","-30,417,390.88","-136,997,640.09","-136,826,969.22","3,946,288.80","49,023,997.05","18,578,953.81","-31,696,545.74","26,186,259.41","-4,660,513.09","-34,736,292.22","158,034,929.28","-67,417,241.44"
购建固定资产、无形资产和其他长期资产支付的现金,"976,240.38","3,100,088.35","189,984.00","398,837.00","130,139.00","432,395.00","497,188.30","2,110,130.67","129,767,187.00","141,561,763.79","145,402,353.79","185,471,856.45","97,223,254.88","38,060,856.80","70,267,197.87","100,963,426.46","83,524.00","9,741,306.21","10,662,162.30","14,237,659.94","64,090.00","88,190.00","88,190.00","2,319,119.44",
期初现金及现金等价物余额,"82,917,335.24","122,422,449.83","151,048,450.20","151,048,450.20","190,117,244.93","190,117,244.93","190,117,244.93","190,117,244.93","510,655,908.21","510,655,908.21","510,655,908.21","510,655,908.21","214,837,515.41","214,901,015.02","214,901,015.02","214,901,015.02","78,074,045.80","78,074,045.80","78,074,045.80","78,074,045.80","46,377,500.06","46,377,500.06","46,377,500.06","46,377,500.06","217,367,192.34"
投资支付的现金,,,,,,,,,,"20,000,000.00","154,000,000.00","75,000,000.00",,"99,297,708.86","364,014,527.81","33,000,000.00",,,,"2,550,000.00",,"2,000,000.00","24,000,000.00","25,650,000.00",
期末现金及现金等价物余额,"122,422,449.83","151,048,450.20","146,688,243.23","190,117,244.93","156,859,873.35","155,279,296.95","465,349,936.80","510,655,908.21","328,583,864.95","355,201,254.36","239,094,778.33","214,901,015.02","242,424,629.06","184,483,624.14","77,903,374.93","78,074,045.80","82,020,334.60","127,098,042.85","96,652,999.61","46,377,500.06","72,563,759.47","41,716,986.97","11,641,207.84","204,412,429.34","149,949,950.90"
