科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"69,056,446.44","82,963,557.22","122,675,030.52","42,107,798.42","69,858,714.49","119,396,150.02","20,183,197.23","42,697,396.68","73,896,469.42","165,854,117.05","30,821,523.02","52,913,043.38","79,344,976.33","160,364,787.65","49,080,347.18","77,116,050.18","124,084,603.31","436,535,804.33","44,949,511.11","92,172,325.42","139,015,262.03","424,964,154.40","45,608,754.63","117,755,762.14","203,310,431.31","372,651,779.65","64,018,636.87","137,187,618.53","216,920,274.41","406,324,887.39","121,433,503.96"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"7,677,248.85","9,327,505.19","10,672,951.39","3,987,634.50","5,760,967.91","8,449,751.59","27,157.69","5,060,903.19","6,272,885.69","15,053,251.49","147,957.38","3,056,774.03","4,660,834.96","6,763,489.44","1,991,123.54","8,042,611.47","8,579,866.37","17,444,329.95","2,863,634.62","7,085,827.64","9,247,823.56","15,467,828.31","7,440,951.31","9,098,096.55","13,794,421.97","19,660,442.81","395,012.87","8,059,562.00","11,712,271.62","16,170,221.41","145,605.31"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,216,703.15","9,502,534.17","5,605,003.80","513,843.59","23,283,564.04","8,294,109.12","3,265,596.22","1,694,714.13","7,402,219.54","18,481,424.61","-1,294,466.49","5,530,515.21","10,788,171.30","11,837,083.66","-29,439,883.49","11,935,637.24","28,018,227.74","11,379,444.38","2,667,085.84","14,791,527.34","24,366,545.38","13,814,705.63","5,408,513.97","21,957,608.93","33,484,268.23","11,670,536.01","5,416,993.45","11,723,979.33","19,125,024.27","18,420,642.98","7,171,370.72"
投资活动现金流出小计,"8,800,144.64","6,717,807.92","5,149,467.76","1,259,361.27","9,161,270.10","14,585,378.45","1,245,256.00","3,121,378.00","12,631,307.28","24,341,474.35","7,917,319.00","9,872,112.00","18,893,974.00","48,395,754.35","864,816.68","10,273,920.03","44,044,897.91","73,624,381.33","552,897.10","6,919,673.21","30,828,619.91","83,780,009.79","46,460,972.57","79,494,119.57","102,236,378.05","6,152,876,995.42","1,531,161,144.60","2,285,556,645.53","2,983,700,018.14","3,204,834,795.42","498,888,482.58"
经营活动现金流入小计,"85,950,398.44","101,793,596.58","138,952,985.71","46,609,276.51","98,903,246.44","136,140,010.73","23,475,951.14","49,453,014.00","87,571,574.65","199,388,793.15","29,675,013.91","61,500,332.62","94,793,982.59","178,965,360.75","21,631,587.23","97,094,298.89","160,682,697.42","465,359,578.66","50,480,231.57","114,049,680.40","172,629,630.97","454,246,688.34","58,458,219.91","148,811,467.62","250,589,121.51","403,982,758.47","69,830,643.19","156,971,159.86","247,757,570.30","440,915,751.78","128,750,479.99"
投资活动产生的现金流量净额,"-6,426,198.83","-6,717,807.92","-5,132,203.38","-1,259,361.27","-9,161,270.10","-14,583,367.66","-1,245,256.00","-3,121,378.00","-12,631,307.28","-24,341,474.35","-7,917,319.00","-9,870,962.00","-18,886,924.00","-48,388,704.35","-864,816.68","-9,053,920.03","-41,818,230.91","-68,274,059.53","-552,897.10","-6,917,848.11","-30,826,794.81","-79,035,388.68","-46,366,675.86","-62,747,950.14","-85,490,208.62","-249,276,053.31","-807,859,308.98","-410,475,485.26","-703,807,898.96","-300,988,539.54","-247,328,948.72"
购买商品、接受劳务支付的现金,"3,559,855.88","5,867,290.05","14,355,091.76","10,334,929.33","16,185,584.58","20,469,670.33","8,669,387.40","11,946,337.60","19,006,410.30","39,832,972.07","7,551,584.00","16,131,658.70","22,314,399.72","5,125,785.59","12,556,309.02","27,746,772.56","40,942,693.26","231,134,150.04","15,284,645.72","29,673,641.09","51,518,460.42","230,999,615.63","20,101,242.36","71,996,752.95","117,699,185.16","186,876,440.19","49,179,822.54","82,169,154.18","126,447,121.99","180,835,581.68","78,094,673.75"
吸收投资收到的现金,"34,500,000.00",,,,,"385,475,000.00",,,,,,,,,,,,,,,,"1,243,950,940.00",,"500,000.00","500,000.00","500,000.00",,,,,
