科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"19,322,000,000.00","60,726,000,000.00","28,146,000,000.00","68,236,000,000.00","105,951,000,000.00","130,499,000,000.00","31,546,000,000.00","64,844,000,000.00","130,605,000,000.00","160,444,000,000.00","25,149,000,000.00","52,736,000,000.00","76,776,000,000.00","122,788,000,000.00","27,412,000,000.00","43,146,000,000.00","58,791,000,000.00","77,565,000,000.00","20,953,000,000.00","35,240,000,000.00","47,352,000,000.00","76,885,000,000.00","24,605,000,000.00","71,946,000,000.00","99,965,000,000.00","144,902,000,000.00","32,175,000,000.00","88,461,000,000.00","139,439,000,000.00","214,642,000,000.00","55,368,000,000.00","99,192,000,000.00","188,697,000,000.00","232,652,000,000.00","85,434,000,000.00","143,084,000,000.00","206,976,000,000.00","316,312,000,000.00","91,200,000,000.00","185,581,000,000.00","260,457,000,000.00"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"12,192,000,000.00","11,084,000,000.00","8,125,000,000.00","9,892,000,000.00","13,578,000,000.00","15,583,000,000.00","2,316,000,000.00","4,199,000,000.00","7,617,000,000.00","10,821,000,000.00","2,918,000,000.00","6,878,000,000.00","9,895,000,000.00","14,150,000,000.00","4,537,000,000.00","9,239,000,000.00","13,501,000,000.00","19,161,000,000.00","4,965,000,000.00","10,416,000,000.00","15,817,000,000.00","23,702,000,000.00","6,601,000,000.00","13,027,000,000.00","19,351,000,000.00","32,093,000,000.00","7,989,000,000.00","16,024,000,000.00","23,080,000,000.00","33,525,000,000.00","10,993,000,000.00","20,622,000,000.00","27,899,000,000.00","38,995,000,000.00","11,678,000,000.00","21,652,000,000.00","28,825,000,000.00","45,534,000,000.00","18,209,000,000.00","31,843,000,000.00","40,903,000,000.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"195,000,000.00",,,,"2,000,000.00",,,"97,000,000.00","330,000,000.00",,,,,"571,000,000.00","950,000,000.00","949,000,000.00",,,,,,,,,,,,,"190,000,000.00",,,,,,"137,000,000.00","165,000,000.00",,,"328,000,000.00"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"31,534,000,000.00","71,865,000,000.00","36,467,000,000.00","78,236,000,000.00","119,660,000,000.00","146,334,000,000.00","33,867,000,000.00","69,058,000,000.00","138,243,000,000.00","171,395,000,000.00","28,410,000,000.00","59,638,000,000.00","86,704,000,000.00","137,986,000,000.00","32,570,000,000.00","53,581,000,000.00","73,943,000,000.00","98,408,000,000.00","25,930,000,000.00","45,695,000,000.00","63,210,000,000.00","100,643,000,000.00","31,208,000,000.00","84,977,000,000.00","119,352,000,000.00","177,065,000,000.00","40,170,000,000.00","104,538,000,000.00","162,575,000,000.00","248,223,000,000.00","66,552,000,000.00","119,820,000,000.00","216,637,000,000.00","271,693,000,000.00","97,115,000,000.00","164,740,000,000.00","235,973,000,000.00","362,068,000,000.00","109,729,000,000.00","217,750,000,000.00","301,688,000,000.00"
收取利息、手续费及佣金的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资支付的现金,"36,417,000,000.00","118,318,000,000.00","38,584,000,000.00","92,057,000,000.00","137,225,000,000.00","172,457,000,000.00","51,881,000,000.00","100,065,000,000.00","174,905,000,000.00","215,413,000,000.00","45,231,000,000.00","99,161,000,000.00","134,804,000,000.00","205,335,000,000.00","59,876,000,000.00","97,351,000,000.00","125,837,000,000.00","174,750,000,000.00","59,387,000,000.00","82,178,000,000.00","112,760,000,000.00","166,887,000,000.00","35,273,000,000.00","104,014,000,000.00","156,689,000,000.00","190,203,000,000.00","76,177,000,000.00","167,661,000,000.00","223,029,000,000.00","287,420,000,000.00","84,064,000,000.00","148,532,000,000.00","229,910,000,000.00","299,152,000,000.00","98,304,000,000.00","204,252,000,000.00","274,955,000,000.00","391,486,000,000.00","160,380,000,000.00","276,960,000,000.00","395,390,000,000.00"
