科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"992,133,392.31","1,382,534,615.81","1,789,856,444.76",,"970,647,930.18","1,587,346,491.68","2,262,079,109.63","705,677,318.35","1,396,305,754.81","2,190,905,663.83","2,947,334,134.41","708,842,574.30","1,420,477,325.14","2,246,876,648.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"2,820,136.96","8,462,952.32","14,813,188.53",,"8,672,187.84","22,871,841.12","29,333,468.01","8,681,836.05","13,019,166.54","13,077,333.46","17,487,610.96","2,800,037.10","3,319,600.50","7,450,904.33"
支付其他与投资活动有关的现金,,,"180,000.00",,,,"235,410.92",,,,,,,
收到其他与经营活动有关的现金,"7,260,825.64","12,197,852.74","4,063,045.88",,"6,486,244.23","7,195,975.94","13,990,626.09","10,229,647.37","23,074,230.80","30,547,422.58","22,199,429.31","13,333,965.65","43,080,683.30","56,287,829.16"
投资活动现金流出小计,"100,649,182.59","157,874,445.74","134,203,867.17",,"73,249,804.15","124,837,013.21","179,969,204.62","45,067,016.83","114,728,785.83","197,483,932.51","286,488,308.94","64,075,608.37","109,539,866.39","314,194,135.75"
经营活动现金流入小计,"1,002,214,354.91","1,403,195,420.87","1,808,732,679.17",,"985,806,362.25","1,617,414,308.74","2,305,403,203.73","724,588,801.77","1,432,399,152.15","2,234,530,419.87","2,987,021,174.68","724,976,577.05","1,466,877,608.94","2,310,615,382.36"
投资活动产生的现金流量净额,"-99,986,532.59","-157,499,245.74","-56,724,083.67",,"-70,847,413.15","-123,096,017.21","-174,576,081.10","-44,528,352.12","-114,154,565.22","-196,809,251.90","-285,489,520.16","-63,336,618.34","-108,710,696.36","-313,023,425.72"
购买商品、接受劳务支付的现金,"639,933,863.95","848,355,017.01","1,097,408,933.75",,"686,481,813.59","1,079,678,314.37","1,459,583,795.14","487,156,683.33","999,700,759.93","1,461,239,822.64","1,968,606,338.05","455,963,103.00","980,029,118.77","1,568,241,681.17"
吸收投资收到的现金,"3,500,000.00","3,967,481.00","1,050,000.00",,,,"309,181,600.00",,,,,"1,800,000.00","1,800,000.00","7,800,000.00"
支付给职工以及为职工支付的现金,"231,006,001.88","344,193,042.33","447,468,511.20",,"269,353,427.09","417,154,834.39","575,201,707.36","148,230,563.91","327,039,472.82","495,712,387.24","686,132,771.72","169,592,968.84","371,995,355.04","558,044,293.20"
取得借款收到的现金,"212,242,995.46","545,449,764.96","795,117,656.95",,"663,902,534.43","1,070,847,346.52","1,455,796,024.33","204,158,091.84","442,465,384.03","528,904,491.02","776,220,712.99","112,887,170.56","271,884,567.87","1,032,732,164.93"
支付的各项税费,"46,170,753.96","53,699,440.83","65,219,466.15",,"52,626,205.19","79,156,171.94","109,028,405.60","40,829,270.40","70,107,657.49","102,061,633.83","133,884,896.45","22,354,247.00","49,073,641.70","73,518,317.21"
收到其他与筹资活动有关的现金,"74,127,495.22","215,608,710.26","293,934,081.38",,"235,893,809.27","379,928,858.92","509,101,089.30","157,306,377.67","273,323,070.71","418,904,445.70","925,759,517.01","138,097,063.83","306,465,039.14","488,354,390.20"
支付其他与经营活动有关的现金,"59,621,802.12","46,265,823.44","87,603,414.69",,"36,633,050.60","56,752,170.45","85,190,343.65","41,849,594.94","94,679,182.58","142,856,878.58","109,584,605.00","50,053,234.87","72,562,667.96","127,965,812.52"
筹资活动现金流入小计,"289,870,490.68","765,025,956.22","1,090,101,738.33",,"899,796,343.70","1,450,776,205.44","2,274,078,713.63","361,464,469.51","715,788,454.74","947,808,936.72","1,701,980,230.00","252,784,234.39","580,149,607.01","1,528,886,555.13"
经营活动现金流出小计,"976,732,421.91","1,292,513,323.61","1,697,700,325.79",,"1,045,094,496.47","1,632,741,491.15","2,229,004,251.75","718,066,112.58","1,491,527,072.82","2,201,870,722.29","2,898,208,611.22","697,963,553.71","1,473,660,783.47","2,327,770,104.10"
偿还债务支付的现金,"149,681,093.87","418,256,442.72","776,000,080.22",,"516,726,150.88","870,932,499.37","1,232,179,494.91","192,177,660.77","387,247,727.98","523,631,548.94","595,301,683.23","114,388,823.35","264,563,234.71","775,697,743.81"
经营活动产生的现金流量净额,"25,481,933.00","110,682,097.26","111,032,353.38","23,996,300.00","-59,288,134.22","-15,327,182.41","76,398,951.98","6,522,689.19","-59,127,920.67","32,659,697.58","88,812,563.46","27,013,023.34","-6,783,174.53","-17,154,721.74"
分配股利、利润或偿还利息支付的现金,"15,036,777.91","23,106,604.94","88,074,936.43",,"10,655,671.97","16,542,773.10","29,465,733.96","6,655,166.61","27,459,127.82","33,472,229.39","37,349,921.92","7,389,965.92","22,022,118.04","30,723,751.36"
收回投资收到的现金,,,,,,,,,,,,,,
